	WP_id	cds	OG	KO id	KO description
Leaf1|44	WP_056005486.1	cds586	OG0001557	K00412	CYTB; ubiquinol-cytochrome c reductase cytochrome b subunit
Leaf1|45	WP_056005489.1	cds587	OG0005089	K03890	qcrA; ubiquinol-cytochrome c reductase iron-sulfur subunit
Leaf1|46	WP_056005492.1	cds588	OG0000694	K00406	ccoP; cytochrome c oxidase cbb3-type subunit III
Leaf1|47	WP_056005495.1	cds590	OG0001017	K00766	trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]
Leaf1|48	WP_056005499.1	cds591	OG0002288	K00863	DAK; triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]
Leaf1|49	WP_056005509.1	cds594			
Leaf1|50	WP_056005521.1	cds598	OG0006133		
Leaf1|51	WP_056005533.1	cds602	OG0006134		
Leaf1|52	WP_056005538.1	cds604	OG0002216	K17675	SUPV3L1; ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:3.6.4.13]
Leaf1|53	WP_056005540.1	cds606	OG0000131	K03116	tatA; sec-independent protein translocase protein TatA
Leaf1|54	WP_056005543.1	cds607	OG0000267	K13573	pafC; proteasome accessory factor C
Leaf1|55	WP_056005563.1	cds613	OG0006135	K15526	mshC; L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase [EC:6.3.1.13]
Leaf1|56	WP_056005566.1	cds614	OG0000578	K06153	bacA; undecaprenyl-diphosphatase [EC:3.6.1.27]
Leaf1|57	WP_056005569.1	cds615	OG0000168	K01438	argE; acetylornithine deacetylase [EC:3.5.1.16]
Leaf1|58	WP_056005573.1	cds617	OG0002533		
Leaf1|59	WP_056005579.1	cds619	OG0000302	K03218	rlmB; 23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]
Leaf1|60	WP_056005588.1	cds623	OG0000559	K02909	RP-L31; large subunit ribosomal protein L31
Leaf1|61	WP_056005597.1	cds626	OG0002080	K00975	glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
Leaf1|62	WP_056005606.1	cds629	OG0006136		
Leaf1|63	WP_056005612.1	cds631	OG0001799	K14998	SURF1; surfeit locus 1 family protein
Leaf1|64	WP_056005615.1	cds632	OG0000191	K06158	ABCF3; ATP-binding cassette, subfamily F, member 3
Leaf1|65	WP_056005622.1	cds634	OG0001125	K02612	paaD; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD
Leaf1|66	WP_056005625.1	cds635	OG0002289	K09013	sufC; Fe-S cluster assembly ATP-binding protein
Leaf1|67	WP_056005628.1	cds636	OG0000443	K05710	hcaC; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component
Leaf1|68	WP_056005633.1	cds638	OG0002290	K09014	sufB; Fe-S cluster assembly protein SufB
Leaf1|69	WP_056005639.1	cds641	OG0000550	K02257	COX10; heme o synthase [EC:2.5.1.141]
Leaf1|70	WP_056005642.1	cds642	OG0000634	K00615	E2.2.1.1; transketolase [EC:2.2.1.1]
Leaf1|71	WP_056005651.1	cds645	OG0000236	K00036	G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
Leaf1|72	WP_056005659.1	cds648	OG0006137		
Leaf1|73	WP_056005661.1	cds649	OG0006138	K03075	secG; preprotein translocase subunit SecG
Leaf1|74	WP_056005666.1	cds651	OG0000826	K00927	PGK; phosphoglycerate kinase [EC:2.7.2.3]
Leaf1|75	WP_056005669.1	cds652	OG0000292	K00134	GAPDH; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
Leaf1|76	WP_056005675.1	cds654	OG0004427	K09762	uncharacterized protein
Leaf1|77	WP_056005678.1	cds655	OG0001306	K06958	rapZ; RNase adapter protein RapZ
Leaf1|78	WP_056005680.1	cds656	OG0000981	K03703	uvrC; excinuclease ABC subunit C
Leaf1|79	WP_056005682.1	cds657	OG0000226	K03701	uvrA; excinuclease ABC subunit A
Leaf1|80	WP_056005690.1	cds660	OG0001042	K02945	RP-S1; small subunit ribosomal protein S1
Leaf1|81	WP_056005705.1	cds665	OG0001481	K07183	nasT; two-component system, response regulator / RNA-binding antiterminator
Leaf1|82	WP_056005712.1	cds667	OG0000123	K02226	cobC; alpha-ribazole phosphatase [EC:3.1.3.73]
Leaf1|83	WP_056005715.1	cds669	OG0000471	K00873	PK; pyruvate kinase [EC:2.7.1.40]
Leaf1|84	WP_056005718.1	cds670	OG0001074	K00266	gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]
Leaf1|85	WP_056005724.1	cds672	OG0000583	K13292	lgt; phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]
Leaf1|86	WP_056005726.1	cds674	OG0000727	K01696	trpB; tryptophan synthase beta chain [EC:4.2.1.20]
Leaf1|87	WP_056005741.1	cds680	OG0000902	K00765	hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]
Leaf1|88	WP_056005744.1	cds681	OG0006139	K01523	hisE; phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]
Leaf1|89	WP_056005756.1	cds687	OG0004428	K03060	rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]
Leaf1|90	WP_056005759.1	cds688	OG0000845	K00942	E2.7.4.8; guanylate kinase [EC:2.7.4.8]
Leaf1|91	WP_056005762.1	cds690	OG0000673	K01955	carB; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]
Leaf1|92	WP_056005773.1	cds694	OG0000716	K00609	pyrB; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]
Leaf1|93	WP_056005776.1	cds695	OG0001278	K02825	pyrR; pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]
Leaf1|94	WP_056005779.1	cds696	OG0000383	K08234	yaeR; glyoxylase I family protein
Leaf1|95	WP_056005782.1	cds697	OG0000952	K03625	nusB; N utilization substance protein B
Leaf1|96	WP_056005785.1	cds698	OG0000553	K02356	efp; elongation factor P
Leaf1|97	WP_056005787.1	cds699	OG0000387	K03786	aroQ; 3-dehydroquinate dehydratase II [EC:4.2.1.10]
Leaf1|98	WP_056005804.1	cds707			
Leaf1|99	WP_056005806.1	cds708	OG0001086	K02986	RP-S4; small subunit ribosomal protein S4
Leaf1|100	WP_056005812.1	cds711	OG0004429		
Leaf1|101	WP_056005819.1	cds713	OG0000306	K00951	relA; GTP pyrophosphokinase [EC:2.7.6.5]
Leaf1|102	WP_056005822.1	cds714	OG0001226	K03074	secF; preprotein translocase subunit SecF
Leaf1|103	WP_056005830.1	cds717	OG0000763	K03551	ruvB; holliday junction DNA helicase RuvB [EC:3.6.4.12]
Leaf1|104	WP_056005833.1	cds718	OG0000969	K03550	ruvA; holliday junction DNA helicase RuvA [EC:3.6.4.12]
Leaf1|105	WP_056005840.1	cds720	OG0000452		
Leaf1|106	WP_056005870.1	cds734	OG0004430		
Leaf1|107	WP_056005882.1	cds739			
Leaf1|108	WP_056005895.1	cds743	OG0000370	K01011	TST; thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]
Leaf1|109	WP_056005898.1	cds744	OG0001417	K02426	sufE; cysteine desulfuration protein SufE
Leaf1|110	WP_056005904.1	cds746	OG0006140		
Leaf1|111	WP_056005907.1	cds748	OG0000031	K00626	E2.3.1.9; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
Leaf1|112	WP_056005910.1	cds749	OG0000099	K00074	paaH; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
Leaf1|113	WP_056005915.1	cds752	OG0001085	K01662	dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]
Leaf1|114	WP_056005919.1	cds753	OG0000305	K01681	ACO; aconitate hydratase [EC:4.2.1.3]
Leaf1|115	WP_056005937.1	cds758	OG0004431		
Leaf1|116	WP_056005947.1	cds761	OG0000552	K02469	gyrA; DNA gyrase subunit A [EC:5.99.1.3]
Leaf1|117	WP_056005950.1	cds762	OG0000213	K02470	gyrB; DNA gyrase subunit B [EC:5.99.1.3]
Leaf1|118	WP_056005965.1	cds768	OG0006141		
Leaf1|119	WP_056005971.1	cds770	OG0000141	K00382	DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]
Leaf1|120	WP_056005980.1	cds773	OG0006142		
Leaf1|121	WP_056005986.1	cds775	OG0000071	K01915	glnA; glutamine synthetase [EC:6.3.1.2]
Leaf1|122	WP_056005992.1	cds777	OG0000071	K01915	glnA; glutamine synthetase [EC:6.3.1.2]
Leaf1|123	WP_056005997.1	cds779			
Leaf1|124	WP_056006003.1	cds781	OG0003949	K00886	ppgK; polyphosphate glucokinase [EC:2.7.1.63]
Leaf1|125	WP_056006014.1	cds786	OG0000430		
Leaf1|126	WP_056006055.1	cds800	OG0000013	K02529	lacI; LacI family transcriptional regulator
Leaf1|127	WP_056006061.1	cds803	OG0000041	K17317	gtsC; glucose/mannose transport system permease protein
Leaf1|128	WP_056006064.1	cds804	OG0000046	K02025	ABC.MS.P; multiple sugar transport system permease protein
Leaf1|129	WP_056006067.1	cds805	OG0005090	K10240	cebE; cellobiose transport system substrate-binding protein
Leaf1|130	WP_056006070.1	cds806	OG0000013	K02529	lacI; LacI family transcriptional regulator
Leaf1|131	WP_056006073.1	cds807	OG0003111	K07407	E3.2.1.22B; alpha-galactosidase [EC:3.2.1.22]
Leaf1|132	WP_056006076.1	cds808	OG0003112	K01209	abfA; alpha-N-arabinofuranosidase [EC:3.2.1.55]
Leaf1|133	WP_056006115.1	cds824	OG0000048	K03892	arsR; ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor
Leaf1|134	WP_056006121.1	cds826	OG0000041	K17317	gtsC; glucose/mannose transport system permease protein
Leaf1|135	WP_056006124.1	cds827	OG0000046	K02025	ABC.MS.P; multiple sugar transport system permease protein
Leaf1|136	WP_056006127.1	cds829	OG0005091		
Leaf1|137	WP_056006133.1	cds834	OG0000045	K10441	rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]
Leaf1|138	WP_056006141.1	cds837	OG0000013	K02529	lacI; LacI family transcriptional regulator
Leaf1|139	WP_056006156.1	cds844			
Leaf1|140	WP_056006227.1	cds864			
Leaf1|141	WP_056006237.1	cds868	OG0005092		
Leaf1|142	WP_056006244.1	cds870	OG0000568	K03741	arsC2; arsenate reductase (thioredoxin) [EC:1.20.4.4]
Leaf1|143	WP_056006247.1	cds871	OG0000284	K06188	aqpZ; aquaporin Z
Leaf1|144	WP_056006250.1	cds872	OG0000197	K00362	nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]
Leaf1|145	WP_056006309.1	cds897	OG0004432		
Leaf1|146	WP_056006442.1	cds919	OG0000393	K03386	PRDX2_4; peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]
Leaf1|147	WP_056006448.1	cds921	OG0000457	K02647	cdaR; carbohydrate diacid regulator
Leaf1|148	WP_056006454.1	cds923	OG0000180	K00648	fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
Leaf1|149	WP_056006457.1	cds924	OG0000688	K02078	acpP; acyl carrier protein
Leaf1|150	WP_056006459.1	cds925	OG0000203	K09458	fabF; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]
Leaf1|151	WP_056006461.1	cds926	OG0006143		
Leaf1|152	WP_056006469.1	cds930	OG0000243	K01462	PDF; peptide deformylase [EC:3.5.1.88]
Leaf1|153	WP_056006475.1	cds932	OG0000823	K02316	dnaG; DNA primase [EC:2.7.7.101]
Leaf1|154	WP_056006484.1	cds936	OG0000556		
Leaf1|155	WP_056006490.1	cds938	OG0003113	K03584	recO; DNA repair protein RecO (recombination protein O)
Leaf1|156	WP_056006494.1	cds939	OG0000671		
Leaf1|157	WP_056006499.1	cds941	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
Leaf1|158	WP_056006505.1	cds943	OG0000067	K07674	narQ; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]
Leaf1|159	WP_056006507.1	cds944	OG0000682	K01649	leuA; 2-isopropylmalate synthase [EC:2.3.3.13]
Leaf1|160	WP_056006509.1	cds946	OG0000911	K03595	era; GTPase
Leaf1|161	WP_056006513.1	cds947	OG0000137	K06189	corC; magnesium and cobalt transporter
Leaf1|162	WP_056006516.1	cds948	OG0000949	K07042	ybeY; probable rRNA maturation factor
Leaf1|163	WP_056006522.1	cds950	OG0000579	K02503	HINT1; histidine triad (HIT) family protein
Leaf1|164	WP_056006525.1	cds951	OG0000828	K09761	rsmE; 16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]
Leaf1|165	WP_056006528.1	cds952	OG0000675	K03686	dnaJ; molecular chaperone DnaJ
Leaf1|166	WP_056006531.1	cds953	OG0003114	K03705	hrcA; heat-inducible transcriptional repressor
Leaf1|167	WP_056006535.1	cds954	OG0001977	K09940	uncharacterized protein
Leaf1|168	WP_056006538.1	cds955	OG0000718		
Leaf1|169	WP_056006543.1	cds957	OG0000910	K03596	lepA; GTP-binding protein LepA
Leaf1|170	WP_056006546.1	cds958	OG0001050	K02968	RP-S20; small subunit ribosomal protein S20
Leaf1|171	WP_056006549.1	cds959	OG0006144	K02340	holA; DNA polymerase III subunit delta [EC:2.7.7.7]
Leaf1|172	WP_056006571.1	cds966	OG0000404	K00426	cydB; cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]
Leaf1|173	WP_056006574.1	cds968	OG0000056	K19302	bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27]
Leaf1|174	WP_056006583.1	cds971	OG0000311		
Leaf1|175	WP_056006609.1	cds980	OG0000951	K09710	ybeB; ribosome-associated protein
Leaf1|176	WP_056006612.1	cds981			
Leaf1|177	WP_056006618.1	cds983			
Leaf1|178	WP_056006623.1	cds985	OG0000982	K00931	proB; glutamate 5-kinase [EC:2.7.2.11]
Leaf1|179	WP_056006626.1	cds987	OG0000984	K02899	RP-L27; large subunit ribosomal protein L27
Leaf1|180	WP_056006632.1	cds989	OG0003950		
Leaf1|181	WP_056006635.1	cds991	OG0006145		
Leaf1|182	WP_056006638.1	cds992	OG0000978	K00940	ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]
Leaf1|183	WP_056006648.1	cds996	OG0000025	K19736	aefR; TetR/AcrR family transcriptional regulator, regulator of autoinduction and epiphytic fitness
Leaf1|184	WP_056006654.1	cds999	OG0000037	K02034	ABC.PE.P1; peptide/nickel transport system permease protein
Leaf1|185	WP_056006673.1	cds1006	OG0000705	K03544	clpX; ATP-dependent Clp protease ATP-binding subunit ClpX
Leaf1|186	WP_056006676.1	cds1007	OG0000451	K01358	clpP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
Leaf1|187	WP_056006680.1	cds1008	OG0000451	K01358	clpP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
Leaf1|188	WP_056006689.1	cds1011			
Leaf1|189	WP_056006692.1	cds1012	OG0000373		
Leaf1|190	WP_056006695.1	cds1013	OG0000477	K04047	dps; starvation-inducible DNA-binding protein
Leaf1|191	WP_056006697.1	cds1015	OG0000461	K10563	mutM; formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]
Leaf1|192	WP_056006712.1	cds1020	OG0000009	K07687	rcsB; two-component system, NarL family, captular synthesis response regulator RcsB
Leaf1|193	WP_056006716.1	cds1022	OG0003601	K06886	glbN; hemoglobin
Leaf1|194	WP_056006724.1	cds1025	OG0001704	K10805	tesB; acyl-CoA thioesterase II [EC:3.1.2.-]
Leaf1|195	WP_056006730.1	cds1027	OG0000193	K15738	uup; ABC transport system ATP-binding/permease protein
Leaf1|196	WP_056006735.1	cds1030			
Leaf1|197	WP_056006741.1	cds1032	OG0000510	K01916	nadE; NAD+ synthase [EC:6.3.1.5]
Leaf1|198	WP_056006744.1	cds1033	OG0005093		
Leaf1|199	WP_056006750.1	cds1035	OG0006146		
Leaf1|200	WP_056006775.1	cds1045	OG0001558	K02434	gatB; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]
Leaf1|201	WP_056006781.1	cds1047	OG0001559	K02435	gatC; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]
Leaf1|202	WP_056006816.1	cds1063	OG0006147		
Leaf1|203	WP_056006819.1	cds1065	OG0000869	K02838	frr; ribosome recycling factor
Leaf1|204	WP_056006822.1	cds1066	OG0000868	K09903	pyrH; uridylate kinase [EC:2.7.4.22]
Leaf1|205	WP_056006828.1	cds1068	OG0000867	K02967	RP-S2; small subunit ribosomal protein S2
Leaf1|206	WP_056006841.1	cds1074	OG0006148		
Leaf1|207	WP_056006844.1	cds1075	OG0000874	K03470	rnhB; ribonuclease HII [EC:3.1.26.4]
Leaf1|208	WP_056006848.1	cds1076	OG0000380	K03100	lepB; signal peptidase I [EC:3.4.21.89]
Leaf1|209	WP_056006851.1	cds1077	OG0000971	K02884	RP-L19; large subunit ribosomal protein L19
Leaf1|210	WP_056006866.1	cds1084	OG0003951	K03795	cbiX; sirohydrochlorin cobaltochelatase [EC:4.99.1.3]
Leaf1|211	WP_056006869.1	cds1085	OG0002373	K00363	nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]
Leaf1|212	WP_056006875.1	cds1087	OG0000221	K02303	cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
Leaf1|213	WP_056006878.1	cds1088	OG0005094	K01719	hemD; uroporphyrinogen-III synthase [EC:4.2.1.75]
Leaf1|214	WP_056006881.1	cds1089	OG0005095	K02575	NRT; MFS transporter, NNP family, nitrate/nitrite transporter
Leaf1|215	WP_056006893.1	cds1093	OG0005096	K06960	uncharacterized protein
Leaf1|216	WP_056006896.1	cds1094	OG0001114	K02959	RP-S16; small subunit ribosomal protein S16
Leaf1|217	WP_056006905.1	cds1097	OG0000974	K03106	SRP54; signal recognition particle subunit SRP54 [EC:3.6.5.4]
Leaf1|218	WP_056006913.1	cds1101	OG0000833	K03110	ftsY; fused signal recognition particle receptor
Leaf1|219	WP_056006932.1	cds1106	OG0006149	K02911	RP-L32; large subunit ribosomal protein L32
Leaf1|220	WP_056006935.1	cds1107	OG0004433	K07040	uncharacterized protein
Leaf1|221	WP_056006938.1	cds1108	OG0000835	K00954	E2.7.7.3A; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]
Leaf1|222	WP_056006950.1	cds1112	OG0006150		
Leaf1|223	WP_056006959.1	cds1116	OG0000602	K00790	murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]
Leaf1|224	WP_056006974.1	cds1121	OG0006151		
Leaf1|225	WP_056006983.1	cds1124	OG0004324		
Leaf1|226	WP_056006986.1	cds1125	OG0000042	K03704	cspA; cold shock protein (beta-ribbon, CspA family)
Leaf1|227	WP_056006988.1	cds1126	OG0000738		
Leaf1|228	WP_056007003.1	cds1131	OG0000251	K16692	etk-wzc; tyrosine-protein kinase Etk/Wzc [EC:2.7.10.-]
Leaf1|229	WP_056007024.1	cds1138	OG0000111	K16165	nagK; fumarylpyruvate hydrolase [EC:3.7.1.20]
Leaf1|230	WP_056007036.1	cds1143	OG0000132	K00090	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
Leaf1|231	WP_056007049.1	cds1148	OG0000041	K17317	gtsC; glucose/mannose transport system permease protein
Leaf1|232	WP_056007053.1	cds1149	OG0000046	K02025	ABC.MS.P; multiple sugar transport system permease protein
Leaf1|233	WP_056007057.1	cds1150	OG0000777	K10117	msmE; raffinose/stachyose/melibiose transport system substrate-binding protein
Leaf1|234	WP_056007063.1	cds1152	OG0000232	K19337	hexR; RpiR family transcriptional regulator, carbohydrate utilization regulator
Leaf1|235	WP_056007074.1	cds1157	OG0001440	K01653	E2.2.1.6S; acetolactate synthase I/III small subunit [EC:2.2.1.6]
Leaf1|236	WP_056007077.1	cds1158	OG0000264	K01652	E2.2.1.6L; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
Leaf1|237	WP_056007079.1	cds1159	OG0000644	K01687	ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]
Leaf1|238	WP_056007081.1	cds1160	OG0003115	K01087	otsB; trehalose 6-phosphate phosphatase [EC:3.1.3.12]
Leaf1|239	WP_056007092.1	cds1166	OG0001511	K03168	topA; DNA topoisomerase I [EC:5.99.1.2]
Leaf1|240	WP_056007101.1	cds1169	OG0001370	K05563	phaF; multicomponent K+:H+ antiporter subunit F
Leaf1|241	WP_056007104.1	cds1170	OG0001371	K05562	phaE; multicomponent K+:H+ antiporter subunit E
Leaf1|242	WP_056007107.1	cds1171	OG0001372	K05561	phaD; multicomponent K+:H+ antiporter subunit D
Leaf1|243	WP_056007110.1	cds1172	OG0001373	K05560	phaC; multicomponent K+:H+ antiporter subunit C
Leaf1|244	WP_056007115.1	cds1174	OG0000756	K03664	smpB; SsrA-binding protein
Leaf1|245	WP_056007118.1	cds1175	OG0001024	K09811	ftsX; cell division transport system permease protein
Leaf1|246	WP_056007124.1	cds1177	OG0001668	K02836	prfB; peptide chain release factor 2
Leaf1|247	WP_056007134.1	cds1182	OG0006152		
Leaf1|248	WP_056007165.1	cds1193	OG0001049	K01776	murI; glutamate racemase [EC:5.1.1.3]
Leaf1|249	WP_056007168.1	cds1196	OG0006153	K01992	ABC-2.P; ABC-2 type transport system permease protein
Leaf1|250	WP_056007176.1	cds1200	OG0000665	K09690	ABC-2.LPSE.P; lipopolysaccharide transport system permease protein
Leaf1|251	WP_056007179.1	cds1201	OG0000474	K09691	ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein
Leaf1|252	WP_056007185.1	cds1203	OG0000014	K14335	pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]
Leaf1|253	WP_056007196.1	cds1207	OG0001535	K00995	pgsA; CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]
Leaf1|254	WP_056007199.1	cds1208	OG0000032	K11936	pgaC; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]
Leaf1|255	WP_056007214.1	cds1214	OG0000027	K03719	lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
Leaf1|256	WP_056007227.1	cds1221	OG0001569	K03426	E3.6.1.22; NAD+ diphosphatase [EC:3.6.1.22]
Leaf1|257	WP_056007232.1	cds1225	OG0006154		
Leaf1|258	WP_056007235.1	cds1226			
Leaf1|259	WP_056007241.1	cds1228	OG0000051	K05592	deaD; ATP-dependent RNA helicase DeaD [EC:3.6.4.13]
Leaf1|260	WP_056007244.1	cds1229	OG0001709	K07053	E3.1.3.97; 3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]
Leaf1|261	WP_056007255.1	cds1233	OG0000687	K06213	mgtE; magnesium transporter
Leaf1|262	WP_056007258.1	cds1234	OG0002251		
Leaf1|263	WP_056007264.1	cds1236	OG0000131	K03116	tatA; sec-independent protein translocase protein TatA
Leaf1|264	WP_056007266.1	cds1237	OG0001342		
Leaf1|265	WP_056007272.1	cds1240	OG0000168	K01438	argE; acetylornithine deacetylase [EC:3.5.1.16]
Leaf1|266	WP_056007281.1	cds1244	OG0001684	K05524	fdxA; ferredoxin
