	avr_Col	avr_Kb	avr_FC	avr_DEG	OG	KO.id	KO.description
PSPTO_0058	5.37389929246041	5.52177040975326	-0.14787111729285	nonDEG	OG0002408	K07497	putative transposase
PSPTO_0059	4.6806324601127	4.79870118485901	-0.11806872474631	nonDEG	OG0007720		
PSPTO_0061	9.15401731403817	4.51483632170026	4.63918099233791	up			
PSPTO_0062	5.77537137527913	6.97307828503355	-1.19770690975442	nonDEG	OG0000482	K03300	TC.CITMHS; citrate-Mg2+:H+ or citrate-Ca2+:H+ symporter, CitMHS family
PSPTO_0063	2.22686708912099	3.00362857702018	-0.77676148789919	nonDEG	OG0000350		
PSPTO_0064	9.72823253290081	9.30536835155508	0.42286418134573	nonDEG	OG0002962		
PSPTO_0065	7.75046586926585	6.19052915396254	1.55993671530331	up	OG0000846	K03655	recG; ATP-dependent DNA helicase RecG [EC:3.6.4.12]
PSPTO_0066	7.88483035206965	6.16780137150771	1.71702898056194	up	OG0000004	K04761	oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator
PSPTO_0067	8.74412270191748	6.43127189703665	2.31285080488083	up	OG0003331	K03832	tonB; periplasmic protein TonB
PSPTO_0068	4.91347890442207	3.68305845063262	1.23042045378945	up	OG0000089	K03559	exbD; biopolymer transport protein ExbD
PSPTO_0069	8.47396349861885	5.1822482074619	3.29171529115695	up	OG0002653	K03561	exbB; biopolymer transport protein ExbB
PSPTO_0070	5.74032105616277	4.46891807715205	1.27140297901072	up	OG0001165		
PSPTO_0071	7.92563012472039	6.91883997874711	1.00679014597328	up	OG0002652		
PSPTO_0072	7.85384219929663	7.40610759778142	0.44773460151521	nonDEG	OG0000186	K09022	ridA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
PSPTO_0073	9.99522864437697	9.36293654744068	0.63229209693629	nonDEG	OG0000306	K00951	relA; GTP pyrophosphokinase [EC:2.7.6.5]
PSPTO_0074	8.51803195052331	8.2279307341445	0.29010121637881	nonDEG	OG0001792	K03060	rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]
PSPTO_0075	5.1869475919156	5.36080241409193	-0.17385482217633	nonDEG	OG0000845	K00942	E2.7.4.8; guanylate kinase [EC:2.7.4.8]
PSPTO_0076	7.00866387154281	6.3647019742077	0.64396189733511	nonDEG	OG0001412		
PSPTO_0077	8.58379519164614	7.40011663375896	1.18367855788718	up	OG0001283	K00989	rph; ribonuclease PH [EC:2.7.7.56]
PSPTO_0078	4.92442639480726	5.91031733586451	-0.985890941057249	nonDEG	OG0001977	K09940	uncharacterized protein
PSPTO_0079	8.25174231535366	8.24246766562659	0.00927464972706993	nonDEG	OG0001282	K01142	E3.1.11.2; exodeoxyribonuclease III [EC:3.1.11.2]
PSPTO_0080	6.80936179102109	6.43804845477893	0.37131333624216	nonDEG	OG0000724	K00762	pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]
PSPTO_0081	7.90506330673931	7.29586381894172	0.609199487797589	nonDEG	OG0006476		
PSPTO_0082	7.14256921061513	6.22656264019835	0.91600657041678	nonDEG	OG0000844	K00930	argB; acetylglutamate kinase [EC:2.7.2.8]
PSPTO_0083	9.99374366031376	8.20632085769236	1.7874228026214	up	OG0000212	K03431	glmM; phosphoglucosamine mutase [EC:5.4.2.10]
PSPTO_0084	5.32431149503763	6.37310380679596	-1.04879231175833	down	OG0001281	K01520	dut; dUTP pyrophosphatase [EC:3.6.1.23]
PSPTO_0085	8.36392076105362	9.11875588529789	-0.75483512424427	nonDEG	OG0000843	K13038	coaBC; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]
PSPTO_0086	3.51602394852248	4.12740628589972	-0.61138233737724	nonDEG	OG0000427	K03630	radC; DNA repair protein RadC
PSPTO_0087	6.86555401987876	7.6003205489405	-0.73476652906174	nonDEG	OG0000018	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein
PSPTO_0089	10.6366509995507	12.1312762772839	-1.4946252777332	nonDEG	OG0001025	K02902	RP-L28; large subunit ribosomal protein L28
PSPTO_0090	5.95042438093106	7.40004645166021	-1.44962207072915	nonDEG	OG0000723	K02913	RP-L33; large subunit ribosomal protein L33
PSPTO_0091	6.02845860826498	7.95530071404757	-1.92684210578259	down	OG0000542	K06995	uncharacterized protein
PSPTO_0092	7.73996770689302	8.04797598774399	-0.308008280850971	nonDEG	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
PSPTO_0094	3.50747593355087	4.53862964352879	-1.03115370997792	nonDEG	OG0001976		
PSPTO_0095	6.50965778163616	6.90835732856736	-0.3986995469312	nonDEG	OG0001164	K06132	clsC; cardiolipin synthase C [EC:2.7.8.-]
PSPTO_0096	5.82096004819408	6.00705082477289	-0.18609077657881	nonDEG	OG0000079	K05825	LYSN; 2-aminoadipate transaminase [EC:2.6.1.-]
PSPTO_0097	3.64473779081759	2.96344755113905	0.68129023967854	nonDEG	OG0002961		
PSPTO_0098	5.21665542878097	6.55799889889562	-1.34134347011465	down	OG0000064	K09471	puuB; gamma-glutamylputrescine oxidase [EC:1.4.3.-]
PSPTO_0099	4.97971864342938	5.17955497242439	-0.19983632899501	nonDEG	OG0003330	K06940	uncharacterized protein
PSPTO_0100	5.19533611749153	4.5348475167969	0.66048860069463	nonDEG	OG0000027	K03719	lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
PSPTO_0101	8.83977203538807	11.0455242089308	-2.20575217354273	down	OG0000136	K00285	dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]
PSPTO_0102	5.89341546065567	7.32353011838079	-1.43011465772512	down	OG0000829		
PSPTO_0103	6.8966484128871	8.82938315829552	-1.93273474540842	down	OG0000467	K01775	alr; alanine racemase [EC:5.1.1.1]
PSPTO_0105	5.67121241217724	6.95500397846909	-1.28379156629185	down	OG0000016	K07729	putative transcriptional regulator
PSPTO_0106	4.16496550298265	5.83395468143735	-1.6689891784547	down	OG0001532		
PSPTO_0107	6.33705460924877	6.81736649260762	-0.48031188335885	nonDEG	OG0002651		
PSPTO_0108	2.41347525567744	5.75962137214404	-3.3461461164666	down	OG0002131	K07090	uncharacterized protein
PSPTO_0109	6.10873298612827	7.24406375915081	-1.13533077302254	down	OG0002903	K17218	sqr; sulfide:quinone oxidoreductase [EC:1.8.5.4]
PSPTO_0110	6.73275161145244	8.09805130903156	-1.36529969757912	down	OG0000257	K01069	gloB; hydroxyacylglutathione hydrolase [EC:3.1.2.6]
PSPTO_0111	4.73455761073197	4.1674823037295	0.56707530700247	nonDEG	OG0000007	K02667	pilR; two-component system, NtrC family, response regulator PilR
PSPTO_0112	5.68673481078579	4.27911433029228	1.40762048049351	up	OG0002173	K03816	xpt; xanthine phosphoribosyltransferase [EC:2.4.2.22]
PSPTO_0113	9.88834807850832	9.58437109226943	0.30397698623889	nonDEG	OG0000231	K03657	uvrD; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]
PSPTO_0114	7.20807999796662	7.34942625032669	-0.14134625236007	nonDEG	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
PSPTO_0115	5.09696470446605	6.83605493431926	-1.73909022985321	down	OG0000466	K03327	TC.MATE; multidrug resistance protein, MATE family
PSPTO_0116	4.74354149531619	4.45730448872897	0.28623700658722	nonDEG	OG0000024	K03566	gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator
PSPTO_0117	6.02772433592378	8.40487406671638	-2.3771497307926	down	OG0000005	K03406	mcp; methyl-accepting chemotaxis protein
PSPTO_0118	6.19412446415964	6.59923997112646	-0.40511550696682	nonDEG	OG0001802	K03324	yjbB; phosphate:Na+ symporter
PSPTO_0119	7.57520949171605	6.57156161362284	1.00364787809321	up	OG0003348	K07263	pqqL; zinc protease [EC:3.4.24.-]
PSPTO_0120	6.7773468227207	7.09727663382995	-0.31992981110925	nonDEG	OG0003347		
PSPTO_0121	7.42892778769257	7.13974884484581	0.289178942846759	nonDEG	OG0001801	K06374	spmB; spore maturation protein B
PSPTO_0124	3.68656029250381	4.60277187526176	-0.91621158275795	nonDEG	OG0000577	K07497	putative transposase
PSPTO_0125	9.25205089600592	8.89980616060423	0.35224473540169	nonDEG	OG0000585	K01755	argH; argininosuccinate lyase [EC:4.3.2.1]
PSPTO_0126	5.23592821687214	5.74411560654234	-0.5081873896702	nonDEG	OG0000166	K08082	algZ; two-component system, LytTR family, sensor histidine kinase AlgZ [EC:2.7.13.3]
PSPTO_0127	7.88098606974296	6.92509866207798	0.95588740766498	nonDEG	OG0000105	K08083	algR; two-component system, LytTR family, response regulator AlgR
PSPTO_0128	7.34718896788933	6.64568716920374	0.70150179868559	nonDEG	OG0000841	K01749	hemC; hydroxymethylbilane synthase [EC:2.5.1.61]
PSPTO_0129	6.75151312692379	6.66553910214448	0.0859740247793095	nonDEG	OG0001661	K01719	hemD; uroporphyrinogen-III synthase [EC:4.2.1.75]
PSPTO_0130	8.54379680903824	8.22446800913308	0.319328799905159	nonDEG	OG0003795	K02496	hemX; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
PSPTO_0131	8.01365560016542	8.19645079495391	-0.18279519478849	nonDEG	OG0002171	K02498	hemY; HemY protein
PSPTO_0132	2.4745149737284	2.63714560517395	-0.16263063144555	nonDEG	OG0000840	K03611	dsbB; disulfide bond formation protein DsbB
PSPTO_0134	7.65071463375239	8.5713950640071	-0.920680430254711	nonDEG	OG0002957	K07740	rsd; regulator of sigma D
PSPTO_0135	6.67734052956525	7.56989383167294	-0.892553302107689	nonDEG	OG0000126	K03772	fkpA; FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]
PSPTO_0136	9.16342026209491	9.53704276963764	-0.373622507542731	nonDEG	OG0003794		
PSPTO_0137	2.53386831472131	0.102113983538744	2.43175433118257	nonDEG	OG0003327		
PSPTO_0138	9.18062437998322	9.07732591075504	0.10329846922818	nonDEG	OG0000191	K06158	ABCF3; ATP-binding cassette, subfamily F, member 3
PSPTO_0139	6.41560755834452	6.66737970894594	-0.25177215060142	nonDEG	OG0002402		
PSPTO_0140	5.39553651793812	7.0575216107827	-1.66198509284458	down	OG0000047	K05834	rhtB; homoserine/homoserine lactone efflux protein
PSPTO_0141	5.88613617838466	7.23204127809736	-1.3459050997127	down	OG0002956	K07243	FTR; high-affinity iron transporter
PSPTO_0142	0.770002442037421	3.09325656164061	-2.32325411960319	down			
PSPTO_0144	7.88066729906514	8.30028379785426	-0.41961649878912	nonDEG	OG0000374	K01414	prlC; oligopeptidase A [EC:3.4.24.70]
PSPTO_0145	6.84796833136411	8.38982441155104	-1.54185608018693	down	OG0000373		
PSPTO_0146	0.959621465987849	2.67288324665201	-1.71326178066416	down	OG0003343		
PSPTO_0147	6.05482841972657	9.01589190642981	-2.96106348670324	down			
PSPTO_0148	2.02362878067139	3.99516662914489	-1.9715378484735	down	OG0005814		
PSPTO_0149	6.81368606655142	7.39088774471881	-0.57720167816739	nonDEG	OG0005677		
PSPTO_0150	2.55455960489403	4.1689179267935	-1.61435832189947	nonDEG	OG0002905		
PSPTO_0151	4.65307460154887	4.9293502751245	-0.27627567357563	nonDEG	OG0001665		
PSPTO_0152	7.40687950371082	5.5073466765283	1.89953282718252	up	OG0000862	K04063	osmC; osmotically inducible protein OsmC
PSPTO_0153	6.92918171572705	6.06536351849254	0.86381819723451	nonDEG	OG0000343		
PSPTO_0154	6.22670199882661	5.86779424889562	0.358907749930991	nonDEG	OG0001665		
PSPTO_0155	6.28130947584556	4.69294704463941	1.58836243120615	up	OG0002663	K09165	uncharacterized protein
PSPTO_0156	10.5447776900138	8.57221059965142	1.97256709036238	up	OG0003342		
PSPTO_0157	5.31984466075681	4.31516231769194	1.00468234306487	up	OG0000024	K03566	gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator
PSPTO_0158	9.37334766639789	7.38200467884892	1.99134298754897	up	OG0000727	K01696	trpB; tryptophan synthase beta chain [EC:4.2.1.20]
PSPTO_0159	8.24585417131019	6.69386859669372	1.55198557461647	up	OG0000861	K01695	trpA; tryptophan synthase alpha chain [EC:4.2.1.20]
PSPTO_0161	5.34941176068884	3.16279695512389	2.18661480556495	up	OG0003798		
PSPTO_0162	7.69087513279641	7.03687465467225	0.654000478124161	nonDEG	OG0000012	K01055	pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]
PSPTO_0163	3.73378587256629	4.50769675912978	-0.77391088656349	nonDEG	OG0002966	K10253	DOPA 4
PSPTO_0164	4.47440308116889	5.0685010686624	-0.59409798749351	nonDEG	OG0000024	K03566	gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator
PSPTO_0165	8.79573462090705	8.13069668592784	0.66503793497921	nonDEG	OG0000726	K01133	betC; choline-sulfatase [EC:3.1.6.6]
PSPTO_0166	6.28061867031694	5.67636676099323	0.60425190932371	nonDEG	OG0000545	K02002	proX; glycine betaine/proline transport system substrate-binding protein
PSPTO_0167	6.69516981965946	6.9089558796093	-0.21378605994984	nonDEG			
PSPTO_0168	5.1893874760539	6.21999844370669	-1.03061096765279	down	OG0003341	K03321	TC.SULP; sulfate permease, SulP family
PSPTO_0169	5.46075844587405	4.94646864955056	0.51428979632349	nonDEG	OG0000171	K00014	aroE; shikimate dehydrogenase [EC:1.1.1.25]
PSPTO_0170	5.32720412010227	5.47708427821035	-0.14988015810808	nonDEG	OG0001536	K00228	CPOX; coproporphyrinogen III oxidase [EC:1.3.3.3]
PSPTO_0173	4.29786947961957	4.34844715464672	-0.0505776750271494	nonDEG	OG0000060	K00344	qor; NADPH2:quinone reductase [EC:1.6.5.5]
PSPTO_0174	5.9360079257213	5.86951461409532	0.0664933116259796	nonDEG	OG0000278	K07566	tsaC; L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]
PSPTO_0175	5.21885488713932	5.88889695820845	-0.670042071069131	nonDEG	OG0000860	K04096	smf; DNA processing protein
PSPTO_0176	7.16867312443271	6.88680919842522	0.281863926007491	nonDEG	OG0002409		
PSPTO_0177	7.65296697319051	8.01678735767364	-0.363820384483131	nonDEG	OG0000243	K01462	PDF; peptide deformylase [EC:3.5.1.88]
PSPTO_0178	7.49377109644563	7.13466004472574	0.35911105171989	nonDEG	OG0000859	K00604	MTFMT; methionyl-tRNA formyltransferase [EC:2.1.2.9]
PSPTO_0179	7.63736010085243	7.032754477255	0.60460562359743	nonDEG	OG0000587	K03500	rsmB; 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
PSPTO_0180	6.8361013061817	6.87283235160476	-0.0367310454230605	nonDEG	OG0002175	K03499	trkA; trk system potassium uptake protein
PSPTO_0181	4.69308290613545	4.10972462445754	0.58335828167791	nonDEG	OG0000770		
PSPTO_0182	6.36152533296196	6.22491714215505	0.13660819080691	nonDEG	OG0000286	K02517	lpxL; Kdo2-lipid IVA lauroyltransferase [EC:2.3.1.241]
PSPTO_0183	3.06509080598224	3.47968598335553	-0.41459517737329	nonDEG	OG0000810	K01246	tag; DNA-3-methyladenine glycosylase I [EC:3.2.2.20]
PSPTO_0184	9.68755078741038	9.02222103857473	0.665329748835651	nonDEG	OG0001664	K01878	glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]
PSPTO_0185	8.675904076053	8.02527406125342	0.65063001479958	nonDEG	OG0001663	K01879	glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14]
PSPTO_0186	7.17335367834335	6.79567630861886	0.37767736972449	nonDEG	OG0001798	K03273	gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]
PSPTO_0187	5.27740273089127	4.93288386667627	0.344518864215	nonDEG	OG0000252	K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
PSPTO_0189	1.01936799677906	2.5725144603439	-1.55314646356484	down	OG0001780	K01501	E3.5.5.1; nitrilase [EC:3.5.5.1]
PSPTO_0194	3.32838304354938	4.62876060897864	-1.30037756542926	down	OG0000402		
PSPTO_0200	7.27504408264794	7.8529520318633	-0.577907949215359	nonDEG	OG0001484		
PSPTO_0201	6.16465072288286	7.2151562266992	-1.05050550381634	down	OG0001592	K05844	rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]
PSPTO_0202	4.30043712649048	5.76452514837025	-1.46408802187977	down			
PSPTO_0203	3.19102463738005	5.23399220865081	-2.04296757127076	down	OG0000134	K01697	CBS; cystathionine beta-synthase [EC:4.2.1.22]
PSPTO_0205	4.79139486482328	6.18083530851455	-1.38944044369127	down			
PSPTO_0206	9.09529141968526	9.39725872680124	-0.30196730711598	nonDEG	OG0001415	K18842	chpS; antitoxin ChpS
PSPTO_0208	5.65801086632685	6.03134211334446	-0.373331247017609	nonDEG	OG0004788		
PSPTO_0209	5.97374108825496	3.08042579759293	2.89331529066203	up	OG0000463	K01586	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]
PSPTO_0210	4.74434939350124	2.78378024784554	1.9605691456557	up	OG0001007		
PSPTO_0211	5.86993585373019	2.43748024104236	3.43245561268783	up	OG0001633	K10531	pvdA; L-ornithine N5-monooxygenase [EC:1.14.13.195 1.14.13.196]
PSPTO_0212	3.53248194901092	3.123036920509	0.40944502850192	nonDEG	OG0000642		
PSPTO_0213	2.73382190777194	4.80902716011643	-2.07520525234449	down	OG0005424	K07334	higB-1; toxin HigB-1
PSPTO_0214	2.72886128251686	1.32209289589755	1.40676838661931	nonDEG	OG0001277	K21498	higA-1; antitoxin HigA-1
PSPTO_0215	7.5669090074357	8.03533096276521	-0.46842195532951	nonDEG	OG0001791	K09806	uncharacterized protein
PSPTO_0217	6.2802533372326	7.54651883553632	-1.26626549830372	down	OG0000842	K04752	glnK; nitrogen regulatory protein P-II 2
PSPTO_0218	6.59761972411665	6.90894916799242	-0.31132944387577	nonDEG	OG0000465	K03320	amt; ammonium transporter, Amt family
PSPTO_0219	9.14602682790782	8.74622650104827	0.39980032685955	nonDEG	OG0002650		
PSPTO_0220	8.24965778273464	10.3296380256345	-2.07998024289986	down	OG0002960		
PSPTO_0221	5.01669600718882	5.73093444655655	-0.714238439367731	nonDEG	OG0000464	K20862	yigB; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]
PSPTO_0222	6.3238732448832	6.3685703773032	-0.0446971324200005	nonDEG	OG0000148	K03733	xerC; integrase/recombinase XerC
PSPTO_0223	6.60296460088657	6.1425580821055	0.46040651878107	nonDEG	OG0002172	K09921	uncharacterized protein
PSPTO_0224	7.01076336341708	6.27025085688805	0.74051250652903	nonDEG	OG0000805	K01778	dapF; diaminopimelate epimerase [EC:5.1.1.7]
PSPTO_0225	9.32112918381408	8.50991848230505	0.81121070150903	nonDEG	OG0000463	K01586	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]
PSPTO_0226	6.26428146222722	6.02662344980344	0.23765801242378	nonDEG	OG0002404		
PSPTO_0227	6.41304721688368	5.51473727113239	0.89830994575129	nonDEG	OG0002959	K06202	cyaY; CyaY protein
PSPTO_0228	2.60223411767995	1.07140951805947	1.53082459962048	nonDEG	OG0004055	K06938	uncharacterized protein
PSPTO_0229	4.8888616373088	5.14408663788026	-0.25522500057146	nonDEG	OG0002649	K06140	rnk; regulator of nucleoside diphosphate kinase
PSPTO_0230	5.21125604855254	8.30945938520182	-3.09820333664928	down	OG0002958	K05851	cyaA; adenylate cyclase, class 1 [EC:4.6.1.1]
PSPTO_0231	6.4142223403135	5.99424298667504	0.41997935363846	nonDEG	OG0003329		
PSPTO_0232	5.64652688157674	7.8336982360817	-2.18717135450496	down	OG0003328		
PSPTO_0233	7.07806013074761	6.56093723306187	0.51712289768574	nonDEG	OG0000082	K11103	dctA; aerobic C4-dicarboxylate transport protein
PSPTO_0234	6.74266926504935	5.91703539541107	0.825633869638279	nonDEG	OG0001592	K05844	rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]
PSPTO_0235	3.35863741400727	2.24685464992765	1.11178276407962	nonDEG	OG0003540		
PSPTO_0236	6.44160879459316	6.53516978983629	-0.0935609952431307	nonDEG	OG0001337	K21973	bluF; blue light- and temperature-responsive anti-repressor
PSPTO_0237	6.90574829550046	5.80540861259198	1.10033968290848	up	OG0001119	K04762	hslR; ribosome-associated heat shock protein Hsp15
PSPTO_0238	8.37714643959885	9.05381106535628	-0.67666462575743	nonDEG	OG0001591	K04083	hslO; molecular chaperone Hsp33
PSPTO_0239	10.0208431385076	9.06592518927171	0.95491794923589	nonDEG	OG0001590	K01610	E4.1.1.49; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
PSPTO_0240	7.67374877511936	8.86555322225905	-1.19180444713969	down			
PSPTO_0241	5.74679297650113	6.31753806811101	-0.57074509160988	nonDEG			
PSPTO_0243	2.12794485433922	4.6669241370626	-2.53897928272338	down	OG0002352		
PSPTO_0244	2.9400821434322	2.67460222973102	0.26547991370118	nonDEG	OG0000542	K06995	uncharacterized protein
PSPTO_0245	4.10878411603694	4.30224781794782	-0.19346370191088	nonDEG	OG0004187		
PSPTO_0246	2.48257673975951	2.78497004625131	-0.3023933064918	nonDEG			
PSPTO_0247	6.34928132198476	6.82411641218625	-0.47483509020149	nonDEG	OG0003665	K01560	E3.8.1.2; 2-haloacid dehalogenase [EC:3.8.1.2]
PSPTO_0248	2.81996662725791	3.76628793035757	-0.94632130309966	nonDEG	OG0000064	K09471	puuB; gamma-glutamylputrescine oxidase [EC:1.4.3.-]
PSPTO_0249	4.12743691500557	4.8878102067385	-0.76037329173293	nonDEG	OG0000018	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein
PSPTO_0250	2.93964185577928	3.60668586421599	-0.66704400843671	nonDEG	OG0000036	K02033	ABC.PE.P; peptide/nickel transport system permease protein
PSPTO_0251	2.35251561045016	4.17639995153955	-1.82388434108939	down	OG0000037	K02034	ABC.PE.P1; peptide/nickel transport system permease protein
PSPTO_0252	5.00929274207246	4.86582676160152	0.14346598047094	nonDEG	OG0000015	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein
PSPTO_0253	2.57047674510386	3.13536650884034	-0.56488976373648	nonDEG	OG0002284		
PSPTO_0254	2.59488835673436	3.76433930203133	-1.16945094529697	nonDEG	OG0001883	K22549	lhpC; D-hydroxyproline dehydrogenase subunit alpha [EC:1.5.99.-]
PSPTO_0255	2.65326262771263	4.0750634572586	-1.42180082954597	down	OG0001907	K00303	soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]
PSPTO_0256	3.87282019638083	4.59403084702056	-0.72121065063973	nonDEG	OG0000168	K01438	argE; acetylornithine deacetylase [EC:3.5.1.16]
PSPTO_0257	6.40119709368375	5.84576908099959	0.55542801268416	nonDEG	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
PSPTO_0258	2.90037286601748	3.45576345358947	-0.55539058757199	nonDEG	OG0000535	K12972	ghrA; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
PSPTO_0259	4.15166488034206	4.53706274135629	-0.38539786101423	nonDEG	OG0000520	K07250	gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]
