	MM_Col	MM_Kb	MM_FC	MM_DEG	OG	KO.id	KO.description
PSPTO_0030	4.87856175443111	5.21879858293399	-0.34023682850288	nonDEG			
PSPTO_0031	3.08480801431025	1.19682881797031	1.88797919633994	nonDEG	OG0003322		
PSPTO_0032	4.03027744645625	2.86075437375968	1.16952307269657	nonDEG	OG0007718		
PSPTO_0033	2.86917333469806	2.83850179146008	0.0306715432379798	nonDEG	OG0007719	K03497	parB; chromosome partitioning protein, ParB family
PSPTO_0035	5.69867243462257	5.12952441099872	0.56914802362385	nonDEG	OG0000138		
PSPTO_0040	2.3735199566546	1.12072452152707	1.25279543512753	nonDEG	OG0000174		
PSPTO_0041	2.64151201236186	2.76004206748655	-0.11853005512469	nonDEG			
PSPTO_0043	8.59997039837239	8.50698124220329	0.0929891561691001	nonDEG	OG0005800	K01493	comEB; dCMP deaminase [EC:3.5.4.12]
PSPTO_0044	6.3165077417587	4.34516713019669	1.97134061156201	up			
PSPTO_0045	5.44698228568567	6.01100345605822	-0.56402117037255	nonDEG			
PSPTO_0046	6.574196314731	6.67985334861509	-0.10565703388409	nonDEG	OG0003587	K07459	ybjD; putative ATP-dependent endonuclease of the OLD family
PSPTO_0047	6.81681005825573	6.67187484886574	0.14493520938999	nonDEG	OG0007079		
PSPTO_0048	6.39465442932816	7.29675688868792	-0.90210245935976	nonDEG			
PSPTO_0049	5.98998839813751	6.5550644344745	-0.56507603633699	nonDEG	OG0007140		
PSPTO_0050	5.15900599965499	6.29344535916915	-1.13443935951416	down			
PSPTO_0051	5.46035021926826	6.50968344947774	-1.04933323020948	down			
PSPTO_0052	8.12582406090467	8.94412447353056	-0.81830041262589	nonDEG	OG0007721		
PSPTO_0053	4.24733584421564	5.44364604193181	-1.19631019771617	down	OG0007714		
PSPTO_0054	2.06463379883861	2.74951044914327	-0.68487665030466	nonDEG	OG0007729		
PSPTO_0057	5.65956280050198	6.06521109635662	-0.405648295854641	nonDEG	OG0005074		
PSPTO_0058	5.78171502480916	5.59808402011101	0.18363100469815	nonDEG	OG0002408	K07497	putative transposase
PSPTO_0059	4.68964247862024	4.69299919947297	-0.00335672085272964	nonDEG	OG0007720		
PSPTO_0061	9.78202613026194	4.1250936930957	5.65693243716624	up			
PSPTO_0062	5.16512113171985	5.85205605642399	-0.68693492470414	nonDEG	OG0000482	K03300	TC.CITMHS; citrate-Mg2+:H+ or citrate-Ca2+:H+ symporter, CitMHS family
PSPTO_0063	3.75542678421465	3.57751762213989	0.17790916207476	nonDEG	OG0000350		
PSPTO_0064	9.5067959957768	9.27226417017268	0.234531825604121	nonDEG	OG0002962		
PSPTO_0065	6.23423270943526	6.70853605068266	-0.4743033412474	nonDEG	OG0000846	K03655	recG; ATP-dependent DNA helicase RecG [EC:3.6.4.12]
PSPTO_0066	6.08825480423692	6.29832621500555	-0.21007141076863	nonDEG	OG0000004	K04761	oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator
PSPTO_0067	6.60500945267315	6.04391560255962	0.56109385011353	nonDEG	OG0003331	K03832	tonB; periplasmic protein TonB
PSPTO_0068	3.57807809124784	2.67136346280521	0.90671462844263	nonDEG	OG0000089	K03559	exbD; biopolymer transport protein ExbD
PSPTO_0069	6.01143926142798	4.29864605648561	1.71279320494237	up	OG0002653	K03561	exbB; biopolymer transport protein ExbB
PSPTO_0070	4.65683668677499	4.68596269926623	-0.0291260124912398	nonDEG	OG0001165		
PSPTO_0071	6.97219587420778	6.84865814134121	0.12353773286657	nonDEG	OG0002652		
PSPTO_0072	7.44187053731673	7.81266007631777	-0.37078953900104	nonDEG	OG0000186	K09022	ridA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
PSPTO_0073	9.16925777597332	9.44317944383385	-0.273921667860531	nonDEG	OG0000306	K00951	relA; GTP pyrophosphokinase [EC:2.7.6.5]
PSPTO_0074	7.86473189462353	8.16406397099025	-0.299332076366721	nonDEG	OG0001792	K03060	rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]
PSPTO_0075	4.96209159534002	5.27600474217748	-0.31391314683746	nonDEG	OG0000845	K00942	E2.7.4.8; guanylate kinase [EC:2.7.4.8]
PSPTO_0076	5.92629298698716	6.38470811185718	-0.458415124870021	nonDEG	OG0001412		
PSPTO_0077	7.35337088245948	7.55497952139529	-0.20160863893581	nonDEG	OG0001283	K00989	rph; ribonuclease PH [EC:2.7.7.56]
PSPTO_0078	5.76913273165338	5.76636052239327	0.0027722092601099	nonDEG	OG0001977	K09940	uncharacterized protein
PSPTO_0079	7.50288370686226	8.48391237639293	-0.981028669530669	nonDEG	OG0001282	K01142	E3.1.11.2; exodeoxyribonuclease III [EC:3.1.11.2]
PSPTO_0080	5.1686839147479	5.92649956421766	-0.75781564946976	nonDEG	OG0000724	K00762	pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]
PSPTO_0081	6.51926727907071	7.12468053580312	-0.60541325673241	nonDEG	OG0006476		
PSPTO_0082	5.9861600349339	5.9458744014757	0.0402856334582005	nonDEG	OG0000844	K00930	argB; acetylglutamate kinase [EC:2.7.2.8]
PSPTO_0083	8.27752117720973	8.4218179586229	-0.144296781413169	nonDEG	OG0000212	K03431	glmM; phosphoglucosamine mutase [EC:5.4.2.10]
PSPTO_0084	5.94698205157394	6.05801771641447	-0.11103566484053	nonDEG	OG0001281	K01520	dut; dUTP pyrophosphatase [EC:3.6.1.23]
PSPTO_0085	8.62059180743666	9.10969136410218	-0.489099556665519	nonDEG	OG0000843	K13038	coaBC; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]
PSPTO_0086	3.66770536390381	4.64435967141711	-0.9766543075133	nonDEG	OG0000427	K03630	radC; DNA repair protein RadC
PSPTO_0087	7.51947874577249	7.63213217989013	-0.11265343411764	nonDEG	OG0000018	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein
PSPTO_0089	11.0323659547076	11.5177585290136	-0.485392574305999	nonDEG	OG0001025	K02902	RP-L28; large subunit ribosomal protein L28
PSPTO_0090	5.68545531052598	6.4913645039297	-0.805909193403719	nonDEG	OG0000723	K02913	RP-L33; large subunit ribosomal protein L33
PSPTO_0091	7.95605307680412	8.23930247591946	-0.28324939911534	nonDEG	OG0000542	K06995	uncharacterized protein
PSPTO_0092	7.45672154577614	8.08937245056142	-0.63265090478528	nonDEG	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
PSPTO_0094	3.90190299122893	4.62138035712199	-0.71947736589306	nonDEG	OG0001976		
PSPTO_0095	5.88561592425314	7.15303004397036	-1.26741411971722	down	OG0001164	K06132	clsC; cardiolipin synthase C [EC:2.7.8.-]
PSPTO_0096	6.04946776837736	5.68320991433983	0.36625785403753	nonDEG	OG0000079	K05825	LYSN; 2-aminoadipate transaminase [EC:2.6.1.-]
PSPTO_0097	3.75454678518919	3.88545972490808	-0.13091293971889	nonDEG	OG0002961		
PSPTO_0098	6.39800457631514	6.3588495802733	0.03915499604184	nonDEG	OG0000064	K09471	puuB; gamma-glutamylputrescine oxidase [EC:1.4.3.-]
PSPTO_0099	4.66324629099172	5.6144317824368	-0.951185491445081	nonDEG	OG0003330	K06940	uncharacterized protein
PSPTO_0100	4.38135912690674	4.63136499809695	-0.25000587119021	nonDEG	OG0000027	K03719	lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
PSPTO_0101	7.68249740206931	11.1128066571303	-3.43030925506099	down	OG0000136	K00285	dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]
PSPTO_0102	4.37799214944578	7.53548876031856	-3.15749661087278	down	OG0000829		
PSPTO_0103	5.41539592833686	9.20875907544611	-3.79336314710925	down	OG0000467	K01775	alr; alanine racemase [EC:5.1.1.1]
PSPTO_0105	5.76665854038412	6.85494464619124	-1.08828610580712	down	OG0000016	K07729	putative transcriptional regulator
PSPTO_0106	4.23656696153723	6.25230258514225	-2.01573562360502	down	OG0001532		
PSPTO_0107	6.4913159916317	7.07913305569072	-0.587817064059021	nonDEG	OG0002651		
PSPTO_0108	4.1590975333015	5.24363951087722	-1.08454197757572	down	OG0002131	K07090	uncharacterized protein
PSPTO_0109	6.20818218376735	7.76091010625328	-1.55272792248593	down	OG0002903	K17218	sqr; sulfide:quinone oxidoreductase [EC:1.8.5.4]
PSPTO_0110	6.72641608882408	8.7530996741331	-2.02668358530902	down	OG0000257	K01069	gloB; hydroxyacylglutathione hydrolase [EC:3.1.2.6]
PSPTO_0111	4.38776686521222	5.15870496380473	-0.77093809859251	nonDEG	OG0000007	K02667	pilR; two-component system, NtrC family, response regulator PilR
PSPTO_0112	3.84357377214254	4.58851308558271	-0.74493931344017	nonDEG	OG0002173	K03816	xpt; xanthine phosphoribosyltransferase [EC:2.4.2.22]
PSPTO_0113	8.20085087153519	9.33954086868559	-1.1386899971504	down	OG0000231	K03657	uvrD; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]
PSPTO_0114	6.11240523792308	7.02061005606659	-0.90820481814351	nonDEG	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
PSPTO_0115	5.93272325261885	6.77357962077358	-0.84085636815473	nonDEG	OG0000466	K03327	TC.MATE; multidrug resistance protein, MATE family
PSPTO_0116	4.697036746773	4.70056554171969	-0.00352879494669001	nonDEG	OG0000024	K03566	gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator
PSPTO_0117	8.25566399973624	8.03236518435311	0.223298815383131	nonDEG	OG0000005	K03406	mcp; methyl-accepting chemotaxis protein
PSPTO_0118	6.50503259313199	6.55450778582495	-0.0494751926929604	nonDEG	OG0001802	K03324	yjbB; phosphate:Na+ symporter
PSPTO_0119	6.88918074296947	6.99824652750162	-0.109065784532151	nonDEG	OG0003348	K07263	pqqL; zinc protease [EC:3.4.24.-]
PSPTO_0120	6.35268654410081	7.25395337502096	-0.90126683092015	nonDEG	OG0003347		
PSPTO_0121	6.68787182720772	7.04851642192774	-0.36064459472002	nonDEG	OG0001801	K06374	spmB; spore maturation protein B
PSPTO_0124	4.28109083386939	4.24438289939146	0.0367079344779304	nonDEG	OG0000577	K07497	putative transposase
PSPTO_0125	8.42263095114838	8.84642529483243	-0.423794343684051	nonDEG	OG0000585	K01755	argH; argininosuccinate lyase [EC:4.3.2.1]
PSPTO_0126	6.01112425502313	5.53636080857037	0.47476344645276	nonDEG	OG0000166	K08082	algZ; two-component system, LytTR family, sensor histidine kinase AlgZ [EC:2.7.13.3]
PSPTO_0127	7.2819606302516	7.52258706797445	-0.24062643772285	nonDEG	OG0000105	K08083	algR; two-component system, LytTR family, response regulator AlgR
PSPTO_0128	6.32106373936552	6.81490577501932	-0.493842035653801	nonDEG	OG0000841	K01749	hemC; hydroxymethylbilane synthase [EC:2.5.1.61]
PSPTO_0129	6.79657520740121	6.67106876361609	0.125506443785119	nonDEG	OG0001661	K01719	hemD; uroporphyrinogen-III synthase [EC:4.2.1.75]
PSPTO_0130	8.09732349814471	8.33925983192685	-0.241936333782139	nonDEG	OG0003795	K02496	hemX; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
PSPTO_0131	7.88013224883428	8.05516493373627	-0.17503268490199	nonDEG	OG0002171	K02498	hemY; HemY protein
PSPTO_0132	3.21312657720225	2.63018864123008	0.58293793597217	nonDEG	OG0000840	K03611	dsbB; disulfide bond formation protein DsbB
PSPTO_0134	9.0667767472614	8.51820597128305	0.54857077597835	nonDEG	OG0002957	K07740	rsd; regulator of sigma D
PSPTO_0135	7.3653437855504	7.64075110376926	-0.27540731821886	nonDEG	OG0000126	K03772	fkpA; FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]
PSPTO_0136	9.00925044988891	9.49482541236998	-0.485574962481071	nonDEG	OG0003794		
PSPTO_0137	3.06009159400594	1.32189465718298	1.73819693682296	nonDEG	OG0003327		
PSPTO_0138	8.15197373408773	8.98307837171604	-0.831104637628311	nonDEG	OG0000191	K06158	ABCF3; ATP-binding cassette, subfamily F, member 3
PSPTO_0139	5.87731735157256	6.63953333112944	-0.76221597955688	nonDEG	OG0002402		
PSPTO_0140	6.57504423802176	6.74703236039503	-0.17198812237327	nonDEG	OG0000047	K05834	rhtB; homoserine/homoserine lactone efflux protein
PSPTO_0141	7.8591644734843	6.97024140270169	0.888923070782609	nonDEG	OG0002956	K07243	FTR; high-affinity iron transporter
PSPTO_0142	5.00005904628763	3.67974489645019	1.32031414983744	up			
PSPTO_0144	8.24159393465538	8.16299769473115	0.0785962399242308	nonDEG	OG0000374	K01414	prlC; oligopeptidase A [EC:3.4.24.70]
PSPTO_0145	8.60373529137321	8.54628300540839	0.0574522859648212	nonDEG	OG0000373		
PSPTO_0146	2.83642473941175	3.19834100187336	-0.36191626246161	nonDEG	OG0003343		
PSPTO_0147	8.0880574061706	8.5843372940254	-0.496279887854799	nonDEG			
PSPTO_0148	4.14499318962856	3.99069698059397	0.154296209034591	nonDEG	OG0005814		
PSPTO_0149	6.80228501391439	7.15261486665229	-0.3503298527379	nonDEG	OG0005677		
PSPTO_0150	2.92490351505051	3.59312457661286	-0.66822106156235	nonDEG	OG0002905		
PSPTO_0151	3.91270323606935	4.6995418834773	-0.78683864740795	nonDEG	OG0001665		
PSPTO_0152	6.87560781582835	6.31948145563246	0.55612636019589	nonDEG	OG0000862	K04063	osmC; osmotically inducible protein OsmC
PSPTO_0153	5.63967121767837	6.55529387323368	-0.91562265555531	nonDEG	OG0000343		
PSPTO_0154	7.15508542109587	5.88646768165959	1.26861773943628	up	OG0001665		
PSPTO_0155	6.15241584293568	4.37076149159829	1.78165435133739	up	OG0002663	K09165	uncharacterized protein
PSPTO_0156	9.40680380275697	8.9024742103187	0.504329592438271	nonDEG	OG0003342		
PSPTO_0157	4.47237255665402	4.07626607490702	0.396106481747	nonDEG	OG0000024	K03566	gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator
PSPTO_0158	8.24474980010098	7.59861570182433	0.64613409827665	nonDEG	OG0000727	K01696	trpB; tryptophan synthase beta chain [EC:4.2.1.20]
PSPTO_0159	6.94247051659504	6.76574620450647	0.17672431208857	nonDEG	OG0000861	K01695	trpA; tryptophan synthase alpha chain [EC:4.2.1.20]
PSPTO_0161	3.63098241952639	3.7845531291944	-0.15357070966801	nonDEG	OG0003798		
PSPTO_0162	7.71920280460826	6.79728630033145	0.92191650427681	nonDEG	OG0000012	K01055	pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]
PSPTO_0163	4.18831475658296	4.76444320923595	-0.57612845265299	nonDEG	OG0002966	K10253	DOPA 4
PSPTO_0164	5.39694027353889	5.08071479899499	0.3162254745439	nonDEG	OG0000024	K03566	gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator
PSPTO_0165	7.96939699620422	8.34212678035194	-0.37272978414772	nonDEG	OG0000726	K01133	betC; choline-sulfatase [EC:3.1.6.6]
PSPTO_0166	6.41269348335979	6.32084677258141	0.0918467107783805	nonDEG	OG0000545	K02002	proX; glycine betaine/proline transport system substrate-binding protein
PSPTO_0167	8.61952049964813	7.12449750217614	1.49502299747199	up			
PSPTO_0168	5.92829923185335	6.28819458921548	-0.35989535736213	nonDEG	OG0003341	K03321	TC.SULP; sulfate permease, SulP family
PSPTO_0169	4.93104967359715	4.86872813232682	0.0623215412703306	nonDEG	OG0000171	K00014	aroE; shikimate dehydrogenase [EC:1.1.1.25]
PSPTO_0170	4.61079047236028	4.6356198993562	-0.0248294269959199	nonDEG	OG0001536	K00228	CPOX; coproporphyrinogen III oxidase [EC:1.3.3.3]
PSPTO_0173	5.15535645476674	4.92214955273069	0.23320690203605	nonDEG	OG0000060	K00344	qor; NADPH2:quinone reductase [EC:1.6.5.5]
PSPTO_0174	5.99798346264806	6.0064362306899	-0.00845276804184003	nonDEG	OG0000278	K07566	tsaC; L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]
PSPTO_0175	4.54847107605514	5.95362601080337	-1.40515493474823	down	OG0000860	K04096	smf; DNA processing protein
PSPTO_0176	6.81832752322899	6.94916712274594	-0.13083959951695	nonDEG	OG0002409		
PSPTO_0177	7.04679734152103	8.04079170742851	-0.993994365907479	nonDEG	OG0000243	K01462	PDF; peptide deformylase [EC:3.5.1.88]
PSPTO_0178	5.78724065826366	6.92101207673865	-1.13377141847499	down	OG0000859	K00604	MTFMT; methionyl-tRNA formyltransferase [EC:2.1.2.9]
PSPTO_0179	6.05723383327063	6.76665984268537	-0.70942600941474	nonDEG	OG0000587	K03500	rsmB; 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
PSPTO_0180	5.83345868401949	6.81585251372819	-0.9823938297087	nonDEG	OG0002175	K03499	trkA; trk system potassium uptake protein
PSPTO_0181	4.28911303919157	4.22002034234794	0.0690926968436303	nonDEG	OG0000770		
PSPTO_0182	6.07012695591724	6.11721704403501	-0.0470900881177707	nonDEG	OG0000286	K02517	lpxL; Kdo2-lipid IVA lauroyltransferase [EC:2.3.1.241]
PSPTO_0183	4.01895761969258	3.75645887222357	0.26249874746901	nonDEG	OG0000810	K01246	tag; DNA-3-methyladenine glycosylase I [EC:3.2.2.20]
PSPTO_0184	8.06860635324912	9.03071462233324	-0.962108269084121	nonDEG	OG0001664	K01878	glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]
PSPTO_0185	7.30556000970735	7.73882974758861	-0.433269737881259	nonDEG	OG0001663	K01879	glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14]
PSPTO_0186	6.37072033940446	6.59944281096707	-0.228722471562611	nonDEG	OG0001798	K03273	gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]
PSPTO_0187	4.39361479707652	5.24033583382796	-0.846721036751441	nonDEG	OG0000252	K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
PSPTO_0189	2.65364977464636	3.27081823719973	-0.61716846255337	nonDEG	OG0001780	K01501	E3.5.5.1; nitrilase [EC:3.5.5.1]
PSPTO_0194	3.73327775527966	4.92152918271319	-1.18825142743353	down	OG0000402		
PSPTO_0200	6.9944738273709	7.94631297333938	-0.95183914596848	nonDEG	OG0001484		
PSPTO_0201	7.02377412865151	7.8733552037798	-0.84958107512829	nonDEG	OG0001592	K05844	rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]
PSPTO_0202	5.71494368592841	5.81855558552545	-0.10361189959704	nonDEG			
PSPTO_0203	4.87448162490018	5.25577128847797	-0.38128966357779	nonDEG	OG0000134	K01697	CBS; cystathionine beta-synthase [EC:4.2.1.22]
PSPTO_0205	6.40951569627899	6.51327466009543	-0.10375896381644	nonDEG			
PSPTO_0206	9.95745853554528	9.47789015104811	0.479568384497171	nonDEG	OG0001415	K18842	chpS; antitoxin ChpS
PSPTO_0208	5.63397724775621	6.22707782346284	-0.59310057570663	nonDEG	OG0004788		
PSPTO_0209	2.66378455886369	3.19892862654591	-0.53514406768222	nonDEG	OG0000463	K01586	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]
PSPTO_0210	1.30483035695735	2.02384449729631	-0.71901414033896	nonDEG	OG0001007		
PSPTO_0211	0.361391389862465	2.00157960466129	-1.64018821479882	nonDEG	OG0001633	K10531	pvdA; L-ornithine N5-monooxygenase [EC:1.14.13.195 1.14.13.196]
PSPTO_0212	2.31497367187814	2.62203349243782	-0.30705982055968	nonDEG	OG0000642		
PSPTO_0213	4.44013011179474	4.26974197645475	0.17038813533999	nonDEG	OG0005424	K07334	higB-1; toxin HigB-1
PSPTO_0214	1.99958275676766	1.97240948925209	0.02717326751557	nonDEG	OG0001277	K21498	higA-1; antitoxin HigA-1
PSPTO_0215	6.93995349269962	7.78716359257963	-0.847210099880011	nonDEG	OG0001791	K09806	uncharacterized protein
PSPTO_0217	7.0709386377905	7.53751191893103	-0.46657328114053	nonDEG	OG0000842	K04752	glnK; nitrogen regulatory protein P-II 2
PSPTO_0218	6.45288194031687	6.7629788273709	-0.31009688705403	nonDEG	OG0000465	K03320	amt; ammonium transporter, Amt family
PSPTO_0219	7.36990350456916	8.31072365215027	-0.94082014758111	nonDEG	OG0002650		
PSPTO_0220	9.10389649793859	10.3002141309929	-1.19631763305431	down	OG0002960		
PSPTO_0221	6.81075366980329	5.94397058172534	0.86678308807795	nonDEG	OG0000464	K20862	yigB; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]
PSPTO_0222	7.2701927424734	6.57997272231321	0.69022002016019	nonDEG	OG0000148	K03733	xerC; integrase/recombinase XerC
PSPTO_0223	5.7324065166885	6.13804453465535	-0.40563801796685	nonDEG	OG0002172	K09921	uncharacterized protein
PSPTO_0224	6.01429797806036	6.22851854374625	-0.21422056568589	nonDEG	OG0000805	K01778	dapF; diaminopimelate epimerase [EC:5.1.1.7]
PSPTO_0225	7.91368301186135	8.29723057258377	-0.38354756072242	nonDEG	OG0000463	K01586	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]
PSPTO_0226	4.89084903812901	5.46292521272794	-0.57207617459893	nonDEG	OG0002404		
PSPTO_0227	5.81960694701381	5.75807656202332	0.0615303849904896	nonDEG	OG0002959	K06202	cyaY; CyaY protein
PSPTO_0228	0.0349271352589108	1.81939497084557	-1.78446783558666	nonDEG	OG0004055	K06938	uncharacterized protein
PSPTO_0229	3.27645086691986	4.56184221822242	-1.28539135130256	down	OG0002649	K06140	rnk; regulator of nucleoside diphosphate kinase
PSPTO_0230	7.6579166144188	7.70672099777866	-0.0488043833598608	nonDEG	OG0002958	K05851	cyaA; adenylate cyclase, class 1 [EC:4.6.1.1]
PSPTO_0231	9.8165922332329	6.52602703534877	3.29056519788413	up	OG0003329		
PSPTO_0232	7.46517699134716	7.88096907240412	-0.41579208105696	nonDEG	OG0003328		
PSPTO_0233	3.71880550569108	5.54275409828035	-1.82394859258927	down	OG0000082	K11103	dctA; aerobic C4-dicarboxylate transport protein
PSPTO_0234	5.60533446360811	6.00081268184089	-0.39547821823278	nonDEG	OG0001592	K05844	rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]
PSPTO_0235	2.05456498917666	2.07862100824776	-0.0240560190710997	nonDEG	OG0003540		
PSPTO_0236	6.37630352145663	6.52230308728661	-0.14599956582998	nonDEG	OG0001337	K21973	bluF; blue light- and temperature-responsive anti-repressor
PSPTO_0237	6.06941419435058	5.89557005681541	0.17384413753517	nonDEG	OG0001119	K04762	hslR; ribosome-associated heat shock protein Hsp15
PSPTO_0238	8.06343501248237	9.03522714864905	-0.971792136166679	nonDEG	OG0001591	K04083	hslO; molecular chaperone Hsp33
PSPTO_0239	8.0186937498968	8.60303260536855	-0.584338855471751	nonDEG	OG0001590	K01610	E4.1.1.49; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
PSPTO_0240	8.59060931684176	8.77776589176997	-0.18715657492821	nonDEG			
PSPTO_0241	5.333858106645	6.27570606701324	-0.94184796036824	nonDEG			
PSPTO_0243	3.98052063712255	4.19192592962677	-0.21140529250422	nonDEG	OG0002352		
PSPTO_0244	3.11109192077922	2.50610686680396	0.60498505397526	nonDEG	OG0000542	K06995	uncharacterized protein
PSPTO_0245	4.89646886808662	4.40769443415299	0.48877443393363	nonDEG	OG0004187		
PSPTO_0246	2.24682424068822	2.72733662176955	-0.48051238108133	nonDEG			
PSPTO_0247	5.96125648984433	7.34762171080725	-1.38636522096292	down	OG0003665	K01560	E3.8.1.2; 2-haloacid dehalogenase [EC:3.8.1.2]
PSPTO_0248	1.92581738200189	3.78915683587652	-1.86333945387463	down	OG0000064	K09471	puuB; gamma-glutamylputrescine oxidase [EC:1.4.3.-]
PSPTO_0249	4.36294347081614	5.48033594966209	-1.11739247884595	down	OG0000018	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein
PSPTO_0250	2.62731821080952	3.10385246250815	-0.47653425169863	nonDEG	OG0000036	K02033	ABC.PE.P; peptide/nickel transport system permease protein
PSPTO_0251	3.00979691633603	4.07364732668915	-1.06385041035312	nonDEG	OG0000037	K02034	ABC.PE.P1; peptide/nickel transport system permease protein
PSPTO_0252	3.9390435773733	4.54499524506587	-0.60595166769257	nonDEG	OG0000015	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein
PSPTO_0253	2.31468317423167	2.99629421180909	-0.68161103757742	nonDEG	OG0002284		
PSPTO_0254	3.44634116984024	3.70704963812871	-0.26070846828847	nonDEG	OG0001883	K22549	lhpC; D-hydroxyproline dehydrogenase subunit alpha [EC:1.5.99.-]
PSPTO_0255	3.67389854809909	4.37676861940001	-0.70287007130092	nonDEG	OG0001907	K00303	soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]
PSPTO_0256	3.79388969046783	4.06273403839287	-0.26884434792504	nonDEG	OG0000168	K01438	argE; acetylornithine deacetylase [EC:3.5.1.16]
PSPTO_0257	5.43048531106868	5.78697827215792	-0.35649296108924	nonDEG	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
