	D36E_Col	D36E_Kb	D36E_FC	D36E_DEG	OG	KO.id	KO.description
PSPTO_0051	4.21788198595427	5.56279244278278	-1.34491045682851	down			
PSPTO_0052	7.22544393235422	8.42499139267316	-1.19954746031894	down	OG0007721		
PSPTO_0053	3.55383761557121	4.12436852683185	-0.57053091126064	nonDEG	OG0007714		
PSPTO_0054	2.85595447380272	2.42892734921327	0.42702712458945	nonDEG	OG0007729		
PSPTO_0057	5.24992879514974	5.75938518119732	-0.50945638604758	nonDEG	OG0005074		
PSPTO_0058	5.01075610232727	5.57613620784709	-0.56538010551982	nonDEG	OG0002408	K07497	putative transposase
PSPTO_0059	3.96170157941248	4.4384852226097	-0.47678364319722	nonDEG	OG0007720		
PSPTO_0061	9.86293841606317	9.85612106731457	0.00681734874859963	nonDEG			
PSPTO_0062	7.73860631319806	6.65749738482279	1.08110892837527	up	OG0000482	K03300	TC.CITMHS; citrate-Mg2+:H+ or citrate-Ca2+:H+ symporter, CitMHS family
PSPTO_0063	2.90307627560109	3.91482391952963	-1.01174764392854	nonDEG	OG0000350		
PSPTO_0064	10.6709844837445	9.00076429601592	1.67022018772858	up	OG0002962		
PSPTO_0065	7.09213186451574	6.02029805967338	1.07183380484236	up	OG0000846	K03655	recG; ATP-dependent DNA helicase RecG [EC:3.6.4.12]
PSPTO_0066	7.8005740683325	5.51815418848344	2.28241987984906	up	OG0000004	K04761	oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator
PSPTO_0067	7.20287499520786	5.44820735962588	1.75466763558198	up	OG0003331	K03832	tonB; periplasmic protein TonB
PSPTO_0068	3.9229211130095	1.02353449477138	2.89938661823812	up	OG0000089	K03559	exbD; biopolymer transport protein ExbD
PSPTO_0069	7.54286992688172	3.56190579511569	3.98096413176603	up	OG0002653	K03561	exbB; biopolymer transport protein ExbB
PSPTO_0070	5.15949426884879	3.53833053141543	1.62116373743336	up	OG0001165		
PSPTO_0071	6.82331784625748	6.91204048408843	-0.0887226378309496	nonDEG	OG0002652		
PSPTO_0072	7.1440072492299	7.60675064846235	-0.46274339923245	nonDEG	OG0000186	K09022	ridA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
PSPTO_0073	8.89669487573613	9.48364390482573	-0.586949029089599	nonDEG	OG0000306	K00951	relA; GTP pyrophosphokinase [EC:2.7.6.5]
PSPTO_0074	7.83605319920799	7.81341115620474	0.0226420430032501	nonDEG	OG0001792	K03060	rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]
PSPTO_0075	3.28501819733436	4.733697095857	-1.44867889852264	nonDEG	OG0000845	K00942	E2.7.4.8; guanylate kinase [EC:2.7.4.8]
PSPTO_0076	5.33251824993093	6.24153111730026	-0.909012867369331	nonDEG	OG0001412		
PSPTO_0077	8.45946158668754	6.87493069695908	1.58453088972846	up	OG0001283	K00989	rph; ribonuclease PH [EC:2.7.7.56]
PSPTO_0078	4.73452729406195	6.24826023667056	-1.51373294260861	down	OG0001977	K09940	uncharacterized protein
PSPTO_0079	8.49929281629315	7.96658955166049	0.532703264632659	nonDEG	OG0001282	K01142	E3.1.11.2; exodeoxyribonuclease III [EC:3.1.11.2]
PSPTO_0080	5.61185912638405	5.61869985091868	-0.00684072453463003	nonDEG	OG0000724	K00762	pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]
PSPTO_0081	6.85747349174618	6.99558406538082	-0.13811057363464	nonDEG	OG0006476		
PSPTO_0082	5.83077815942837	5.95524682046525	-0.124468661036881	nonDEG	OG0000844	K00930	argB; acetylglutamate kinase [EC:2.7.2.8]
PSPTO_0083	8.92447869069382	7.76058842715946	1.16389026353436	up	OG0000212	K03431	glmM; phosphoglucosamine mutase [EC:5.4.2.10]
PSPTO_0084	3.4712918533677	6.36022752289254	-2.88893566952484	down	OG0001281	K01520	dut; dUTP pyrophosphatase [EC:3.6.1.23]
PSPTO_0085	7.72980890729402	8.87330185880251	-1.14349295150849	down	OG0000843	K13038	coaBC; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]
PSPTO_0086	4.7389882621109	4.62319967460424	0.11578858750666	nonDEG	OG0000427	K03630	radC; DNA repair protein RadC
PSPTO_0087	7.3620296396743	7.698378082802	-0.3363484431277	nonDEG	OG0000018	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein
PSPTO_0089	8.76915581163168	12.3307650564461	-3.56160924481442	down	OG0001025	K02902	RP-L28; large subunit ribosomal protein L28
PSPTO_0090	4.20779995373107	7.43988196298374	-3.23208200925267	nonDEG	OG0000723	K02913	RP-L33; large subunit ribosomal protein L33
PSPTO_0091	7.36545990689733	7.94625382671114	-0.58079391981381	nonDEG	OG0000542	K06995	uncharacterized protein
PSPTO_0092	8.24592372084226	7.72126031516668	0.52466340567558	nonDEG	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
PSPTO_0094	2.90633070618894	4.72424272280837	-1.81791201661943	nonDEG	OG0001976		
PSPTO_0095	5.70154303508661	6.42492776833152	-0.723384733244909	nonDEG	OG0001164	K06132	clsC; cardiolipin synthase C [EC:2.7.8.-]
PSPTO_0096	6.61986722983694	6.03630047367699	0.58356675615995	nonDEG	OG0000079	K05825	LYSN; 2-aminoadipate transaminase [EC:2.6.1.-]
PSPTO_0097	5.0372032992997	3.74466077685454	1.29254252244516	nonDEG	OG0002961		
PSPTO_0098	5.43169484146358	6.70541346782384	-1.27371862636026	down	OG0000064	K09471	puuB; gamma-glutamylputrescine oxidase [EC:1.4.3.-]
PSPTO_0099	5.45105630771206	5.23040876392125	0.220647543790809	nonDEG	OG0003330	K06940	uncharacterized protein
PSPTO_0100	4.36188276228181	4.3860525381887	-0.0241697759068904	nonDEG	OG0000027	K03719	lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
PSPTO_0101	9.06545333404267	11.0808956416053	-2.01544230756263	down	OG0000136	K00285	dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]
PSPTO_0102	5.32372870176548	7.14450265905888	-1.8207739572934	down	OG0000829		
PSPTO_0103	6.05515197687837	8.8467996149555	-2.79164763807713	down	OG0000467	K01775	alr; alanine racemase [EC:5.1.1.1]
PSPTO_0105	5.62114595862065	6.77432691113617	-1.15318095251552	down	OG0000016	K07729	putative transcriptional regulator
PSPTO_0106	4.13374620958506	5.75417891715093	-1.62043270756587	down	OG0001532		
PSPTO_0107	7.04392101406745	6.83002746764581	0.21389354642164	nonDEG	OG0002651		
PSPTO_0108	2.30774688589429	3.10832590915138	-0.80057902325709	nonDEG	OG0002131	K07090	uncharacterized protein
PSPTO_0109	6.60455816373863	5.76315626056055	0.841401903178079	nonDEG	OG0002903	K17218	sqr; sulfide:quinone oxidoreductase [EC:1.8.5.4]
PSPTO_0110	7.38041664709592	6.49096891516733	0.88944773192859	nonDEG	OG0000257	K01069	gloB; hydroxyacylglutathione hydrolase [EC:3.1.2.6]
PSPTO_0111	5.01213233078422	4.1911912606026	0.82094107018162	nonDEG	OG0000007	K02667	pilR; two-component system, NtrC family, response regulator PilR
PSPTO_0112	2.32872702013358	3.99498173103375	-1.66625471090017	nonDEG	OG0002173	K03816	xpt; xanthine phosphoribosyltransferase [EC:2.4.2.22]
PSPTO_0113	7.82684331011024	9.08965008503742	-1.26280677492718	down	OG0000231	K03657	uvrD; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]
PSPTO_0114	5.52706215374125	6.66487855956724	-1.13781640582599	down	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
PSPTO_0115	5.36360844906839	6.90276425018692	-1.53915580111853	down	OG0000466	K03327	TC.MATE; multidrug resistance protein, MATE family
PSPTO_0116	4.84960220986048	4.85925916498402	-0.00965695512353992	nonDEG	OG0000024	K03566	gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator
PSPTO_0117	6.85452930185926	7.5899751719062	-0.735445870046941	nonDEG	OG0000005	K03406	mcp; methyl-accepting chemotaxis protein
PSPTO_0118	6.4531363057354	6.44918077538916	0.00395553034624019	nonDEG	OG0001802	K03324	yjbB; phosphate:Na+ symporter
PSPTO_0119	8.21664408522429	6.17120274186304	2.04544134336125	up	OG0003348	K07263	pqqL; zinc protease [EC:3.4.24.-]
PSPTO_0120	5.74756529529952	6.67009389611698	-0.92252860081746	nonDEG	OG0003347		
PSPTO_0121	6.84158108809387	6.7653482342058	0.0762328538880697	nonDEG	OG0001801	K06374	spmB; spore maturation protein B
PSPTO_0124	3.49669476789883	4.75032780946522	-1.25363304156639	nonDEG	OG0000577	K07497	putative transposase
PSPTO_0125	8.65247865335919	8.49833609864873	0.154142554710459	nonDEG	OG0000585	K01755	argH; argininosuccinate lyase [EC:4.3.2.1]
PSPTO_0126	6.88567419463094	5.98810166291842	0.89757253171252	nonDEG	OG0000166	K08082	algZ; two-component system, LytTR family, sensor histidine kinase AlgZ [EC:2.7.13.3]
PSPTO_0127	8.37187817187766	6.76601896303295	1.60585920884471	up	OG0000105	K08083	algR; two-component system, LytTR family, response regulator AlgR
PSPTO_0128	7.02132099286298	6.45726533347284	0.56405565939014	nonDEG	OG0000841	K01749	hemC; hydroxymethylbilane synthase [EC:2.5.1.61]
PSPTO_0129	6.96847097368804	6.57329473236113	0.395176241326911	nonDEG	OG0001661	K01719	hemD; uroporphyrinogen-III synthase [EC:4.2.1.75]
PSPTO_0130	8.28764266406049	8.02773899941102	0.259903664649469	nonDEG	OG0003795	K02496	hemX; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
PSPTO_0131	7.44001989566901	7.99513614080609	-0.55511624513708	nonDEG	OG0002171	K02498	hemY; HemY protein
PSPTO_0132	2.05731728838825	3.28217277107987	-1.22485548269162	nonDEG	OG0000840	K03611	dsbB; disulfide bond formation protein DsbB
PSPTO_0134	7.97771875467589	7.98327050912605	-0.00555175445015976	nonDEG	OG0002957	K07740	rsd; regulator of sigma D
PSPTO_0135	6.26216008300038	7.43211409807426	-1.16995401507388	down	OG0000126	K03772	fkpA; FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]
PSPTO_0136	10.4370022366224	8.76181648426306	1.67518575235934	up	OG0003794		
PSPTO_0137	2.3655817686792	1.76002280036944	0.60555896830976	nonDEG	OG0003327		
PSPTO_0138	7.54299266344268	8.60060788460774	-1.05761522116506	down	OG0000191	K06158	ABCF3; ATP-binding cassette, subfamily F, member 3
PSPTO_0139	4.88153539931608	6.96663343455639	-2.08509803524031	down	OG0002402		
PSPTO_0140	5.14121718945832	7.02665161604183	-1.88543442658351	down	OG0000047	K05834	rhtB; homoserine/homoserine lactone efflux protein
PSPTO_0141	5.49009951906701	7.09274378655221	-1.6026442674852	down	OG0002956	K07243	FTR; high-affinity iron transporter
PSPTO_0142	0.17240198640271	2.75506570441888	-2.58266371801617	down			
PSPTO_0144	8.62159926223186	8.18554635166449	0.436052910567369	nonDEG	OG0000374	K01414	prlC; oligopeptidase A [EC:3.4.24.70]
PSPTO_0145	8.18746609278351	8.03247453745399	0.15499155532952	nonDEG	OG0000373		
PSPTO_0146	1.70411749677946	3.07746056140538	-1.37334306462592	nonDEG	OG0003343		
PSPTO_0147	5.00237004340096	8.84239348111186	-3.8400234377109	down			
PSPTO_0148	0.90803198002077	4.45595351762043	-3.54792153759966	down	OG0005814		
PSPTO_0149	6.99195250324993	7.01319321972584	-0.0212407164759103	nonDEG	OG0005677		
PSPTO_0150	2.55696812007866	3.47013728506548	-0.91316916498682	nonDEG	OG0002905		
PSPTO_0151	6.87741091025823	3.4736887128583	3.40372219739993	up	OG0001665		
PSPTO_0152	9.9095639377089	5.37958384908892	4.52998008861998	up	OG0000862	K04063	osmC; osmotically inducible protein OsmC
PSPTO_0153	4.82524643184146	5.88213334567031	-1.05688691382885	nonDEG	OG0000343		
PSPTO_0154	7.5912705653342	5.39062414423233	2.20064642110187	up	OG0001665		
PSPTO_0155	7.66572045257679	4.91193592500246	2.75378452757433	up	OG0002663	K09165	uncharacterized protein
PSPTO_0156	11.9433572551609	8.21843803411031	3.72491922105059	up	OG0003342		
PSPTO_0157	5.43836584743351	3.89019909738354	1.54816675004997	up	OG0000024	K03566	gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator
PSPTO_0158	9.81224096867963	7.25681536556663	2.555425603113	up	OG0000727	K01696	trpB; tryptophan synthase beta chain [EC:4.2.1.20]
PSPTO_0159	8.40152405980609	6.81107082945368	1.59045323035241	up	OG0000861	K01695	trpA; tryptophan synthase alpha chain [EC:4.2.1.20]
PSPTO_0161	5.47903721372394	3.04844853364936	2.43058868007458	up	OG0003798		
PSPTO_0162	6.74662351332123	6.39680094823763	0.3498225650836	nonDEG	OG0000012	K01055	pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]
PSPTO_0163	3.65405637335582	4.63965596608768	-0.985599592731861	nonDEG	OG0002966	K10253	DOPA 4
PSPTO_0164	4.74640995385746	5.16666667991661	-0.420256726059151	nonDEG	OG0000024	K03566	gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator
PSPTO_0165	8.43314393159485	8.0371934207606	0.39595051083425	nonDEG	OG0000726	K01133	betC; choline-sulfatase [EC:3.1.6.6]
PSPTO_0166	6.33344908708897	5.46900776096616	0.86444132612281	nonDEG	OG0000545	K02002	proX; glycine betaine/proline transport system substrate-binding protein
PSPTO_0167	8.27802289731961	6.68007949215456	1.59794340516505	up			
PSPTO_0168	5.63910021958867	6.3677320979785	-0.72863187838983	nonDEG	OG0003341	K03321	TC.SULP; sulfate permease, SulP family
PSPTO_0169	3.68028943166029	5.14310876883858	-1.46281933717829	nonDEG	OG0000171	K00014	aroE; shikimate dehydrogenase [EC:1.1.1.25]
PSPTO_0170	4.9726636639792	4.8234642562869	0.149199407692301	nonDEG	OG0001536	K00228	CPOX; coproporphyrinogen III oxidase [EC:1.3.3.3]
PSPTO_0173	5.29682943903268	3.94364390223891	1.35318553679377	up	OG0000060	K00344	qor; NADPH2:quinone reductase [EC:1.6.5.5]
PSPTO_0174	6.37322575996609	5.86017927125892	0.51304648870717	nonDEG	OG0000278	K07566	tsaC; L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]
PSPTO_0175	5.07479600987457	5.55938658538761	-0.484590575513041	nonDEG	OG0000860	K04096	smf; DNA processing protein
PSPTO_0176	7.28880085086115	6.64913585469933	0.639664996161819	nonDEG	OG0002409		
PSPTO_0177	6.91527413450783	7.66546667214797	-0.75019253764014	nonDEG	OG0000243	K01462	PDF; peptide deformylase [EC:3.5.1.88]
PSPTO_0178	4.9767500602305	6.57800793005628	-1.60125786982578	down	OG0000859	K00604	MTFMT; methionyl-tRNA formyltransferase [EC:2.1.2.9]
PSPTO_0179	6.0973454612772	6.86451946815248	-0.76717400687528	nonDEG	OG0000587	K03500	rsmB; 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
PSPTO_0180	5.6351061484759	6.97750647880987	-1.34240033033397	down	OG0002175	K03499	trkA; trk system potassium uptake protein
PSPTO_0181	4.70578913314445	4.45767523596525	0.2481138971792	nonDEG	OG0000770		
PSPTO_0182	6.37776015128777	5.82501233090696	0.55274782038081	nonDEG	OG0000286	K02517	lpxL; Kdo2-lipid IVA lauroyltransferase [EC:2.3.1.241]
PSPTO_0183	2.27850298654958	3.69020414591276	-1.41170115936318	nonDEG	OG0000810	K01246	tag; DNA-3-methyladenine glycosylase I [EC:3.2.2.20]
PSPTO_0184	8.66612182108153	8.75652786768793	-0.0904060466064003	nonDEG	OG0001664	K01878	glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]
PSPTO_0185	7.24707877126917	7.84676047481942	-0.59968170355025	nonDEG	OG0001663	K01879	glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14]
PSPTO_0186	6.15790393206686	6.4195489774657	-0.26164504539884	nonDEG	OG0001798	K03273	gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]
PSPTO_0187	2.8200095188256	4.48161805666959	-1.66160853784399	down	OG0000252	K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
PSPTO_0189	3.71784037796123	2.86800192543885	0.84983845252238	nonDEG	OG0001780	K01501	E3.5.5.1; nitrilase [EC:3.5.5.1]
PSPTO_0194	2.74895524323714	4.77206772636965	-2.02311248313251	nonDEG	OG0000402		
PSPTO_0200	5.6939914439788	7.96203563059809	-2.26804418661929	down	OG0001484		
PSPTO_0201	3.71007090478553	7.05625754335057	-3.34618663856504	down	OG0001592	K05844	rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]
PSPTO_0202	1.31297456301292	5.67280220227447	-4.35982763926155	down			
PSPTO_0203	3.12374983195832	4.9379026373432	-1.81415280538488	nonDEG	OG0000134	K01697	CBS; cystathionine beta-synthase [EC:4.2.1.22]
PSPTO_0205	5.55066068025641	6.0868239237857	-0.53616324352929	nonDEG			
PSPTO_0206	11.5403231529899	9.39845724192326	2.14186591106664	up	OG0001415	K18842	chpS; antitoxin ChpS
PSPTO_0208	6.19865045589211	6.26932974849283	-0.0706792926007207	nonDEG	OG0004788		
PSPTO_0209	2.32639482236658	2.34137355896043	-0.0149787365938501	nonDEG	OG0000463	K01586	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]
PSPTO_0210	1.95203276092757	2.67955186990825	-0.72751910898068	nonDEG	OG0001007		
PSPTO_0211	1.30979556744299	1.66910760789818	-0.35931204045519	nonDEG	OG0001633	K10531	pvdA; L-ornithine N5-monooxygenase [EC:1.14.13.195 1.14.13.196]
PSPTO_0212	4.13713386692354	3.13570897541692	1.00142489150662	nonDEG	OG0000642		
PSPTO_0213	3.53036421367128	4.3382652087755	-0.80790099510422	nonDEG	OG0005424	K07334	higB-1; toxin HigB-1
PSPTO_0214	2.9405169657345	1.21499633534946	1.72552063038504	nonDEG	OG0001277	K21498	higA-1; antitoxin HigA-1
PSPTO_0215	9.17981098694746	8.00167649494249	1.17813449200497	up	OG0001791	K09806	uncharacterized protein
PSPTO_0217	7.65868984371536	6.94283874315072	0.71585110056464	nonDEG	OG0000842	K04752	glnK; nitrogen regulatory protein P-II 2
PSPTO_0218	8.21257931763389	6.76595167375338	1.44662764388051	up	OG0000465	K03320	amt; ammonium transporter, Amt family
PSPTO_0219	7.11828313583514	7.92750908692162	-0.809225951086479	nonDEG	OG0002650		
PSPTO_0220	7.21202279912751	9.94215161150849	-2.73012881238098	down	OG0002960		
PSPTO_0221	5.68492379694644	6.01211892516119	-0.32719512821475	nonDEG	OG0000464	K20862	yigB; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]
PSPTO_0222	6.20252928425201	7.09981683303738	-0.89728754878537	nonDEG	OG0000148	K03733	xerC; integrase/recombinase XerC
PSPTO_0223	5.88883827476902	6.03963781681567	-0.15079954204665	nonDEG	OG0002172	K09921	uncharacterized protein
PSPTO_0224	6.21708135464406	6.19898053652197	0.0181008181220905	nonDEG	OG0000805	K01778	dapF; diaminopimelate epimerase [EC:5.1.1.7]
PSPTO_0225	8.83929430706367	8.01867080715095	0.820623499912719	nonDEG	OG0000463	K01586	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]
PSPTO_0226	5.28703009691493	5.28717660236247	-0.000146505447539802	nonDEG	OG0002404		
PSPTO_0227	4.89777292143375	4.90876426271863	-0.0109913412848792	nonDEG	OG0002959	K06202	cyaY; CyaY protein
PSPTO_0228	1.76300416243619	1.34346231075553	0.41954185168066	nonDEG	OG0004055	K06938	uncharacterized protein
PSPTO_0229	3.37082768355555	4.9135456453315	-1.54271796177595	nonDEG	OG0002649	K06140	rnk; regulator of nucleoside diphosphate kinase
PSPTO_0230	6.89467750524375	7.58192569170227	-0.68724818645852	nonDEG	OG0002958	K05851	cyaA; adenylate cyclase, class 1 [EC:4.6.1.1]
PSPTO_0231	8.76826992802689	6.53351545550724	2.23475447251965	up	OG0003329		
PSPTO_0232	5.5317895232072	7.51425390062667	-1.98246437741947	down	OG0003328		
PSPTO_0233	4.22791738563197	5.52896348898328	-1.30104610335131	nonDEG	OG0000082	K11103	dctA; aerobic C4-dicarboxylate transport protein
PSPTO_0234	6.2454166586968	5.64316781242401	0.60224884627279	nonDEG	OG0001592	K05844	rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]
PSPTO_0235	3.69486122717461	1.59113636531527	2.10372486185934	up	OG0003540		
PSPTO_0236	7.42004751870035	6.29281307944848	1.12723443925187	up	OG0001337	K21973	bluF; blue light- and temperature-responsive anti-repressor
PSPTO_0237	6.63030911078163	5.15700202353823	1.4733070872434	up	OG0001119	K04762	hslR; ribosome-associated heat shock protein Hsp15
PSPTO_0238	7.9661046930001	8.6502635822683	-0.6841588892682	nonDEG	OG0001591	K04083	hslO; molecular chaperone Hsp33
PSPTO_0239	8.2112515533032	8.57734540029334	-0.36609384699014	nonDEG	OG0001590	K01610	E4.1.1.49; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
PSPTO_0240	8.36551316010173	8.61243379365175	-0.246920633550021	nonDEG			
PSPTO_0241	5.80471344729433	5.16479050095392	0.63992294634041	nonDEG			
PSPTO_0243	3.82328365379148	4.56666188780507	-0.74337823401359	nonDEG	OG0002352		
PSPTO_0244	3.67530997812797	2.38043566393163	1.29487431419634	nonDEG	OG0000542	K06995	uncharacterized protein
PSPTO_0245	4.97879831613688	3.30433863660297	1.67445967953391	up	OG0004187		
PSPTO_0246	2.48053363300922	2.45234139634633	0.0281922366628899	nonDEG			
PSPTO_0247	7.91206770485778	5.96720261041217	1.94486509444561	up	OG0003665	K01560	E3.8.1.2; 2-haloacid dehalogenase [EC:3.8.1.2]
PSPTO_0248	2.55670022065961	3.466273746108	-0.90957352544839	nonDEG	OG0000064	K09471	puuB; gamma-glutamylputrescine oxidase [EC:1.4.3.-]
PSPTO_0249	6.03958510201847	4.06776932828763	1.97181577373084	up	OG0000018	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein
PSPTO_0250	4.48698151360047	3.11492907725042	1.37205243635005	nonDEG	OG0000036	K02033	ABC.PE.P; peptide/nickel transport system permease protein
PSPTO_0251	3.46449640753868	3.13829948960103	0.32619691793765	nonDEG	OG0000037	K02034	ABC.PE.P1; peptide/nickel transport system permease protein
PSPTO_0252	5.52949850310898	3.98821796309201	1.54128054001697	up	OG0000015	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein
PSPTO_0253	4.45570207412435	1.95304883969559	2.50265323442876	up	OG0002284		
PSPTO_0254	2.8561495721821	3.00331062074283	-0.14716104856073	nonDEG	OG0001883	K22549	lhpC; D-hydroxyproline dehydrogenase subunit alpha [EC:1.5.99.-]
PSPTO_0255	3.82984994451385	4.03200008443245	-0.2021501399186	nonDEG	OG0001907	K00303	soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]
PSPTO_0256	4.66396863652791	4.43821030365939	0.22575833286852	nonDEG	OG0000168	K01438	argE; acetylornithine deacetylase [EC:3.5.1.16]
PSPTO_0257	6.49531020654542	5.93346852992354	0.56184167662188	nonDEG	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
PSPTO_0258	3.31641703367892	3.10072287028732	0.2156941633916	nonDEG	OG0000535	K12972	ghrA; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
PSPTO_0259	5.97009916339653	4.0306235623874	1.93947560100913	up	OG0000520	K07250	gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]
