	flg_Col	flg_Kb	flg_FC	flg_DEG	OG	KO.id	KO.description
PSPTO_0103	7.90067899423661	9.20875907544611	-1.3080800812095	down	OG0000467	K01775	alr; alanine racemase [EC:5.1.1.1]
PSPTO_0105	5.39951814996522	6.85494464619124	-1.45542649622602	down	OG0000016	K07729	putative transcriptional regulator
PSPTO_0106	3.95974158675845	6.25230258514225	-2.2925609983838	down	OG0001532		
PSPTO_0107	7.29144873891433	7.07913305569072	0.212315683223609	nonDEG	OG0002651		
PSPTO_0108	2.08800176007509	5.24363951087722	-3.15563775080213	down	OG0002131	K07090	uncharacterized protein
PSPTO_0109	6.9971444061034	7.76091010625328	-0.76376570014988	nonDEG	OG0002903	K17218	sqr; sulfide:quinone oxidoreductase [EC:1.8.5.4]
PSPTO_0110	7.55774479600777	8.7530996741331	-1.19535487812533	down	OG0000257	K01069	gloB; hydroxyacylglutathione hydrolase [EC:3.1.2.6]
PSPTO_0111	4.72569397410224	5.15870496380473	-0.43301098970249	nonDEG	OG0000007	K02667	pilR; two-component system, NtrC family, response regulator PilR
PSPTO_0112	4.81653176434379	4.58851308558271	0.228018678761081	nonDEG	OG0002173	K03816	xpt; xanthine phosphoribosyltransferase [EC:2.4.2.22]
PSPTO_0113	8.43351030033667	9.33954086868559	-0.906030568348921	nonDEG	OG0000231	K03657	uvrD; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]
PSPTO_0114	6.78886479134539	7.02061005606659	-0.2317452647212	nonDEG	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
PSPTO_0115	6.0676744555137	6.77357962077358	-0.70590516525988	nonDEG	OG0000466	K03327	TC.MATE; multidrug resistance protein, MATE family
PSPTO_0116	2.65602782667717	4.70056554171969	-2.04453771504252	down	OG0000024	K03566	gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator
PSPTO_0117	8.30157409090812	8.03236518435311	0.269208906555011	nonDEG	OG0000005	K03406	mcp; methyl-accepting chemotaxis protein
PSPTO_0118	6.50776151868914	6.55450778582495	-0.0467462671358101	nonDEG	OG0001802	K03324	yjbB; phosphate:Na+ symporter
PSPTO_0119	7.52390835574107	6.99824652750162	0.52566182823945	nonDEG	OG0003348	K07263	pqqL; zinc protease [EC:3.4.24.-]
PSPTO_0120	5.60448581594185	7.25395337502096	-1.64946755907911	down	OG0003347		
PSPTO_0121	6.83722596441458	7.04851642192774	-0.21129045751316	nonDEG	OG0001801	K06374	spmB; spore maturation protein B
PSPTO_0124	3.27959902988795	4.24438289939146	-0.96478386950351	nonDEG	OG0000577	K07497	putative transposase
PSPTO_0125	8.68771015002317	8.84642529483243	-0.158715144809261	nonDEG	OG0000585	K01755	argH; argininosuccinate lyase [EC:4.3.2.1]
PSPTO_0126	7.27279792372122	5.53636080857037	1.73643711515085	up	OG0000166	K08082	algZ; two-component system, LytTR family, sensor histidine kinase AlgZ [EC:2.7.13.3]
PSPTO_0127	8.54171181853244	7.52258706797445	1.01912475055799	up	OG0000105	K08083	algR; two-component system, LytTR family, response regulator AlgR
PSPTO_0128	6.5132939918082	6.81490577501932	-0.30161178321112	nonDEG	OG0000841	K01749	hemC; hydroxymethylbilane synthase [EC:2.5.1.61]
PSPTO_0129	6.47533243965556	6.67106876361609	-0.195736323960531	nonDEG	OG0001661	K01719	hemD; uroporphyrinogen-III synthase [EC:4.2.1.75]
PSPTO_0130	7.98416948213687	8.33925983192685	-0.35509034978998	nonDEG	OG0003795	K02496	hemX; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
PSPTO_0131	7.72795774694371	8.05516493373627	-0.32720718679256	nonDEG	OG0002171	K02498	hemY; HemY protein
PSPTO_0132	3.63162091297736	2.63018864123008	1.00143227174728	nonDEG	OG0000840	K03611	dsbB; disulfide bond formation protein DsbB
PSPTO_0134	8.26844668901632	8.51820597128305	-0.24975928226673	nonDEG	OG0002957	K07740	rsd; regulator of sigma D
PSPTO_0135	6.79875930339417	7.64075110376926	-0.84199180037509	nonDEG	OG0000126	K03772	fkpA; FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]
PSPTO_0136	10.5810407870311	9.49482541236998	1.08621537466112	up	OG0003794		
PSPTO_0137	2.85037556606691	1.32189465718298	1.52848090888393	nonDEG	OG0003327		
PSPTO_0138	8.51162210070748	8.98307837171604	-0.471456271008559	nonDEG	OG0000191	K06158	ABCF3; ATP-binding cassette, subfamily F, member 3
PSPTO_0139	5.10833536598541	6.63953333112944	-1.53119796514403	down	OG0002402		
PSPTO_0140	5.94094642808802	6.74703236039503	-0.80608593230701	nonDEG	OG0000047	K05834	rhtB; homoserine/homoserine lactone efflux protein
PSPTO_0141	5.73218514846593	6.97024140270169	-1.23805625423576	down	OG0002956	K07243	FTR; high-affinity iron transporter
PSPTO_0142	2.98555240123193	3.67974489645019	-0.69419249521826	nonDEG			
PSPTO_0144	9.47788189593605	8.16299769473115	1.3148842012049	up	OG0000374	K01414	prlC; oligopeptidase A [EC:3.4.24.70]
PSPTO_0145	7.86026035742385	8.54628300540839	-0.686022647984539	nonDEG	OG0000373		
PSPTO_0146	1.90345505329754	3.19834100187336	-1.29488594857582	nonDEG	OG0003343		
PSPTO_0147	5.03575053262282	8.5843372940254	-3.54858676140258	down			
PSPTO_0148	3.03902295209357	3.99069698059397	-0.9516740285004	nonDEG	OG0005814		
PSPTO_0149	6.76323542671474	7.15261486665229	-0.38937943993755	nonDEG	OG0005677		
PSPTO_0150	2.61950423409905	3.59312457661286	-0.97362034251381	nonDEG	OG0002905		
PSPTO_0151	5.39610320013565	4.6995418834773	0.69656131665835	nonDEG	OG0001665		
PSPTO_0152	8.43075085042086	6.31948145563246	2.1112693947884	up	OG0000862	K04063	osmC; osmotically inducible protein OsmC
PSPTO_0153	5.55981181669321	6.55529387323368	-0.99548205654047	nonDEG	OG0000343		
PSPTO_0154	6.79139616389841	5.88646768165959	0.90492848223882	nonDEG	OG0001665		
PSPTO_0155	6.77961506347899	4.37076149159829	2.4088535718807	up	OG0002663	K09165	uncharacterized protein
PSPTO_0156	10.5004395112041	8.9024742103187	1.5979653008854	up	OG0003342		
PSPTO_0157	4.46624931774188	4.07626607490702	0.389983242834861	nonDEG	OG0000024	K03566	gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator
PSPTO_0158	10.1841500179444	7.59861570182433	2.58553431612007	up	OG0000727	K01696	trpB; tryptophan synthase beta chain [EC:4.2.1.20]
PSPTO_0159	8.96128723918775	6.76574620450647	2.19554103468128	up	OG0000861	K01695	trpA; tryptophan synthase alpha chain [EC:4.2.1.20]
PSPTO_0161	6.10824202402117	3.7845531291944	2.32368889482677	up	OG0003798		
PSPTO_0162	7.33629634107152	6.79728630033145	0.53901004074007	nonDEG	OG0000012	K01055	pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]
PSPTO_0163	3.30846902199209	4.76444320923595	-1.45597418724386	down	OG0002966	K10253	DOPA 4
PSPTO_0164	4.95538880017963	5.08071479899499	-0.125325998815359	nonDEG	OG0000024	K03566	gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator
PSPTO_0165	9.04096932381897	8.34212678035194	0.69884254346703	nonDEG	OG0000726	K01133	betC; choline-sulfatase [EC:3.1.6.6]
PSPTO_0166	7.23304748264437	6.32084677258141	0.91220071006296	nonDEG	OG0000545	K02002	proX; glycine betaine/proline transport system substrate-binding protein
PSPTO_0167	8.28254913786176	7.12449750217614	1.15805163568562	up			
PSPTO_0168	5.4761506820721	6.28819458921548	-0.81204390714338	nonDEG	OG0003341	K03321	TC.SULP; sulfate permease, SulP family
PSPTO_0169	4.60191908152327	4.86872813232682	-0.26680905080355	nonDEG	OG0000171	K00014	aroE; shikimate dehydrogenase [EC:1.1.1.25]
PSPTO_0170	5.41448019328106	4.6356198993562	0.778860293924859	nonDEG	OG0001536	K00228	CPOX; coproporphyrinogen III oxidase [EC:1.3.3.3]
PSPTO_0173	5.12135187271292	4.92214955273069	0.199202319982231	nonDEG	OG0000060	K00344	qor; NADPH2:quinone reductase [EC:1.6.5.5]
PSPTO_0174	5.99159687912362	6.0064362306899	-0.0148393515662804	nonDEG	OG0000278	K07566	tsaC; L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]
PSPTO_0175	4.69932526618514	5.95362601080337	-1.25430074461823	down	OG0000860	K04096	smf; DNA processing protein
PSPTO_0176	8.02065648841393	6.94916712274594	1.07148936566799	up	OG0002409		
PSPTO_0177	6.64601507741715	8.04079170742851	-1.39477663001136	down	OG0000243	K01462	PDF; peptide deformylase [EC:3.5.1.88]
PSPTO_0178	6.71010178270323	6.92101207673865	-0.21091029403542	nonDEG	OG0000859	K00604	MTFMT; methionyl-tRNA formyltransferase [EC:2.1.2.9]
PSPTO_0179	5.61114950848697	6.76665984268537	-1.1555103341984	down	OG0000587	K03500	rsmB; 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
PSPTO_0180	5.97349317746817	6.81585251372819	-0.84235933626002	nonDEG	OG0002175	K03499	trkA; trk system potassium uptake protein
PSPTO_0181	4.34231339709795	4.22002034234794	0.12229305475001	nonDEG	OG0000770		
PSPTO_0182	6.18833493675824	6.11721704403501	0.0711178927232297	nonDEG	OG0000286	K02517	lpxL; Kdo2-lipid IVA lauroyltransferase [EC:2.3.1.241]
PSPTO_0183	2.36788230971822	3.75645887222357	-1.38857656250535	nonDEG	OG0000810	K01246	tag; DNA-3-methyladenine glycosylase I [EC:3.2.2.20]
PSPTO_0184	8.47044752306043	9.03071462233324	-0.56026709927281	nonDEG	OG0001664	K01878	glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]
PSPTO_0185	7.54194573670809	7.73882974758861	-0.196884010880519	nonDEG	OG0001663	K01879	glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14]
PSPTO_0186	6.11109641690287	6.59944281096707	-0.4883463940642	nonDEG	OG0001798	K03273	gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]
PSPTO_0187	4.29854353342798	5.24033583382796	-0.941792300399981	nonDEG	OG0000252	K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
PSPTO_0189	4.27197088908029	3.27081823719973	1.00115265188056	nonDEG	OG0001780	K01501	E3.5.5.1; nitrilase [EC:3.5.5.1]
PSPTO_0194	1.28320024784608	4.92152918271319	-3.63832893486711	down	OG0000402		
PSPTO_0200	6.17153200252327	7.94631297333938	-1.77478097081611	down	OG0001484		
PSPTO_0201	5.27527305828909	7.8733552037798	-2.59808214549071	down	OG0001592	K05844	rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]
PSPTO_0202	2.02474778548712	5.81855558552545	-3.79380780003833	down			
PSPTO_0203	3.38746392496717	5.25577128847797	-1.8683073635108	nonDEG	OG0000134	K01697	CBS; cystathionine beta-synthase [EC:4.2.1.22]
PSPTO_0205	5.09674665420082	6.51327466009543	-1.41652800589461	down			
PSPTO_0206	11.0452887466604	9.47789015104811	1.56739859561229	up	OG0001415	K18842	chpS; antitoxin ChpS
PSPTO_0208	6.40707923724399	6.22707782346284	0.180001413781151	nonDEG	OG0004788		
PSPTO_0209	4.5587782798474	3.19892862654591	1.35984965330149	nonDEG	OG0000463	K01586	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]
PSPTO_0210	4.31933433865579	2.02384449729631	2.29548984135948	nonDEG	OG0001007		
PSPTO_0211	2.84941003461926	2.00157960466129	0.84783042995797	nonDEG	OG0001633	K10531	pvdA; L-ornithine N5-monooxygenase [EC:1.14.13.195 1.14.13.196]
PSPTO_0212	4.49275364006013	2.62203349243782	1.87072014762231	up	OG0000642		
PSPTO_0213	1.39923073242033	4.26974197645475	-2.87051124403442	down	OG0005424	K07334	higB-1; toxin HigB-1
PSPTO_0214	3.83128929666083	1.97240948925209	1.85887980740874	nonDEG	OG0001277	K21498	higA-1; antitoxin HigA-1
PSPTO_0215	7.54558534743054	7.78716359257963	-0.24157824514909	nonDEG	OG0001791	K09806	uncharacterized protein
PSPTO_0217	7.64400600529661	7.53751191893103	0.10649408636558	nonDEG	OG0000842	K04752	glnK; nitrogen regulatory protein P-II 2
PSPTO_0218	8.72600608458415	6.7629788273709	1.96302725721325	up	OG0000465	K03320	amt; ammonium transporter, Amt family
PSPTO_0219	8.24681884641046	8.31072365215027	-0.0639048057398099	nonDEG	OG0002650		
PSPTO_0220	7.55590000971668	10.3002141309929	-2.74431412127622	down	OG0002960		
PSPTO_0221	4.97020621934487	5.94397058172534	-0.97376436238047	nonDEG	OG0000464	K20862	yigB; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]
PSPTO_0222	5.71646077025873	6.57997272231321	-0.86351195205448	nonDEG	OG0000148	K03733	xerC; integrase/recombinase XerC
PSPTO_0223	5.95003203463332	6.13804453465535	-0.18801250002203	nonDEG	OG0002172	K09921	uncharacterized protein
PSPTO_0224	6.71223553984123	6.22851854374625	0.48371699609498	nonDEG	OG0000805	K01778	dapF; diaminopimelate epimerase [EC:5.1.1.7]
PSPTO_0225	8.96366032412085	8.29723057258377	0.666429751537081	nonDEG	OG0000463	K01586	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]
PSPTO_0226	4.53395057113659	5.46292521272794	-0.92897464159135	nonDEG	OG0002404		
PSPTO_0227	4.82631763552721	5.75807656202332	-0.93175892649611	nonDEG	OG0002959	K06202	cyaY; CyaY protein
PSPTO_0228	2.0330841299755	1.81939497084557	0.21368915912993	nonDEG	OG0004055	K06938	uncharacterized protein
PSPTO_0229	3.17177862919309	4.56184221822242	-1.39006358902933	nonDEG	OG0002649	K06140	rnk; regulator of nucleoside diphosphate kinase
PSPTO_0230	7.36802856906142	7.70672099777866	-0.33869242871724	nonDEG	OG0002958	K05851	cyaA; adenylate cyclase, class 1 [EC:4.6.1.1]
PSPTO_0231	8.62164321993947	6.52602703534877	2.0956161845907	up	OG0003329		
PSPTO_0232	5.28963380489132	7.88096907240412	-2.5913352675128	down	OG0003328		
PSPTO_0233	5.88902850040997	5.54275409828035	0.34627440212962	nonDEG	OG0000082	K11103	dctA; aerobic C4-dicarboxylate transport protein
PSPTO_0234	7.14372305738339	6.00081268184089	1.1429103755425	up	OG0001592	K05844	rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]
PSPTO_0235	2.21061914720278	2.07862100824776	0.13199813895502	nonDEG	OG0003540		
PSPTO_0236	7.12240807981303	6.52230308728661	0.60010499252642	nonDEG	OG0001337	K21973	bluF; blue light- and temperature-responsive anti-repressor
PSPTO_0237	6.46789362350091	5.89557005681541	0.572323566685499	nonDEG	OG0001119	K04762	hslR; ribosome-associated heat shock protein Hsp15
PSPTO_0238	7.56117834647341	9.03522714864905	-1.47404880217564	down	OG0001591	K04083	hslO; molecular chaperone Hsp33
PSPTO_0239	9.37464370931983	8.60303260536855	0.77161110395128	nonDEG	OG0001590	K01610	E4.1.1.49; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
PSPTO_0240	8.20530081517504	8.77776589176997	-0.572465076594931	nonDEG			
PSPTO_0241	4.88097125416504	6.27570606701324	-1.3947348128482	nonDEG			
PSPTO_0243	4.87942992137148	4.19192592962677	0.68750399174471	nonDEG	OG0002352		
PSPTO_0244	4.46911565839119	2.50610686680396	1.96300879158723	nonDEG	OG0000542	K06995	uncharacterized protein
PSPTO_0245	5.85509085418164	4.40769443415299	1.44739642002865	up	OG0004187		
PSPTO_0246	2.2944612206653	2.72733662176955	-0.43287540110425	nonDEG			
PSPTO_0247	8.12214667810116	7.34762171080725	0.77452496729391	nonDEG	OG0003665	K01560	E3.8.1.2; 2-haloacid dehalogenase [EC:3.8.1.2]
PSPTO_0248	3.06697563658552	3.78915683587652	-0.722181199291	nonDEG	OG0000064	K09471	puuB; gamma-glutamylputrescine oxidase [EC:1.4.3.-]
PSPTO_0249	6.30122551887142	5.48033594966209	0.820889569209331	nonDEG	OG0000018	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein
PSPTO_0250	2.36690862331709	3.10385246250815	-0.73694383919106	nonDEG	OG0000036	K02033	ABC.PE.P; peptide/nickel transport system permease protein
PSPTO_0251	4.08805605808013	4.07364732668915	0.0144087313909802	nonDEG	OG0000037	K02034	ABC.PE.P1; peptide/nickel transport system permease protein
PSPTO_0252	5.29188656275513	4.54499524506587	0.74689131768926	nonDEG	OG0000015	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein
PSPTO_0253	4.23178647736834	2.99629421180909	1.23549226555925	nonDEG	OG0002284		
PSPTO_0254	4.77113481343813	3.70704963812871	1.06408517530942	nonDEG	OG0001883	K22549	lhpC; D-hydroxyproline dehydrogenase subunit alpha [EC:1.5.99.-]
PSPTO_0255	5.16593166715948	4.37676861940001	0.78916304775947	nonDEG	OG0001907	K00303	soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]
PSPTO_0256	4.24987330294682	4.06273403839287	0.18713926455395	nonDEG	OG0000168	K01438	argE; acetylornithine deacetylase [EC:3.5.1.16]
PSPTO_0257	6.01649349988633	5.78697827215792	0.22951522772841	nonDEG	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
PSPTO_0258	3.38739921076965	2.53346161103138	0.85393759973827	nonDEG	OG0000535	K12972	ghrA; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
PSPTO_0259	4.86652365179542	4.24730767003335	0.61921598176207	nonDEG	OG0000520	K07250	gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]
