	Pto_Col	Pto_Kb	Pto_FC	Pto_DEG	OG	KO.id	KO.description
PSPTO_0040	1.759467592	1.120724522	0.638743071	nonDEG	OG0000174		
PSPTO_0041	2.394092436	2.760042067	-0.365949631	nonDEG			
PSPTO_0043	6.076882354	8.506981242	-2.430098888	down	OG0005800	K01493	comEB; dCMP deaminase [EC:3.5.4.12]
PSPTO_0044	5.625848546	4.34516713	1.280681416	up			
PSPTO_0045	5.16783157	6.011003456	-0.843171886	nonDEG			
PSPTO_0046	6.018654574	6.679853349	-0.661198775	nonDEG	OG0003587	K07459	ybjD; putative ATP-dependent endonuclease of the OLD family
PSPTO_0047	5.628075235	6.671874849	-1.043799614	down	OG0007079		
PSPTO_0048	6.237768502	7.296756889	-1.058988386	down			
PSPTO_0049	5.504750622	6.555064434	-1.050313812	down	OG0007140		
PSPTO_0050	5.358840505	6.293445359	-0.934604854	nonDEG			
PSPTO_0051	5.14772275	6.509683449	-1.3619607	down			
PSPTO_0052	7.347842041	8.944124474	-1.596282432	down	OG0007721		
PSPTO_0053	4.444005858	5.443646042	-0.999640184	nonDEG	OG0007714		
PSPTO_0054	2.647205302	2.749510449	-0.102305147	nonDEG	OG0007729		
PSPTO_0057	4.900212997	6.065211096	-1.164998099	down	OG0005074		
PSPTO_0058	5.596960412	5.59808402	-0.001123608	nonDEG	OG0002408	K07497	putative transposase
PSPTO_0059	4.947321191	4.692999199	0.254321991	nonDEG	OG0007720		
PSPTO_0061	9.705573877	4.125093693	5.580480184	up			
PSPTO_0062	4.711490713	5.852056056	-1.140565344	down	OG0000482	K03300	"TC.CITMHS; citrate-Mg2+:H+ or citrate-Ca2+:H+ symporter, CitMHS family"
PSPTO_0063	1.502114539	3.577517622	-2.075403084	down	OG0000350		
PSPTO_0064	9.858196286	9.27226417	0.585932116	nonDEG	OG0002962		
PSPTO_0065	7.737494909	6.708536051	1.028958858	up	OG0000846	K03655	recG; ATP-dependent DNA helicase RecG [EC:3.6.4.12]
PSPTO_0066	7.980340592	6.298326215	1.682014377	up	OG0000004	K04761	"oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator"
PSPTO_0067	9.805372917	6.043915603	3.761457314	up	OG0003331	K03832	tonB; periplasmic protein TonB
PSPTO_0068	6.355097604	2.671363463	3.683734142	up	OG0000089	K03559	exbD; biopolymer transport protein ExbD
PSPTO_0069	9.589727358	4.298646056	5.291081301	up	OG0002653	K03561	exbB; biopolymer transport protein ExbB
PSPTO_0070	5.72231865	4.685962699	1.036355951	up	OG0001165		
PSPTO_0071	7.860134374	6.848658141	1.011476233	up	OG0002652		
PSPTO_0072	7.677356532	7.812660076	-0.135303545	nonDEG	OG0000186	K09022	ridA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
PSPTO_0073	9.933875115	9.443179444	0.490695671	nonDEG	OG0000306	K00951	relA; GTP pyrophosphokinase [EC:2.7.6.5]
PSPTO_0074	8.282516486	8.164063971	0.118452515	nonDEG	OG0001792	K03060	rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]
PSPTO_0075	5.555663331	5.276004742	0.279658589	nonDEG	OG0000845	K00942	E2.7.4.8; guanylate kinase [EC:2.7.4.8]
PSPTO_0076	6.925573188	6.384708112	0.540865076	nonDEG	OG0001412		
PSPTO_0077	8.390551981	7.554979521	0.83557246	nonDEG	OG0001283	K00989	rph; ribonuclease PH [EC:2.7.7.56]
PSPTO_0078	5.03862544	5.766360522	-0.727735082	nonDEG	OG0001977	K09940	uncharacterized protein
PSPTO_0079	8.101216325	8.483912376	-0.382696051	nonDEG	OG0001282	K01142	E3.1.11.2; exodeoxyribonuclease III [EC:3.1.11.2]
PSPTO_0080	6.709311663	5.926499564	0.782812099	nonDEG	OG0000724	K00762	pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]
PSPTO_0081	7.794055222	7.124680536	0.669374686	nonDEG	OG0006476		
PSPTO_0082	7.167852758	5.945874401	1.221978357	up	OG0000844	K00930	argB; acetylglutamate kinase [EC:2.7.2.8]
PSPTO_0083	9.967704526	8.421817959	1.545886567	up	OG0000212	K03431	glmM; phosphoglucosamine mutase [EC:5.4.2.10]
PSPTO_0084	5.556908466	6.058017716	-0.50110925	nonDEG	OG0001281	K01520	dut; dUTP pyrophosphatase [EC:3.6.1.23]
PSPTO_0085	8.454239608	9.109691364	-0.655451756	nonDEG	OG0000843	K13038	coaBC; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]
PSPTO_0086	3.665717751	4.644359671	-0.97864192	nonDEG	OG0000427	K03630	radC; DNA repair protein RadC
PSPTO_0087	7.084067721	7.63213218	-0.548064459	nonDEG	OG0000018	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein
PSPTO_0089	10.71246448	11.51775853	-0.805294046	nonDEG	OG0001025	K02902	RP-L28; large subunit ribosomal protein L28
PSPTO_0090	5.919103714	6.491364504	-0.57226079	nonDEG	OG0000723	K02913	RP-L33; large subunit ribosomal protein L33
PSPTO_0091	6.117403567	8.239302476	-2.121898909	down	OG0000542	K06995	uncharacterized protein
PSPTO_0092	7.412717201	8.089372451	-0.67665525	nonDEG	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
PSPTO_0094	2.941890866	4.621380357	-1.679489491	down	OG0001976		
PSPTO_0095	6.576814341	7.153030044	-0.576215703	nonDEG	OG0001164	K06132	clsC; cardiolipin synthase C [EC:2.7.8.-]
PSPTO_0096	6.203385616	5.683209914	0.520175702	nonDEG	OG0000079	K05825	LYSN; 2-aminoadipate transaminase [EC:2.6.1.-]
PSPTO_0097	5.698018228	3.885459725	1.812558503	nonDEG	OG0002961		
PSPTO_0098	5.518594511	6.35884958	-0.840255069	nonDEG	OG0000064	K09471	puuB; gamma-glutamylputrescine oxidase [EC:1.4.3.-]
PSPTO_0099	4.940105621	5.614431782	-0.674326162	nonDEG	OG0003330	K06940	uncharacterized protein
PSPTO_0100	5.040022705	4.631364998	0.408657707	nonDEG	OG0000027	K03719	"lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"
PSPTO_0101	9.123551095	11.11280666	-1.989255562	down	OG0000136	K00285	dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]
PSPTO_0102	6.098608986	7.53548876	-1.436879774	down	OG0000829		
PSPTO_0103	7.207354736	9.208759075	-2.001404339	down	OG0000467	K01775	alr; alanine racemase [EC:5.1.1.1]
PSPTO_0105	5.325134386	6.854944646	-1.529810261	down	OG0000016	K07729	putative transcriptional regulator
PSPTO_0106	4.110701787	6.252302585	-2.141600798	down	OG0001532		
PSPTO_0107	6.17008209	7.079133056	-0.909050965	nonDEG	OG0002651		
PSPTO_0108	2.067033359	5.243639511	-3.176606152	down	OG0002131	K07090	uncharacterized protein
PSPTO_0109	5.51757391	7.760910106	-2.243336196	down	OG0002903	K17218	sqr; sulfide:quinone oxidoreductase [EC:1.8.5.4]
PSPTO_0110	6.001300976	8.753099674	-2.751798698	down	OG0000257	K01069	gloB; hydroxyacylglutathione hydrolase [EC:3.1.2.6]
PSPTO_0111	4.865315096	5.158704964	-0.293389868	nonDEG	OG0000007	K02667	"pilR; two-component system, NtrC family, response regulator PilR"
PSPTO_0112	5.805602813	4.588513086	1.217089727	up	OG0002173	K03816	xpt; xanthine phosphoribosyltransferase [EC:2.4.2.22]
PSPTO_0113	9.738098554	9.339540869	0.398557685	nonDEG	OG0000231	K03657	uvrD; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]
PSPTO_0114	7.581977018	7.020610056	0.561366962	nonDEG	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
PSPTO_0115	4.914609449	6.773579621	-1.858970172	down	OG0000466	K03327	"TC.MATE; multidrug resistance protein, MATE family"
PSPTO_0116	4.736167412	4.700565542	0.03560187	nonDEG	OG0000024	K03566	"gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator"
PSPTO_0117	6.192421117	8.032365184	-1.839944068	down	OG0000005	K03406	mcp; methyl-accepting chemotaxis protein
PSPTO_0118	6.829268013	6.554507786	0.274760227	nonDEG	OG0001802	K03324	yjbB; phosphate:Na+ symporter
PSPTO_0119	6.913099855	6.998246528	-0.085146672	nonDEG	OG0003348	K07263	pqqL; zinc protease [EC:3.4.24.-]
PSPTO_0120	6.561525657	7.253953375	-0.692427718	nonDEG	OG0003347		
PSPTO_0121	7.335741962	7.048516422	0.28722554	nonDEG	OG0001801	K06374	spmB; spore maturation protein B
PSPTO_0124	3.581627413	4.244382899	-0.662755487	nonDEG	OG0000577	K07497	putative transposase
PSPTO_0125	9.367925862	8.846425295	0.521500567	nonDEG	OG0000585	K01755	argH; argininosuccinate lyase [EC:4.3.2.1]
PSPTO_0126	4.963290382	5.536360809	-0.573070427	nonDEG	OG0000166	K08082	"algZ; two-component system, LytTR family, sensor histidine kinase AlgZ [EC:2.7.13.3]"
PSPTO_0127	7.544749641	7.522587068	0.022162573	nonDEG	OG0000105	K08083	"algR; two-component system, LytTR family, response regulator AlgR"
PSPTO_0128	6.998310638	6.814905775	0.183404863	nonDEG	OG0000841	K01749	hemC; hydroxymethylbilane synthase [EC:2.5.1.61]
PSPTO_0129	6.192106038	6.671068764	-0.478962726	nonDEG	OG0001661	K01719	hemD; uroporphyrinogen-III synthase [EC:4.2.1.75]
PSPTO_0130	8.123850637	8.339259832	-0.215409195	nonDEG	OG0003795	K02496	hemX; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
PSPTO_0131	7.856073676	8.055164934	-0.199091257	nonDEG	OG0002171	K02498	hemY; HemY protein
PSPTO_0132	2.448399745	2.630188641	-0.181788897	nonDEG	OG0000840	K03611	dsbB; disulfide bond formation protein DsbB
PSPTO_0134	7.570110776	8.518205971	-0.948095195	nonDEG	OG0002957	K07740	rsd; regulator of sigma D
PSPTO_0135	6.902054829	7.640751104	-0.738696275	nonDEG	OG0000126	K03772	fkpA; FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]
PSPTO_0136	9.573721244	9.494825412	0.078895831	nonDEG	OG0003794		
PSPTO_0137	2.524255729	1.321894657	1.202361072	nonDEG	OG0003327		
PSPTO_0138	9.185396435	8.983078372	0.202318064	nonDEG	OG0000191	K06158	"ABCF3; ATP-binding cassette, subfamily F, member 3"
PSPTO_0139	6.279200946	6.639533331	-0.360332385	nonDEG	OG0002402		
PSPTO_0140	5.449628095	6.74703236	-1.297404265	down	OG0000047	K05834	rhtB; homoserine/homoserine lactone efflux protein
PSPTO_0141	6.8302321	6.970241403	-0.140009303	nonDEG	OG0002956	K07243	FTR; high-affinity iron transporter
PSPTO_0142	1.663376654	3.679744896	-2.016368243	down			
PSPTO_0144	7.946608793	8.162997695	-0.216388902	nonDEG	OG0000374	K01414	prlC; oligopeptidase A [EC:3.4.24.70]
PSPTO_0145	7.118528539	8.546283005	-1.427754466	down	OG0000373		
PSPTO_0146	0.943009068	3.198341002	-2.255331934	down	OG0003343		
PSPTO_0147	6.176623555	8.584337294	-2.407713739	down			
PSPTO_0148	2.37377221	3.990696981	-1.616924771	down	OG0005814		
PSPTO_0149	6.722903981	7.152614867	-0.429710886	nonDEG	OG0005677		
PSPTO_0150	2.829679914	3.593124577	-0.763444663	nonDEG	OG0002905		
PSPTO_0151	4.395534844	4.699541883	-0.304007039	nonDEG	OG0001665		
PSPTO_0152	6.463844853	6.319481456	0.144363397	nonDEG	OG0000862	K04063	osmC; osmotically inducible protein OsmC
PSPTO_0153	7.382402883	6.555293873	0.827109009	nonDEG	OG0000343		
PSPTO_0154	5.20819633	5.886467682	-0.678271352	nonDEG	OG0001665		
PSPTO_0155	5.3423547	4.370761492	0.971593208	nonDEG	OG0002663	K09165	uncharacterized protein
PSPTO_0156	9.572683779	8.90247421	0.670209569	nonDEG	OG0003342		
PSPTO_0157	4.923874278	4.076266075	0.847608203	nonDEG	OG0000024	K03566	"gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator"
PSPTO_0158	9.252189203	7.598615702	1.653573502	up	OG0000727	K01696	trpB; tryptophan synthase beta chain [EC:4.2.1.20]
PSPTO_0159	8.042157882	6.765746205	1.276411678	up	OG0000861	K01695	trpA; tryptophan synthase alpha chain [EC:4.2.1.20]
PSPTO_0161	3.658513474	3.784553129	-0.126039655	nonDEG	OG0003798		
PSPTO_0162	7.78008397	6.7972863	0.982797669	nonDEG	OG0000012	K01055	pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]
PSPTO_0163	3.785545401	4.764443209	-0.978897808	nonDEG	OG0002966	K10253	DOPA 4
PSPTO_0164	4.50201402	5.080714799	-0.578700779	nonDEG	OG0000024	K03566	"gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator"
PSPTO_0165	8.618492386	8.34212678	0.276365606	nonDEG	OG0000726	K01133	betC; choline-sulfatase [EC:3.1.6.6]
PSPTO_0166	6.288550484	6.320846773	-0.032296288	nonDEG	OG0000545	K02002	proX; glycine betaine/proline transport system substrate-binding protein
PSPTO_0167	7.181107178	7.124497502	0.056609676	nonDEG			
PSPTO_0168	5.539789024	6.288194589	-0.748405565	nonDEG	OG0003341	K03321	"TC.SULP; sulfate permease, SulP family"
PSPTO_0169	5.741679949	4.868728132	0.872951816	nonDEG	OG0000171	K00014	aroE; shikimate dehydrogenase [EC:1.1.1.25]
PSPTO_0170	5.358551419	4.635619899	0.72293152	nonDEG	OG0001536	K00228	CPOX; coproporphyrinogen III oxidase [EC:1.3.3.3]
PSPTO_0173	4.631480046	4.922149553	-0.290669507	nonDEG	OG0000060	K00344	qor; NADPH2:quinone reductase [EC:1.6.5.5]
PSPTO_0174	5.905366135	6.006436231	-0.101070096	nonDEG	OG0000278	K07566	tsaC; L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]
PSPTO_0175	5.044434769	5.953626011	-0.909191242	nonDEG	OG0000860	K04096	smf; DNA processing protein
PSPTO_0176	7.45963585	6.949167123	0.510468727	nonDEG	OG0002409		
PSPTO_0177	7.54015393	8.040791707	-0.500637777	nonDEG	OG0000243	K01462	PDF; peptide deformylase [EC:3.5.1.88]
PSPTO_0178	7.304667535	6.921012077	0.383655458	nonDEG	OG0000859	K00604	MTFMT; methionyl-tRNA formyltransferase [EC:2.1.2.9]
PSPTO_0179	7.522971003	6.766659843	0.75631116	nonDEG	OG0000587	K03500	rsmB; 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
PSPTO_0180	6.886730442	6.815852514	0.070877929	nonDEG	OG0002175	K03499	trkA; trk system potassium uptake protein
PSPTO_0181	4.287022886	4.220020342	0.067002543	nonDEG	OG0000770		
PSPTO_0182	6.542488421	6.117217044	0.425271377	nonDEG	OG0000286	K02517	lpxL; Kdo2-lipid IVA lauroyltransferase [EC:2.3.1.241]
PSPTO_0183	3.307690407	3.756458872	-0.448768465	nonDEG	OG0000810	K01246	tag; DNA-3-methyladenine glycosylase I [EC:3.2.2.20]
PSPTO_0184	9.418231742	9.030714622	0.387517119	nonDEG	OG0001664	K01878	glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]
PSPTO_0185	8.743160323	7.738829748	1.004330576	up	OG0001663	K01879	glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14]
PSPTO_0186	7.094050927	6.599442811	0.494608116	nonDEG	OG0001798	K03273	"gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]"
PSPTO_0187	5.237287434	5.240335834	-0.0030484	nonDEG	OG0000252	K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
PSPTO_0189	1.805336438	3.270818237	-1.465481799	nonDEG	OG0001780	K01501	E3.5.5.1; nitrilase [EC:3.5.5.1]
PSPTO_0194	4.005065044	4.921529183	-0.916464139	nonDEG	OG0000402		
PSPTO_0200	7.161654545	7.946312973	-0.784658428	nonDEG	OG0001484		
PSPTO_0201	6.037576865	7.873355204	-1.835778339	down	OG0001592	K05844	rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]
PSPTO_0202	3.758438586	5.818555586	-2.060116999	down			
PSPTO_0203	2.844235647	5.255771288	-2.411535642	down	OG0000134	K01697	CBS; cystathionine beta-synthase [EC:4.2.1.22]
PSPTO_0205	4.974312502	6.51327466	-1.538962158	down			
PSPTO_0206	9.134469029	9.477890151	-0.343421122	nonDEG	OG0001415	K18842	chpS; antitoxin ChpS
PSPTO_0208	6.46274809	6.227077823	0.235670267	nonDEG	OG0004788		
PSPTO_0209	7.578072405	3.198928627	4.379143779	up	OG0000463	K01586	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]
PSPTO_0210	6.639372516	2.023844497	4.615528019	up	OG0001007		
PSPTO_0211	7.634732409	2.001579605	5.633152804	up	OG0001633	K10531	pvdA; L-ornithine N5-monooxygenase [EC:1.14.13.195 1.14.13.196]
PSPTO_0212	3.516205734	2.622033492	0.894172242	nonDEG	OG0000642		
PSPTO_0213	3.536267196	4.269741976	-0.73347478	nonDEG	OG0005424	K07334	higB-1; toxin HigB-1
PSPTO_0214	2.075426119	1.972409489	0.103016629	nonDEG	OG0001277	K21498	higA-1; antitoxin HigA-1
PSPTO_0215	7.544197535	7.787163593	-0.242966058	nonDEG	OG0001791	K09806	uncharacterized protein
PSPTO_0217	6.503632749	7.537511919	-1.033879169	down	OG0000842	K04752	glnK; nitrogen regulatory protein P-II 2
PSPTO_0218	6.686887948	6.762978827	-0.076090879	nonDEG	OG0000465	K03320	"amt; ammonium transporter, Amt family"
PSPTO_0219	8.882930999	8.310723652	0.572207347	nonDEG	OG0002650		
PSPTO_0220	8.244095555	10.30021413	-2.056118576	down	OG0002960		
PSPTO_0221	5.365911739	5.943970582	-0.578058843	nonDEG	OG0000464	K20862	yigB; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]
PSPTO_0222	6.801793674	6.579972722	0.221820952	nonDEG	OG0000148	K03733	xerC; integrase/recombinase XerC
PSPTO_0223	6.710235721	6.138044535	0.572191187	nonDEG	OG0002172	K09921	uncharacterized protein
PSPTO_0224	6.993974047	6.228518544	0.765455503	nonDEG	OG0000805	K01778	dapF; diaminopimelate epimerase [EC:5.1.1.7]
PSPTO_0225	9.316959384	8.297230573	1.019728811	up	OG0000463	K01586	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]
PSPTO_0226	6.063863101	5.462925213	0.600937888	nonDEG	OG0002404		
PSPTO_0227	6.492090216	5.758076562	0.734013654	nonDEG	OG0002959	K06202	cyaY; CyaY protein
PSPTO_0228	2.845912518	1.819394971	1.026517547	nonDEG	OG0004055	K06938	uncharacterized protein
PSPTO_0229	4.211660188	4.561842218	-0.35018203	nonDEG	OG0002649	K06140	rnk; regulator of nucleoside diphosphate kinase
PSPTO_0230	5.518451938	7.706720998	-2.18826906	down	OG0002958	K05851	"cyaA; adenylate cyclase, class 1 [EC:4.6.1.1]"
PSPTO_0231	6.645584328	6.526027035	0.119557293	nonDEG	OG0003329		
PSPTO_0232	5.973108829	7.880969072	-1.907860243	down	OG0003328		
PSPTO_0233	7.159842026	5.542754098	1.617087928	up	OG0000082	K11103	dctA; aerobic C4-dicarboxylate transport protein
PSPTO_0234	6.484661793	6.000812682	0.483849111	nonDEG	OG0001592	K05844	rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]
PSPTO_0235	2.987503065	2.078621008	0.908882057	nonDEG	OG0003540		
PSPTO_0236	6.13447671	6.522303087	-0.387826377	nonDEG	OG0001337	K21973	bluF; blue light- and temperature-responsive anti-repressor
PSPTO_0237	6.598462805	5.895570057	0.702892748	nonDEG	OG0001119	K04762	hslR; ribosome-associated heat shock protein Hsp15
PSPTO_0238	8.325027602	9.035227149	-0.710199547	nonDEG	OG0001591	K04083	hslO; molecular chaperone Hsp33
PSPTO_0239	10.0914426	8.603032605	1.488409993	up	OG0001590	K01610	E4.1.1.49; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
PSPTO_0240	7.631657522	8.777765892	-1.146108369	down			
PSPTO_0241	5.519167863	6.275706067	-0.756538204	nonDEG			
PSPTO_0243	2.128830231	4.19192593	-2.063095699	down	OG0002352		
PSPTO_0244	3.01321201	2.506106867	0.507105143	nonDEG	OG0000542	K06995	uncharacterized protein
PSPTO_0245	4.106046424	4.407694434	-0.30164801	nonDEG	OG0004187		
PSPTO_0246	2.003839209	2.727336622	-0.723497413	nonDEG			
PSPTO_0247	6.116388134	7.347621711	-1.231233577	down	OG0003665	K01560	E3.8.1.2; 2-haloacid dehalogenase [EC:3.8.1.2]
PSPTO_0248	2.568311798	3.789156836	-1.220845038	nonDEG	OG0000064	K09471	puuB; gamma-glutamylputrescine oxidase [EC:1.4.3.-]
PSPTO_0249	4.642575682	5.48033595	-0.837760268	nonDEG	OG0000018	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein
PSPTO_0250	3.185219791	3.103852463	0.081367328	nonDEG	OG0000036	K02033	ABC.PE.P; peptide/nickel transport system permease protein
PSPTO_0251	2.827150671	4.073647327	-1.246496655	down	OG0000037	K02034	ABC.PE.P1; peptide/nickel transport system permease protein
PSPTO_0252	4.980517122	4.544995245	0.435521877	nonDEG	OG0000015	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein
PSPTO_0253	2.800212111	2.996294212	-0.196082101	nonDEG	OG0002284		
PSPTO_0254	3.004931433	3.707049638	-0.702118205	nonDEG	OG0001883	K22549	lhpC; D-hydroxyproline dehydrogenase subunit alpha [EC:1.5.99.-]
PSPTO_0255	3.111236338	4.376768619	-1.265532281	down	OG0001907	K00303	"soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]"
PSPTO_0256	3.981790192	4.062734038	-0.080943847	nonDEG	OG0000168	K01438	argE; acetylornithine deacetylase [EC:3.5.1.16]
PSPTO_0257	6.192698629	5.786978272	0.405720356	nonDEG	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
PSPTO_0258	2.540366776	2.533461611	0.006905165	nonDEG	OG0000535	K12972	ghrA; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
PSPTO_0259	3.847618746	4.24730767	-0.399688924	nonDEG	OG0000520	K07250	gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]
PSPTO_0260	1.322143575	4.1399315	-2.817787924	down	OG0003665	K01560	E3.8.1.2; 2-haloacid dehalogenase [EC:3.8.1.2]
PSPTO_0261	6.759825114	8.000795139	-1.240970025	down	OG0000027	K03719	"lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"
PSPTO_0262	1.509126829	2.173352431	-0.664225603	nonDEG	OG0000790	K07491	putative transposase
PSPTO_0263	4.146088653	5.634376228	-1.488287575	down	OG0000005	K03406	mcp; methyl-accepting chemotaxis protein
PSPTO_0264	2.509141405	2.127350451	0.381790955	nonDEG	OG0000015	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein
PSPTO_0268	2.770650705	1.853824663	0.916826043	nonDEG	OG0000523	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
PSPTO_0272	5.218529531	6.488568795	-1.270039263	down	OG0000281	K04487	iscS; cysteine desulfurase [EC:2.8.1.7]
PSPTO_0273	3.872864073	4.038700784	-0.165836711	nonDEG	OG0000027	K03719	"lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"
PSPTO_0274	1.774121141	1.236826422	0.537294719	nonDEG			
PSPTO_0275	5.433361712	6.956619868	-1.523258156	down	OG0005426		
PSPTO_0276	3.315106025	3.398519321	-0.083413295	nonDEG	OG0000100	K19270	yfbT; sugar-phosphatase [EC:3.1.3.23]
PSPTO_0277	3.814004456	4.507664375	-0.693659919	nonDEG			
PSPTO_0278	5.624604837	6.520071691	-0.895466854	nonDEG	OG0000640		
PSPTO_0279	3.753355891	5.446786598	-1.693430706	down			
PSPTO_0280	4.716366439	5.908693262	-1.192326823	down	OG0006381	K01265	map; methionyl aminopeptidase [EC:3.4.11.18]
PSPTO_0281	5.493202188	4.61355498	0.879647208	nonDEG	OG0001960		
PSPTO_0282	2.146276805	2.198742831	-0.052466026	nonDEG	OG0003594		
PSPTO_0283	6.300102828	7.614252011	-1.314149183	down	OG0004787		
PSPTO_0285	6.855184583	6.911941648	-0.056757066	nonDEG			
PSPTO_0287	6.51925424	7.533244662	-1.013990422	down	OG0002109	K03733	xerC; integrase/recombinase XerC
PSPTO_0288	2.165375569	4.763404304	-2.598028735	down			
PSPTO_0289	0.779580184	-1.975505414	2.755085598	nonDEG			
PSPTO_0290	6.995061859	7.409612679	-0.41455082	nonDEG			
PSPTO_0293	4.18394664	5.282567814	-1.098621175	down			
PSPTO_0294	3.492818207	5.043334138	-1.550515931	down			
PSPTO_0295	2.564156466	3.206634729	-0.642478263	nonDEG			
