Cluster	Random example of a gene member (IMG gene ID locus_tag product [organism])	Phylogenetic Diversity	Total # Genes	# PA Genes	# NPA Genes	# RA genes	# Soil Genes	Is PA? (Hyperg Gene Copy Number)	Is PA? (Hyperg Gene Presence Absence)	Is PA? (PhyloGLM Gene Copy Number)	Is PA? (PhyloGLM Gene Presence Absence)	Is PA? (Scoary)	Is NPA? (Hyperg Gene Copy Number)	Is NPA? (Hyperg Gene Presence Absence)	Is NPA? (PhyloGLM Gene Copy Number)	Is NPA? (PhyloGLM Gene Presence Absence)	Is NPA? (Scoary)	Is RA? (Hyperg Gene Copy Number)	Is RA? (Hyperg Gene Presence Absence)	Is RA? (PhyloGLM Gene Copy Number)	Is RA? (PhyloGLM Gene Presence Absence)	Is RA? (Scoary)	Is soil? (Hyperg Gene Copy Number)	Is soil? (Hyperg Gene Presence Absence)	Is soil? (PhyloGLM Gene Copy Number)	Is soil? (PhyloGLM Gene Presence Absence)	Is soil? (Scoary)
KO:K00015	2522273909 H622DRAFT_03465 glyoxylate reductase [Bacillus sp. 278922_107]	0.32221	89	25	34	19	30	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00016	2553397138 D434DRAFT_06477 malate dehydrogenase (NAD) /L-lactate dehydrogenase [Bacillus sp. WBUNB004]	0.28891	885	155	356	98	374	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00018	2563405329 BP97DRAFT_05323 glycerate dehydrogenase [Paenibacillus sp. UNC451MF]	0.23821	40	15	6	12	19	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00019	2643499283 Ga0101989_1001392 3-hydroxybutyrate dehydrogenase [Bacillus sp. 212MF]	0.27428	375	88	142	47	145	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00020	2518142139 C568DRAFT_05433 3-hydroxyisobutyrate dehydrogenase [Bacillus sp. 95MFCvi2.1]	0.29208	716	133	297	85	286	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested	N
KO:K00023	2563428157 BR30DRAFT_01505 3-oxoacyl-[acyl-carrier-protein] reductase [Bacillus sp. UNC41MFS5]	0.02083	219	34	85	29	100	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00024	2637094689 Ga0077517_1025 malate dehydrogenase [Bacillus vanillea XY18]	0.29252	477	102	194	59	181	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00027	2645672343 Ga0102446_123337 malate dehydrogenase (oxaloacetate-decarboxylating) [Bacillus sp. Leaf75]	0.29319	1397	331	516	185	550	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00031	2561993136 N521DRAFT_3401 isocitrate dehydrogenase (NADP) [Bacillus sp. UNC125MFCrub1.1]	0.29319	464	98	190	54	176	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	Untested	Untested	Untested	N	N	Untested	Untested	Untested
KO:K00033	2643506820 Ga0101990_1000481 6-phosphogluconate dehydrogenase [Bacillus sp. 215MF]	0.29263	920	197	384	118	339	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00034	2644725726 Ga0102248_133262 glucose 1-dehydrogenase [Bacillus sp. Root239]	0.28153	522	126	202	55	194	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00036	2595324611 FF98DRAFT_03422 glucose-6-phosphate 1-dehydrogenase [Paenibacillus sp. UNC496MF]	0.29214	650	156	270	96	224	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00038	2639153134 Ga0073261_1237 3alpha(or 20beta)-hydroxysteroid dehydrogenase [Paenibacillus sp. CL141A]	0.48461	18	2	13	1	3	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00040	2518128964 PPM_2329 fructuronate reductase [Paenibacillus polymyxa M1]	0.16166	30	12	12	6	6	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00041	2579402182 AW26_0102590 tagaturonate reductase [Bacillus amyloliquefaciens EBL11]	0.31257	176	55	69	23	52	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00042	2587740170 EW81DRAFT_02940 2-hydroxy-3-oxopropionate reductase [Paenibacillus chondroitinus OK414]	0.27022	269	45	126	32	98	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00046	2639154592 Ga0073265_102601 gluconate 5-dehydrogenase [Paenibacillus sp. CL6Col]	0.37076	136	36	54	26	46	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00052	2626488103 Ga0077512_1003276 3-isopropylmalate dehydrogenase [Bacillus mycoides B38V]	0.29319	508	112	203	61	193	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00053	2518138032 C568DRAFT_01266 ketol-acid reductoisomerase [Bacillus sp. 95MFCvi2.1]	0.29326	633	118	260	71	255	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	N
KO:K00055	"2563430901 BR30DRAFT_04273 Zn-dependent alcohol dehydrogenases, class III [Bacillus sp. UNC41MFS5]"	0.30275	48	11	18	5	19	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00057	2587741726 EW81DRAFT_04511 NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus [Paenibacillus chondroitinus OK414]	0.29319	489	108	191	64	190	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00058	2644710736 Ga0102246_1012318 D-3-phosphoglycerate dehydrogenase [Bacillus sp. Root131]	0.29324	744	161	295	87	288	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	N	N	N	N	Untested	N
KO:K00059	2640284258 Ga0073247_1010138 3-oxoacyl-[acyl-carrier protein] reductase [Bacillus sp. 196MF]	0.29319	3817	836	1561	486	1420	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00060	2540759034 BAM5036_1620 L-threonine 3-dehydrogenase [Bacillus amyloliquefaciens plantarum UCMB5036]	0.15498	139	40	51	14	48	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00064	2644716467 Ga0102247_1011089 D-threo-aldose 1-dehydrogenase [Bacillus sp. Root147]	0.1765	181	23	85	18	73	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00065	2563431157 BR30DRAFT_04530 2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125) [Bacillus sp. UNC41MFS5]	0.42977	246	62	105	33	79	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00067	648171740 PPE_03827 dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133) [Paenibacillus polymyxa E681]	0.29341	536	133	193	77	210	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00068	"2639426821 Ga0097769_116505 sorbitol-6-phosphate 2-dehydrogenase [Bacillus licheniformis 12759 (re-annotation, Oct 2015)]"	0.25051	33	3	17	0	13	N	N	N	N	N	N	N	N	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N
KO:K00073	649938937 BSn5_18130 putative oxidoreductase [Bacillus subtilis BSn5]	0.24507	87	10	47	2	30	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00074	649935748 BSn5_02615 3-hydroxybutyryl-CoA dehydrogenase [Bacillus subtilis BSn5]	0.29267	735	169	314	107	252	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00075	2595322786 FF98DRAFT_01585 UDP-N-acetylmuramate dehydrogenase [Paenibacillus sp. UNC496MF]	0.29319	679	125	283	77	271	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00077	2581976258 P636DRAFT_01539 ketopantoate reductase [Bacillus subtilis PTS394]	0.29286	911	197	360	102	354	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	N
KO:K00086	"2553395549 D434DRAFT_04863 Alcohol dehydrogenase, class IV [Bacillus sp. WBUNB004]"	0.01621	74	10	35	8	29	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00087	2639651778 Ga0073268_11753 xanthine dehydrogenase molybdenum-binding subunit [Bacillus sp. 71MF]	0.31515	97	26	26	26	45	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00088	2644720162 Ga0102247_11319 IMP dehydrogenase [Bacillus sp. Root147]	0.29286	511	104	208	59	199	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00090	2563428483 BR30DRAFT_01834 gluconate 2-dehydrogenase [Bacillus sp. UNC41MFS5]	0.28436	356	65	141	32	150	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N
KO:K00096	2563405259 BP97DRAFT_05253 glycerol-1-phosphate dehydrogenase [NAD(P)+] [Paenibacillus sp. UNC451MF]	0.43044	184	48	77	20	59	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00097	2639135339 Ga0073252_11421 4-hydroxythreonine-4-phosphate dehydrogenase [Paenibacillus sp. 453MF]	0.42341	125	24	61	13	40	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00099	2520077667 B938_08505 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Bacillus amyloliquefaciens plantarum AS43.3]	0.29324	622	120	248	74	254	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00100	2635773785 Ga0081116_103239 hypothetical protein [Bacillus marisflavi LK26]	0.29044	633	101	281	62	251	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00102	2553392120 D434DRAFT_01389 D-lactate dehydrogenase (cytochrome) [Bacillus sp. WBUNB004]	0.023	241	28	106	19	107	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00104	2595325988 FF98DRAFT_04802 glycolate oxidase [Paenibacillus sp. UNC496MF]	0.28734	450	88	194	48	168	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00108	2574358997 BR72DRAFT_03076 choline dehydrogenase [Bacillus sp. UNC322MFChir4.1]	0.46605	44	13	18	11	13	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00111	2640245761 Ga0005698_102599 glycerol-3-phosphate dehydrogenase [Bacillus sp. UNCCL13]	0.2925	501	108	208	64	185	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00114	2529267080 M028DRAFT_05188 alcohol dehydrogenase (cytochrome c) [Bacillus sp. UNC438CL73TsuS30]	0.63757	8	4	3	2	1	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00116	2556937918 X809_27195 malate dehydrogenase (quinone) [Paenibacillus polymyxa CR1 (Complete genome sequence)]	0.32078	371	75	151	56	145	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00121	2512734267 PM3016_4802 S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [Paenibacillus mucilaginosus 3016]	0.28985	486	129	219	75	138	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N
KO:K00123	2522495799 H139DRAFT_04191 formate dehydrogenase major subunit [Bacillus sp. 171095_106]	0.27439	673	119	285	63	269	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00124	2563429760 BR30DRAFT_03124 formate dehydrogenase iron-sulfur subunit [Bacillus sp. UNC41MFS5]	0.22329	10	1	7	1	2	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00127	2563429761 BR30DRAFT_03125 formate dehydrogenase subunit gamma [Bacillus sp. UNC41MFS5]	0.22329	11	1	8	1	2	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00128	2639652987 Ga0073268_14811 aldehyde dehydrogenase (NAD+) [Bacillus sp. 71MF]	0.29266	1612	369	635	204	608	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	N
KO:K00130	2637095758 Ga0077517_1129 betaine-aldehyde dehydrogenase [Bacillus vanillea XY18]	0.27871	273	74	84	45	115	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00131	2639210536 Ga0073267_13210 glyceraldehyde-3-phosphate dehydrogenase (NADP+) [Bacillus sp. 491MF]	0.0272	265	38	108	33	119	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00132	2563440146 BP95DRAFT_00469 acetaldehyde dehydrogenase [Paenibacillus sp. UNC217MF]	0.0157	8	4	2	3	2	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00133	2606187520 Ga0004748_1577 aspartate semialdehyde dehydrogenase [Bacillus sp. YF23]	0.2933	653	116	274	71	263	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	N
KO:K00134	2514395320 MY7_3100 glyceraldehyde-3-phosphate dehydrogenase (NAD+) [Bacillus sp. 5B6]	0.29319	892	192	359	107	341	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00135	2644738290 Ga0102251_101186 succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [Bacillus sp. Root920]	0.28433	482	94	208	57	180	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00138	2563404894 BP97DRAFT_04884 aldehyde dehydrogenase [Paenibacillus sp. UNC451MF]	0.4391	43	8	19	4	16	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00140	2644422500 Ga0102120_1088 malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [Paenibacillus sp. Root444D2]	0.28907	641	122	244	78	275	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00145	2639634229 Ga0073237_102768 N-acetyl-gamma-glutamyl-phosphate reductase [Bacillus sp. 5MFCol3.1]	0.29307	475	105	187	56	183	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested	N
KO:K00146	2599827914 Ga0002164_03172 phenylacetaldehyde dehydrogenase [Bacillus endophyticus DSM 13796]	0.26965	158	28	89	13	41	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00147	649939027 BSn5_18590 glutamate-5-semialdehyde dehydrogenase (EC 1.2.1.41) [Bacillus subtilis BSn5]	0.29336	513	114	209	64	190	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00148	2587743652 EW81DRAFT_06449 glutathione-independent formaldehyde dehydrogenase [Paenibacillus chondroitinus OK414]	0.26332	70	16	31	7	23	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00151	2599826761 Ga0002164_02009 5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase (EC 1.2.1.60) [Bacillus endophyticus DSM 13796]	0.34259	16	1	12	0	3	N	N	N	N	N	N	N	N	N	N	N	N	Untested	Untested	Untested	N	N	Untested	Untested	Untested
KO:K00156	2518128685 PPM_2056 pyruvate dehydrogenase (quinone) [Paenibacillus polymyxa M1]	0.29081	70	26	18	18	26	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00158	2643504827 Ga0101990_10002513 pyruvate oxidase [Bacillus sp. 215MF]	0.27186	307	76	100	41	131	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00161	2573218345 V752DRAFT_02349 pyruvate dehydrogenase E1 component alpha subunit [Bacillus pumilus INR7]	0.29319	836	173	349	90	314	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00162	2574352747 BR62DRAFT_00619 pyruvate dehydrogenase E1 component beta subunit [Bacillus sp. UNC69MF]	0.29319	838	174	349	90	315	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00164	2514218100 MY9_2119 2-oxoglutarate dehydrogenase E1 component [Bacillus sp. JS]	0.28952	436	91	182	48	163	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00166	2529264123 M028DRAFT_02203 branched-chain alpha-keto acid dehydrogenase E1 component (EC 1.2.4.4) [Bacillus sp. UNC438CL73TsuS30]	0.29319	475	104	192	60	179	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00167	2637640294 Ga0081111_12252 2-oxoisovalerate dehydrogenase E1 component beta subunit [Bacillus marisflavi LK19]	0.29324	474	103	191	60	180	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00169	2556935705 X809_16070 pyruvate ferredoxin oxidoreductase alpha subunit [Paenibacillus polymyxa CR1 (Complete genome sequence)]	0.27785	74	25	26	17	23	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00172	2595321603 FF98DRAFT_00390 pyruvate ferredoxin oxidoreductase gamma subunit [Paenibacillus sp. UNC496MF]	0.27785	74	25	26	17	23	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00174	2595316740 FG16DRAFT_01624 2-oxoglutarate ferredoxin oxidoreductase subunit alpha [Paenibacillus sp. UNCCL117]	0.2714	314	53	128	42	133	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00175	2644705380 Ga0102245_1121651 2-oxoglutarate ferredoxin oxidoreductase subunit beta [Bacillus sp. Root11]	0.2714	310	52	126	41	132	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00208	2514393256 MY7_1036 Enoyl-[acyl-carrier-protein] reductase [NADH] [Bacillus sp. 5B6]	0.29004	439	95	174	51	170	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00209	2643740385 Ga0102146_130109 enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [Paenibacillus sp. Root52]	0.13661	67	27	25	13	15	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00215	2600787032 Ga0039097_03316 dihydrodipicolinate reductase [Paenibacillus sp. WLY78]	0.29319	472	104	189	60	179	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00216	"2579403820 AW26_0111260 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [Bacillus amyloliquefaciens EBL11]"	0.26974	306	52	126	24	128	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N
KO:K00219	"2616340936 Ga0066763_11399 2,4-dienoyl-CoA reductase (NADPH2) [Paenibacillus sp. YR247]"	0.4026	19	2	13	2	4	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00230	644857547 Pjdr2_0573 Flavodoxin-like protein [Paenibacillus sp. JDR-2]	0.44905	18	4	9	1	5	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00231	2522275355 H622DRAFT_04929 oxygen-dependent protoporphyrinogen oxidase [Bacillus sp. 278922_107]	0.29319	725	148	292	89	285	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00239	2569569995 N786_09675 succinate dehydrogenase subunit A [Bacillus amyloliquefaciens UASWS BA1]	0.29319	476	99	202	56	175	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00240	2626491218 Ga0077512_1070179 succinate dehydrogenase subunit B [Bacillus mycoides B38V]	0.29319	473	99	199	56	175	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00241	2595322095 FF98DRAFT_00883 succinate dehydrogenase subunit C [Paenibacillus sp. UNC496MF]	0.29319	468	100	195	57	173	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00243	2644712199 Ga0102246_106120 hypothetical protein [Bacillus sp. Root131]	0.29319	455	97	186	54	172	N	N	Untested	Untested	Untested	N	N	Untested	Untested	Untested	N	N	Untested	Untested	Untested	N	N	Untested	Untested	Untested
KO:K00244	2643602726 Ga0102006_1006205 fumarate reductase flavoprotein subunit [Paenibacillus sp. CL06Col]	0.228	52	10	29	7	13	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00248	2644703251 Ga0102245_10738 Acyl-CoA dehydrogenase [Bacillus sp. Root11]	0.01853	110	9	53	9	48	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00249	2639210611 Ga0073267_13335 acyl-CoA dehydrogenase [Bacillus sp. 491MF]	0.27187	222	36	121	31	65	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00254	2563444149 BP95DRAFT_04508 dihydroorotate oxidase A [Paenibacillus sp. UNC217MF]	0.26979	111	33	45	21	33	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00257	2574357941 BR72DRAFT_02011 hypothetical protein [Bacillus sp. UNC322MFChir4.1]	0.2751	558	76	250	54	232	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00259	2561991189 N521DRAFT_1451 alanine dehydrogenase [Bacillus sp. UNC125MFCrub1.1]	0.29319	846	170	324	112	352	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00260	2615984878 Ga0066722_102342 glutamate dehydrogenase [Bacillus sp. OK634]	0.28631	593	138	219	76	236	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00261	2637638868 Ga0081111_10965 glutamate dehydrogenase (NAD(P)+) [Bacillus marisflavi LK19]	0.39803	31	6	15	1	10	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00262	2639140593 Ga0073256_12415 glutamate dehydrogenase (NADP+) [Paenibacillus sp. CL123]	0.45717	140	32	61	16	47	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00263	2529264120 M028DRAFT_02200 leucine dehydrogenase [Bacillus sp. UNC438CL73TsuS30]	0.28156	392	79	161	42	152	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00265	2595090327 FG02DRAFT_02834 glutamate synthase (ferredoxin) [Bacillus sp. UNCCL81]	0.27713	396	77	167	42	152	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00266	2599825174 Ga0002164_00400 glutamate synthase (NADPH/NADH) small chain [Bacillus endophyticus DSM 13796]	0.39263	324	90	132	44	102	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00270	2599829671 Ga0002164_04947 phenylalanine dehydrogenase [Bacillus endophyticus DSM 13796]	0.30506	31	7	20	3	4	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
