Cluster	Random example of a gene member (IMG gene ID locus_tag product [organism])	Phylogenetic Diversity	Total # Genes	# PA Genes	# NPA Genes	# RA genes	# Soil Genes	Is PA? (Hyperg Gene Copy Number)	Is PA? (Hyperg Gene Presence Absence)	Is PA? (PhyloGLM Gene Copy Number)	Is PA? (PhyloGLM Gene Presence Absence)	Is PA? (Scoary)	Is NPA? (Hyperg Gene Copy Number)	Is NPA? (Hyperg Gene Presence Absence)	Is NPA? (PhyloGLM Gene Copy Number)	Is NPA? (PhyloGLM Gene Presence Absence)	Is NPA? (Scoary)	Is RA? (Hyperg Gene Copy Number)	Is RA? (Hyperg Gene Presence Absence)	Is RA? (PhyloGLM Gene Copy Number)	Is RA? (PhyloGLM Gene Presence Absence)	Is RA? (Scoary)	Is soil? (Hyperg Gene Copy Number)	Is soil? (Hyperg Gene Presence Absence)	Is soil? (PhyloGLM Gene Copy Number)	Is soil? (PhyloGLM Gene Presence Absence)	Is soil? (Scoary)
KO:K00034	2609638481 Ga0066764_10315 glucose 1-dehydrogenase [Pedobacter sp. OK626]	0.70779	173	45	90	9	38	Y	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00036	2587746731 EW70DRAFT_01369 glucose-6-phosphate 1-dehydrogenase [Chryseobacterium sp. OV715]	0.70525	215	50	113	15	52	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00038	2588234181 EW73DRAFT_3414 3alpha(or 20beta)-hydroxysteroid dehydrogenase [Chryseobacterium sp. YR460]	0.71255	12	4	7	1	1	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00041	2513235749 PMI10_03654 tagaturonate reductase [Flavobacterium sp. CF136]	0.71474	229	54	119	18	56	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00042	"644929269 Dfer_1409 2-hydroxy-3-oxopropionate reductase [Dyadobacter fermentans NS114, DSM 18053]"	0.52541	15	4	7	1	4	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00045	2587678270 EW72DRAFT_01477 mannitol 2-dehydrogenase [Chryseobacterium sp. OV705]	0.59455	85	8	69	0	8	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00046	2585157019 EW64DRAFT_01242 gluconate 5-dehydrogenase [Chryseobacterium sp. CF284]	0.64785	165	38	95	15	32	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00050	"644963682 Cpin_1502 glycerate 2-kinase (EC 2.7.1.165) [Chitinophaga pinensis UQM 2034, DSM 2588]"	0.32346	19	2	6	1	11	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00052	2609590869 Ga0066759_107177 3-isopropylmalate dehydrogenase [Mucilaginibacter sp. OK098]	0.67698	415	57	292	24	66	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00053	2590602476 EW76DRAFT_2397 ketol-acid reductoisomerase [Chryseobacterium sp. YR221]	0.67301	328	46	228	17	54	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00054	2588223281 EW75DRAFT_1585 3-hydroxy-3-methylglutaryl-coenzyme A reductase [Chryseobacterium sp. YR459]	0.4384	292	36	243	12	13	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N
KO:K00055	2587943526 EW82DRAFT_2146 aryl-alcohol dehydrogenase [Chryseobacterium sp. YR561]	0.65783	8	3	4	3	1	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00057	2587942389 EW82DRAFT_1006 glycerol-3-phosphate dehydrogenase (NAD(P)+) [Chryseobacterium sp. YR561]	0.65409	423	56	305	17	62	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00058	2644642012 Ga0102232_10673 D-3-phosphoglycerate dehydrogenase [Flavobacterium sp. Root901]	0.65409	1056	159	731	46	166	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00059	"644966463 Cpin_4301 short-chain dehydrogenase/reductase SDR [Chitinophaga pinensis UQM 2034, DSM 2588]"	0.65409	1540	287	938	106	315	Y	N	Y	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00064	2609642546 Ga0066764_12244 D-threo-aldose 1-dehydrogenase [Pedobacter sp. OK626]	0.70889	92	27	50	8	15	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00065	2623423239 Ga0070240_110118 2-deoxy-D-gluconate 3-dehydrogenase [Pedobacter rhizosphaerae DSM 18610]	0.708	144	16	92	3	36	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00066	2623407395 Ga0070228_103430 GDP-mannose 6-dehydrogenase [Spirosoma endophyticum DSM 26130]	0.86006	9	1	4	0	4	N	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00067	2623426007 Ga0070240_1712 dTDP-4-dehydrorhamnose reductase [Pedobacter rhizosphaerae DSM 18610]	0.65409	692	74	498	20	120	N	N	N	Untested	Untested	Y	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00074	2616767805 Ga0066760_2087 3-hydroxybutyryl-CoA dehydrogenase [Mucilaginibacter sp. YR332]	0.64933	630	101	417	28	112	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00075	2623249985 Ga0070589_107122 UDP-N-acetylmuramate dehydrogenase [Pedobacter suwonensis DSM 18130]	0.65409	415	56	299	17	60	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	Untested	Untested	Untested	N	N	Untested	Untested	Untested
KO:K00076	2524128883 G440DRAFT_02945 7-alpha-hydroxysteroid dehydrogenase [Aequorivita capsosiphonis DSM 23843]	0.61445	20	0	18	0	2	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00077	"644928623 Dfer_0751 ketopantoate reductase (EC 1.1.1.169) [Dyadobacter fermentans NS114, DSM 18053]"	0.59213	153	29	107	9	17	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00088	2645606019 Ga0102417_104303 IMP dehydrogenase [Chryseobacterium sp. Leaf394]	0.65409	416	56	300	17	60	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	Untested	Untested	Untested	N	N	Untested	Untested	Untested
KO:K00091	2616769456 Ga0066760_3739 dihydroflavonol-4-reductase [Mucilaginibacter sp. YR332]	0.72739	130	31	62	15	37	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00097	2616194331 Ga0070133_4615 4-hydroxythreonine-4-phosphate dehydrogenase [Flavobacterium sp. FV08]	0.6547	426	59	295	19	72	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00099	2623205832 Ga0070239_106251 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Pedobacter soli DSM 18609]	0.67339	125	22	56	7	47	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00100	2590612517 EW74DRAFT_3413 hypothetical protein [Chryseobacterium sp. YR203]	0.64189	169	21	131	5	17	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00101	2587868065 EW71DRAFT_3141 L-lactate dehydrogenase (cytochrome) [Chryseobacterium sp. YR005]	0.60154	127	19	97	4	11	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00103	2587680492 EW72DRAFT_03707 L-gulonolactone oxidase [Chryseobacterium sp. OV705]	0.60746	6	1	5	0	0	N	N	N	N	N	N	N	N	N	N	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested
KO:K00104	2645554138 Ga0102404_10349 glycolate oxidase [Pedobacter sp. Leaf194]	0.70822	88	13	47	4	28	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00108	2645555467 Ga0102404_109685 choline dehydrogenase [Pedobacter sp. Leaf194]	0.76538	46	10	27	2	9	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00111	2587945299 EW82DRAFT_3925 glycerol-3-phosphate dehydrogenase [Chryseobacterium sp. YR561]	0.71523	267	47	164	16	56	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00116	2581414897 U859DRAFT_04136 malate dehydrogenase (quinone) [Sphingobacterium sp. H1ai]	0.69722	254	57	152	18	45	Y	Y	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00117	2522551191 H144DRAFT_3592 quinoprotein glucose dehydrogenase [Dyadobacter beijingensis DSM 21582]	0.77194	183	35	91	12	57	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00118	2623410494 Ga0070228_114122 glucose-fructose oxidoreductase [Spirosoma endophyticum DSM 26130]	0.78537	82	6	58	1	18	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00121	2525253944 G563DRAFT_02459 S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [Runella zeae DSM 19591]	0.70732	40	3	32	2	5	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00123	2586903484 Z053DRAFT_00703 formate dehydrogenase major subunit [Aquimarina megaterium XH134]	0.76397	9	0	7	0	2	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00128	2645118172 Ga0102423_116259 aldehyde dehydrogenase (NAD+) [Chryseobacterium sp. Leaf405]	0.66342	827	151	547	41	129	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00131	2520881938 FF52_19435 glyceraldehyde-3-phosphate dehydrogenase (NADP+) [Flavobacterium sp. F52]	0.38897	135	10	117	7	8	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00133	2581415441 U859DRAFT_04680 aspartate-semialdehyde dehydrogenase [Sphingobacterium sp. H1ai]	0.65409	413	56	297	17	60	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	Untested	Untested	Untested	N	N	Untested	Untested	Untested
KO:K00134	2623405205 Ga0070228_101140 glyceraldehyde 3-phosphate dehydrogenase [Spirosoma endophyticum DSM 26130]	0.65409	925	104	694	43	127	N	N	N	Untested	Untested	Y	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00135	2609641500 Ga0066764_114169 succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [Pedobacter sp. OK626]	0.65011	450	38	358	11	54	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00138	2590613229 EW74DRAFT_4126 aldehyde dehydrogenase [Chryseobacterium sp. YR203]	0.68509	215	41	150	13	24	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00140	2623405162 Ga0070228_10197 methylmalonate-semialdehyde dehydrogenase [acylating] [Spirosoma endophyticum DSM 26130]	0.801	51	16	18	4	17	Y	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00145	2623251742 Ga0070589_11673 N-acetyl-gamma-glutamyl-phosphate reductase [Pedobacter suwonensis DSM 18130]	0.68154	340	52	230	17	58	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00147	2645542874 Ga0102402_101667 glutamate-5-semialdehyde dehydrogenase [Dyadobacter sp. Leaf189]	0.69023	246	31	175	13	40	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00148	"644928018 Dfer_0139 glutathione-independent formaldehyde dehydrogenase [Dyadobacter fermentans NS114, DSM 18053]"	0.51052	22	5	8	2	9	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00150	2520196202 I215_07407 glyceraldehyde 3-phosphate dehydrogenase (NAD(P)+) [Galbibacter sp. ck-I2-15]	0.38449	34	0	32	0	2	N	N	N	N	N	Y	N	N	N	Y	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00154	2520879781 FF52_08699 coniferyl-aldehyde dehydrogenase [Flavobacterium sp. F52]	0.66114	6	1	5	0	0	N	N	N	N	N	N	N	N	N	N	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested
KO:K00156	2588216452 EW77DRAFT_4143 pyruvate dehydrogenase (quinone) [Chryseobacterium sp. YR485]	0.68822	146	39	87	12	20	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00158	2611216071 Ga0037214_120115 pyruvate dehydrogenase (quinone) [Cellulophaga baltica 4]	0.36559	7	0	7	0	0	N	N	N	N	N	N	N	N	N	N	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested
KO:K00161	2645561633 Ga0102406_111319 pyruvate dehydrogenase E1 component alpha subunit [Flavobacterium sp. Leaf359]	0.65523	417	56	298	17	63	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00162	2644684435 Ga0102241_110543 pyruvate dehydrogenase E1 component beta subunit [Flavobacterium sp. Root935]	0.65523	416	56	297	17	63	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00164	2588233225 EW73DRAFT_2456 2-oxoglutarate dehydrogenase E1 component [Chryseobacterium sp. YR460]	0.65409	417	57	297	17	63	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00174	2609603613 Ga0066741_1157 2-oxoglutarate ferredoxin oxidoreductase subunit alpha [Chitinophaga sp. CF418]	0.71257	49	3	25	1	21	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00175	"644963185 Cpin_1031 thiamine pyrophosphate protein domain protein TPP-binding [Chitinophaga pinensis UQM 2034, DSM 2588]"	0.71257	50	3	25	1	22	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00184	2581413600 U859DRAFT_02839 quinol:cytochrome c oxidoreductase iron-sulfur protein precursor [Sphingobacterium sp. H1ai]	0.65409	449	56	329	17	64	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00185	2563781229 K392DRAFT_0690 quinol:cytochrome c oxidoreductase quinone-binding subunit 1 [Flavobacterium sp. 40S8]	0.65548	452	57	331	18	64	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00208	2645546748 Ga0102402_107129 enoyl-[acyl-carrier protein] reductase I [Dyadobacter sp. Leaf189]	0.67012	383	43	284	12	56	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00209	2616191827 Ga0070133_2105 enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [Flavobacterium sp. FV08]	0.59144	141	21	97	8	23	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00211	2644868662 Ga0102286_101532 prephenate dehydrogenase (NADP+) [Pedobacter sp. Leaf41]	0.24185	29	12	10	3	7	Y	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00215	"644928088 Dfer_0209 dihydrodipicolinate reductase (EC 1.3.1.26) [Dyadobacter fermentans NS114, DSM 18053]"	0.65409	487	72	348	26	67	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00219	"645946640 Dfer_5681  [Dyadobacter fermentans NS114, DSM 18053]"	0.41367	33	1	29	0	3	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00221	2625726451 Ga0076739_104263 alkylmercury lyase [Leeuwenhoekiella blandensis MED217 (re-annotation)]	0.43171	8	0	8	0	0	N	N	N	N	N	N	N	N	N	N	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested
KO:K00226	2579598596 JCM21142_31143 dihydroorotate dehydrogenase (fumarate) [Cytophaga fermentans JCM 21142]	0.59064	23	0	23	0	0	N	N	N	N	N	N	N	N	N	N	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested
KO:K00227	2644799831 Ga0102268_11085 lathosterol oxidase [Pedobacter sp. Leaf216]	0.64163	20	6	11	1	3	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00228	2623247781 Ga0070589_1013 coproporphyrinogen oxidase [Pedobacter suwonensis DSM 18130]	0.68702	336	32	240	13	64	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00230	2524208622 G564DRAFT_01132 menaquinone-dependent protoporphyrinogen oxidase [Salinimicrobium xinjiangense DSM 19287]	0.44039	23	0	20	0	3	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00231	"644968625 Cpin_6497 protoporphyrinogen oxidase [Chitinophaga pinensis UQM 2034, DSM 2588]"	0.69152	43	3	24	1	16	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00232	2513235732 PMI10_03637 Acyl-coenzyme A oxidase [Flavobacterium sp. CF136]	0.40477	67	12	49	8	6	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00239	2609640104 Ga0066764_107183 succinate dehydrogenase subunit A [Pedobacter sp. OK626]	0.65409	506	76	354	24	76	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00240	2587745958 EW70DRAFT_00595 succinate dehydrogenase / fumarate reductase iron-sulfur subunit [Chryseobacterium sp. OV715]	0.65409	511	79	356	24	76	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00241	2644968240 Ga0102308_112344 succinate dehydrogenase / fumarate reductase cytochrome b subunit [Flavobacterium sp. Leaf82]	0.65409	499	78	349	24	72	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00243	2645543585 Ga0102402_1011378 hypothetical protein [Dyadobacter sp. Leaf189]	0.61369	357	52	257	14	48	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00248	2623409392 Ga0070228_108258 butyryl-CoA dehydrogenase [Spirosoma endophyticum DSM 26130]	0.80502	52	2	45	0	5	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00249	2623394210 Ga0066800_0273 acyl-CoA dehydrogenase [Aquimarina amphilecti DSM 25232]	0.41268	36	0	33	0	3	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00252	2587753744 EW66DRAFT_03552 glutaryl-CoA dehydrogenase [Chryseobacterium sp. CF356]	0.66466	531	94	359	24	78	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00254	2623421591 Ga0070240_102160 dihydroorotate oxidase A [Pedobacter rhizosphaerae DSM 18610]	0.65599	400	56	281	17	63	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00257	2587680959 EW72DRAFT_04175 hypothetical protein [Chryseobacterium sp. OV705]	0.51821	249	18	197	9	34	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00259	2609603721 Ga0066741_115115 alanine dehydrogenase [Chitinophaga sp. CF418]	0.6571	576	72	416	25	88	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00261	2609832445 Ga0070134_106192 glutamate dehydrogenase (NAD(P)+) [Flavobacterium sp. OV086]	0.72671	250	33	155	14	62	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00262	2520880160 FF52_10563 glutamate dehydrogenase (NADP+) [Flavobacterium sp. F52]	0.49853	291	37	232	11	22	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00263	2609591350 Ga0066759_108261 leucine dehydrogenase [Mucilaginibacter sp. OK098]	0.6225	202	24	145	11	33	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00265	2609589116 Ga0066759_104257 glutamate synthase (NADPH/NADH) large chain [Mucilaginibacter sp. OK098]	0.7032	143	23	72	6	48	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00266	2609919681 Ga0066745_111242 glutamate synthase (NADPH/NADH) small chain [Dyadobacter sp. SG02]	0.68736	300	36	199	14	65	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00273	2585159017 EW64DRAFT_03247 D-amino-acid:oxygen oxidoreductase (deaminating) 1.4.3.3) [Chryseobacterium sp. CF284]	0.86556	11	2	8	2	1	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
