	Actinobacteria1	Actinobacteria2	Alphaproteobacteria	Bacillales	Bacteroidetes	Burkholderiales	Pseudomonas	Xanthomonadaceae
OG0006328||								
OG0001558|K02434|gatB; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]					PA			
OG0000087|K02433|gatA; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]								
OG0001559|K02435|gatC; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]								
OG0000030|K01897|ACSL; long-chain acyl-CoA synthetase [EC:6.2.1.3]			PA	PA				
OG0000692|K01972|E6.5.1.2; DNA ligase (NAD+) [EC:6.5.1.2]								
OG0002297||								
OG0000438|K08368|yaaU; MFS transporter, putative metabolite transport protein		PA				PA	PA	
OG0000800|K00566|mnmA; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]								
OG0000281|K04487|iscS; cysteine desulfurase [EC:2.8.1.7]			PA				PA	
OG0001434|K03976|ybaK; Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase [EC:3.1.1.-]	PA	PA	PA					
OG0001313|K00688|PYG; glycogen phosphorylase [EC:2.4.1.1]			PA		PA	PA		
OG0001568|K16147|glgE; starch synthase (maltosyl-transferring) [EC:2.4.99.16]			PA			PA		PA
OG0001201|K00700|GBE1; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]			PA		PA	PA		PA
OG0000092|K03671|trxA; thioredoxin 1			PA		PA			
OG0006239||								
OG0001556|K07018|uncharacterized protein	PA							
OG0006329||								
OG0006147||								
OG0000870|K00981|E2.7.7.41; phosphatidate cytidylyltransferase [EC:2.7.7.41]								
OG0000869|K02838|frr; ribosome recycling factor								
OG0000868|K09903|pyrH; uridylate kinase [EC:2.7.4.22]								
OG0000867|K02967|RP-S2; small subunit ribosomal protein S2								
OG0001411|K07391|comM; magnesium chelatase family protein			PA					
OG0001055|K07460|yraN; putative endonuclease								
OG0006148||								
OG0000874|K03470|rnhB; ribonuclease HII [EC:3.1.26.4]								
OG0000380|K03100|lepB; signal peptidase I [EC:3.4.21.89]								
OG0000971|K02884|RP-L19; large subunit ribosomal protein L19								
OG0001066||								
OG0001471|K03973|pspC; phage shock protein C			PA					
OG0002373|K00363|nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]			PA			PA		PA
OG0000221|K02303|cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]		PA	PA			PA		
OG0000538|K00372|nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]		PA	PA	PA				PA
OG0000973|K02860|rimM; 16S rRNA processing protein RimM								
OG0005096|K06960|uncharacterized protein								
OG0002781|K06048|gshA; glutamate---cysteine ligase / carboxylate-amine ligase [EC:6.3.2.2 6.3.-.-]	PA				PA	PA	PA	
OG0003972||								
OG0000974|K03106|SRP54; signal recognition particle subunit SRP54 [EC:3.6.5.4]								
OG0000616|K03644|lipA; lipoyl synthase [EC:2.8.1.8]								
OG0000546|K02167|betI; TetR/AcrR family transcriptional regulator, transcriptional repressor of bet genes			PA					
OG0000833|K03110|ftsY; fused signal recognition particle receptor								
OG0001250|K03529|smc; chromosome segregation protein								
OG0005123||								
OG0001059|K03685|rnc; ribonuclease III [EC:3.1.26.3]								
OG0006149|K02911|RP-L32; large subunit ribosomal protein L32								
OG0004433|K07040|uncharacterized protein								
OG0000834|K08316|rsmD; 16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]		PA		PA				
OG0001217|K00946|thiL; thiamine-monophosphate kinase [EC:2.7.4.16]			PA					
OG0006150||								
OG0000504|K01921|ddl; D-alanine-D-alanine ligase [EC:6.3.2.4]								
OG0000888|K00057|gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]			PA					
OG0000889|K00655|plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]			PA					
OG0000602|K00790|murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]			PA					
OG0000574|K01704|leuD; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]			PA					
OG0000485|K01703|leuC; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]			PA					
OG0006151||								
OG0000307|K07029|dagK; diacylglycerol kinase (ATP) [EC:2.7.1.107]								
OG0002542||								
OG0004324||								
OG0000042|K03704|cspA; cold shock protein (beta-ribbon, CspA family)		PA	PA					
OG0000738||								
OG0001640|K14161|imuB; protein ImuB	PA		PA		PA	PA		
OG0000225|K02337|dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]			PA					
OG0000390|K01104|E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]			PA					
OG0000004|K04761|oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator	PA	PA	PA					
OG0001147|K03430|phnW; 2-aminoethylphosphonate-pyruvate transaminase [EC:2.6.1.37]			PA					
OG0000111|K16165|nagK; fumarylpyruvate hydrolase [EC:3.7.1.20]		PA	PA				PA	
OG0000154|K00826|E2.6.1.42; branched-chain amino acid aminotransferase [EC:2.6.1.42]								
OG0002153||								
OG0000287|K00052|leuB; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]			PA				PA	
OG0004487|K08167|smvA; MFS transporter, DHA2 family, multidrug resistance protein		PA					PA	PA
OG0001162||								
OG0000132|K00090|ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]			PA			PA	PA	
OG0001894|K06201|cutC; copper homeostasis protein		PA	PA		PA			
OG0000046|K02025|ABC.MS.P; multiple sugar transport system permease protein	PA		PA	PA		PA		
OG0000706|K01505|E3.5.99.7; 1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7]			PA			PA		
OG0000777|K10117|msmE; raffinose/stachyose/melibiose transport system substrate-binding protein	PA		PA	PA		PA		
OG0006241||								
OG0000232|K19337|hexR; RpiR family transcriptional regulator, carbohydrate utilization regulator						PA		
OG0001891|K18676|gspK; glucosamine kinase [EC:2.7.1.8]			PA					
OG0000083|K00010|iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]		PA	PA				PA	
OG0002300|K01206|FUCA; alpha-L-fucosidase [EC:3.2.1.51]	PA		PA		PA	PA		PA
OG0001210|K00053|ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]			PA					
OG0001440|K01653|E2.2.1.6S; acetolactate synthase I/III small subunit [EC:2.2.1.6]			PA					
OG0000264|K01652|E2.2.1.6L; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]			PA					
OG0000644|K01687|ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]			PA			PA		
OG0003115|K01087|otsB; trehalose 6-phosphate phosphatase [EC:3.1.3.12]			PA			PA	PA	
OG0002312|K00697|otsA; trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]			PA			PA	PA	
OG0003993|K06606|iolI; 2-keto-myo-inositol isomerase [EC:5.3.99.11]			PA				PA	
OG0004006|K05602|hisN; histidinol-phosphatase [EC:3.1.3.15]								
OG0001369|K05564|phaG; multicomponent K+:H+ antiporter subunit G			PA					
OG0001370|K05563|phaF; multicomponent K+:H+ antiporter subunit F								
OG0001371|K05562|phaE; multicomponent K+:H+ antiporter subunit E								
OG0001372|K05561|phaD; multicomponent K+:H+ antiporter subunit D			PA					
OG0001373|K05560|phaC; multicomponent K+:H+ antiporter subunit C			PA					
OG0001374|K05559|phaA; multicomponent K+:H+ antiporter subunit A			PA					
OG0000756|K03664|smpB; SsrA-binding protein								
OG0001024|K09811|ftsX; cell division transport system permease protein						PA		
OG0005114||								
OG0006244|K12510|tadB; tight adherence protein B			PA					
OG0000512|K02283|cpaF; pilus assembly protein CpaF			PA					
OG0006179||								
OG0000560|K17758|nnr; ADP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.136]								
OG0003959|K04343|strB; streptomycin 6-kinase [EC:2.7.1.72]	PA	PA	PA	PA			PA	
OG0000175|K16264|czcD; cobalt-zinc-cadmium efflux system protein		PA	PA				PA	
OG0000832|K02428|rdgB; XTP/dITP diphosphohydrolase [EC:3.6.1.66]								
OG0001283|K00989|rph; ribonuclease PH [EC:2.7.7.56]			PA					
OG0004007|K00763|pncB; nicotinate phosphoribosyltransferase [EC:6.3.4.21]			PA					
OG0006180||								
OG0006153|K01992|ABC-2.P; ABC-2 type transport system permease protein			PA				PA	
OG0006245||								
OG0003756||								
OG0001452|K06915|uncharacterized protein	PA		PA					
OG0000665|K09690|ABC-2.LPSE.P; lipopolysaccharide transport system permease protein								
OG0000474|K09691|ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein								
OG0006246||								
OG0001466||								
OG0001535|K00995|pgsA; CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]					PA			
OG0000032|K11936|pgaC; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]							PA	
OG0000163|K04771|degP; serine protease Do [EC:3.4.21.107]			PA					
OG0001871|K06876|deoxyribodipyrimidine photolyase-related protein		PA			PA			PA
OG0000683|K14287|ybdL; methionine transaminase [EC:2.6.1.88]					PA	PA		
OG0001814|K02002|proX; glycine betaine/proline transport system substrate-binding protein			PA			PA	PA	
OG0000581|K02000|proV; glycine betaine/proline transport system ATP-binding protein [EC:3.6.3.32]			PA				PA	
OG0000027|K03719|lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein			PA			PA		
OG0000588|K00324|pntA; H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]			PA					
OG0006331|K09118|uncharacterized protein			PA			PA		
OG0000288|K01338|lon; ATP-dependent Lon protease [EC:3.4.21.53]	PA	PA				PA		
OG0006181||								
OG0003958||								
OG0005124|K03657|uvrD; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]								
OG0001569|K03426|E3.6.1.22; NAD+ diphosphatase [EC:3.6.1.22]			PA					
OG0005167||								
OG0006247|K03657|uvrD; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]								
OG0006248||								
OG0006154||								
OG0000051|K05592|deaD; ATP-dependent RNA helicase DeaD [EC:3.6.4.13]	PA		PA					
OG0001709|K07053|E3.1.3.97; 3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]		PA						
OG0000371|K01262|pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9]							PA	
OG0006249||								
OG0000687|K06213|mgtE; magnesium transporter	PA	PA	PA			PA		
OG0002251||								
OG0000915|K03593|mrp; ATP-binding protein involved in chromosome partitioning			PA					
OG0000131|K03116|tatA; sec-independent protein translocase protein TatA			PA					PA
OG0001342||								
OG0006320||								
OG0006250||								
OG0000168|K01438|argE; acetylornithine deacetylase [EC:3.5.1.16]		PA	PA			PA	PA	
OG0002669|K00674|dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]								
OG0001187|K01647|CS; citrate synthase [EC:2.3.3.1]								
OG0000116|K00812|aspB; aspartate aminotransferase [EC:2.6.1.1]	PA		PA			PA	PA	
OG0001684|K05524|fdxA; ferredoxin		PA						
OG0002385|K07243|FTR; high-affinity iron transporter	PA	PA	PA	PA		PA		PA
OG0001646|K07224|efeO; iron uptake system component EfeO	PA	PA					PA	
OG0001962|K16301|efeB; deferrochelatase/peroxidase EfeB [EC:1.11.1.-]	PA	PA		PA			PA	
OG0000921|K06207|typA; GTP-binding protein								
OG0006251||								
OG0003973||								
OG0000515|K00281|GLDC; glycine dehydrogenase [EC:1.4.4.2]			PA					
OG0000340|K02437|gcvH; glycine cleavage system H protein								
OG0000608|K03207|wcaH; colanic acid biosynthesis protein WcaH [EC:3.6.1.-]								
OG0001449|K03517|nadA; quinolinate synthase [EC:2.5.1.72]			PA		PA			
OG0000898|K00767|nadC; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]			PA					
OG0003624||								
OG0006252||								
OG0001154||								
OG0005108||								
OG0000890|K06942|ychF; ribosome-binding ATPase								
OG0000172|K02342|dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]						PA		
OG0001137|K09760|rmuC; DNA recombination protein RmuC	PA	PA						
OG0003974|K02446|glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]								
OG0000715|K01624|FBA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]			PA					
OG0001051|K03527|ispH; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]			PA					
OG0001224|K03601|xseA; exodeoxyribonuclease VII large subunit [EC:3.1.11.6]								
OG0006333||								
OG0000279|K01673|cynT; carbonic anhydrase [EC:4.2.1.1]			PA					
OG0000205|K01679|E4.2.1.2B; fumarate hydratase, class II [EC:4.2.1.2]			PA			PA		
OG0000897|K02654|pilD; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]			PA					
OG0001563|K07175|phoH2; PhoH-like ATPase					PA			
OG0001460|K01556|KYNU; kynureninase [EC:3.7.1.3]		PA	PA		PA	PA	PA	
OG0000651|K00806|uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]		PA	PA					
OG0001021|K11068|hlyIII; hemolysin III			PA					
OG0005125|K18455|mca; mycothiol S-conjugate amidase [EC:3.5.1.115]	PA							
OG0006334||								
OG0000321|K03624|greA; transcription elongation factor GreA								
OG0000242|K01754|E4.3.1.19; threonine dehydratase [EC:4.3.1.19]			PA					
OG0000987|K02341|holB; DNA polymerase III subunit delta' [EC:2.7.7.7]								
OG0001292|K09858|SEC-C motif domain protein		PA	PA			PA		
OG0000167|K03548|perM; putative permease								
OG0000884|K03799|htpX; heat shock protein HtpX [EC:3.4.24.-]	PA		PA					
OG0001421|K03744|lemA; LemA protein	PA	PA					PA	
OG0003975|K05888|L-gulono-1								
OG0002298|K16211|malY; maltose/moltooligosaccharide transporter								
OG0002092||								
OG0000157|K02439|glpE; thiosulfate sulfurtransferase [EC:2.8.1.1]								
OG0000142|K07552|bcr; MFS transporter, DHA1 family, multidrug resistance protein		PA	PA					
OG0000401|K03885|ndh; NADH dehydrogenase [EC:1.6.99.3]			PA			PA		
OG0000096|K14645|serine protease [EC:3.4.21.-]								PA
OG0006156||								
OG0001322|K18353|vanJ; vancomycin resistance protein VanJ								
OG0000765|K01892|HARS; histidyl-tRNA synthetase [EC:6.1.1.21]			PA					
OG0000998|K04765|mazG; nucleoside triphosphate diphosphatase [EC:3.6.1.9]			PA					
OG0000547|K00154|E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]		PA						PA
OG0004462||								
OG0000654|K03723|mfd; transcription-repair coupling factor (superfamily II helicase) [EC:3.6.4.-]								
OG0000754|K00796|folP; dihydropteroate synthase [EC:2.5.1.15]			PA					
OG0000617|K11752|ribD; diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]								
OG0000891|K01056|PTH1; peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]								
OG0001048|K02897|RP-L25; large subunit ribosomal protein L25								
OG0000475|K00033|PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]			PA				PA	
OG0000599|K00948|PRPS; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]								
OG0001285|K04042|glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]								
OG0000275|K02072|metI; D-methionine transport system permease protein			PA		PA	PA		
OG0000156|K02073|metQ; D-methionine transport system substrate-binding protein		PA	PA		PA	PA		
OG0001550|K00797|speE; spermidine synthase [EC:2.5.1.16]	PA		PA					
OG0005057|K00803|AGPS; alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]		PA	PA				PA	
OG0002269|K07130|kynB; arylformamidase [EC:3.5.1.9]		PA					PA	
OG0000277|K07124|uncharacterized protein			PA		PA	PA	PA	
OG0000584|K18697|pgpC; phosphatidylglycerophosphatase C [EC:3.1.3.27]			PA					
OG0001303|K00919|ispE; 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]					PA			
OG0000044|K19265|gpr; L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]		PA	PA				PA	
OG0000821|K02528|ksgA; 16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]								
OG0000194|K03424|tatD; TatD DNase family protein [EC:3.1.21.-]								
OG0000914|K01874|MARS; methionyl-tRNA synthetase [EC:6.1.1.10]			PA					
OG0000905|K07056|rsmI; 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]								
OG0006344|K00728|POMT; dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]								
OG0000070|K01758|CTH; cystathionine gamma-lyase [EC:4.4.1.1]	PA				PA			
OG0003146|K06929|uncharacterized protein		PA	PA		PA			
OG0002920||								
OG0004463|K06888|uncharacterized protein			PA					
OG0002301|K09164|uncharacterized protein	PA	PA						
OG0006253|K01992|ABC-2.P; ABC-2 type transport system permease protein			PA				PA	
OG0003116||								
OG0002811||								
OG0001483|K03578|hrpA; ATP-dependent helicase HrpA [EC:3.6.4.13]		PA						
OG0000370|K01011|TST; thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]	PA		PA		PA			
OG0000274|K09024|rutF; flavin reductase [EC:1.5.1.-]		PA	PA			PA	PA	
OG0001606||								
OG0000422|K00526|E1.17.4.1B; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]			PA					
OG0000437|K00525|E1.17.4.1A; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]								
OG0004482|K03647|nrdI; protein involved in ribonucleotide reduction			PA					
OG0000491|K08964|mtnB; methylthioribulose-1-phosphate dehydratase [EC:4.2.1.109]	PA		PA					
OG0003025||								
OG0000434|K19784|chrR; chromate reductase, NAD(P)H dehydrogenase (quinone)			PA	PA	PA	PA		
OG0000227|K06221|dkgA; 2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]	PA	PA	PA					
OG0002880||								
OG0002608||								
OG0000449|K07807|uncharacterized protein			PA				PA	
OG0002081||								
OG0000061|K08369|ydjE; MFS transporter, putative metabolite:H+ symporter		PA	PA					
OG0002088|K00853|araB; L-ribulokinase [EC:2.7.1.16]	PA	PA	PA		PA			
OG0000063|K01467|ampC; beta-lactamase class C [EC:3.5.2.6]			PA		PA		PA	
OG0004488||								
OG0001436||								
OG0003952||								
OG0000033|K03790|rimJ; [ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]			PA		PA	PA		PA
OG0001233|K00943|tmk; dTMP kinase [EC:2.7.4.9]								
OG0000420|K00963|UGP2; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]								
OG0000838|K01934|MTHFS; 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]		PA						
OG0000676|K03282|mscL; large conductance mechanosensitive channel			PA					
OG0002794||								
OG0000220|K00884|NAGK; N-acetylglucosamine kinase [EC:2.7.1.59]			PA					
OG0002409||								
OG0003067|K10544|xylH; D-xylose transport system permease protein		PA	PA			PA	PA	
OG0000482|K03300|TC.CITMHS; citrate-Mg2+:H+ or citrate-Ca2+:H+ symporter, CitMHS family	PA	PA	PA			PA	PA	
OG0006318|K02476|two-component system		PA						
OG0002291|K07702|dpiA; two-component system, CitB family, response regulator CitB								
OG0000473|K16137|nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon		PA	PA	PA	PA	PA		
OG0002795|K07451|mcrA; 5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]			PA					
OG0005168||								
OG0001890|K03709|troR; DtxR family transcriptional regulator, Mn-dependent transcriptional regulator								
OG0000880|K00831|serC; phosphoserine aminotransferase [EC:2.6.1.52]								
OG0000045|K10441|rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]		PA	PA			PA	PA	
OG0006157|K03704|cspA; cold shock protein (beta-ribbon, CspA family)		PA	PA					
OG0006254||								
OG0005097|K10843|ERCC3; DNA excision repair protein ERCC-3 [EC:3.6.4.12]								
OG0000003|K07657|phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB			PA		PA			
OG0000764|K04077|groEL; chaperonin GroEL								
OG0002754|K10543|xylF; D-xylose transport system substrate-binding protein		PA	PA			PA	PA	
OG0006159||								
OG0000470|K07305|msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]			PA					
OG0000344|K09936|TC.BAT2; bacterial/archaeal transporter family-2 protein			PA				PA	
OG0001875||								
OG0006160||								
OG0000302|K03218|rlmB; 23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]								
OG0001006|K01883|CARS; cysteinyl-tRNA synthetase [EC:6.1.1.16]								
OG0005126||								
OG0001176|K01770|ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]	PA				PA	PA		
OG0004426|K07736|carD; CarD family transcriptional regulator								
OG0006161||								
OG0001284|K02039|phoU; phosphate transport system protein								
OG0000123|K02226|cobC; alpha-ribazole phosphatase [EC:3.1.3.73]			PA		PA	PA		
OG0006162||								
OG0006255||								
OG0001546|K06980|ygfZ; tRNA-modifying protein YgfZ								
OG0006256||								
OG0006336||								
OG0006337|K15520|mshD; mycothiol synthase [EC:2.3.1.189]	PA							
OG0000721|K00937|ppk; polyphosphate kinase [EC:2.7.4.1]						PA		
OG0001588|K02037|pstC; phosphate transport system permease protein			PA					
OG0000824||								
OG0006163||								
OG0002688||								
OG0000038|K03446|emrB; MFS transporter, DHA2 family, multidrug resistance protein			PA		PA	PA	PA	
OG0004464||								
OG0000812||								
OG0003625||								
OG0000081|K02444|glpR; DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor	PA		PA			PA		PA
OG0003953|K00965|galT; UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]		PA	PA	PA				
OG0002812|K00849|galK; galactokinase [EC:2.7.1.6]			PA	PA				
OG0000576|K01491|folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]								
OG0000237|K00600|glyA; glycine hydroxymethyltransferase [EC:2.1.2.1]			PA					
OG0001350|K12373|HEXA_B; hexosaminidase [EC:3.2.1.52]			PA		PA	PA		
OG0000039|K03088|rpoE; RNA polymerase sigma-70 factor, ECF subfamily			PA		PA			PA
OG0001939||								
OG0000050|K19591|cueR; MerR family transcriptional regulator, copper efflux regulator							PA	
OG0006205||								
OG0000338|K01433|purU; formyltetrahydrofolate deformylase [EC:3.5.1.10]			PA					
OG0001714|K01443|nagA; N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]			PA		PA			
OG0000229|K00104|glcD; glycolate oxidase [EC:1.1.3.15]			PA			PA		
OG0000667|K00009|mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	PA							
OG0003626|K03483|mtlR; mannitol operon transcriptional antiterminator								
OG0001718|K07095|uncharacterized protein	PA	PA	PA			PA		PA
OG0000016|K07729|putative transcriptional regulator		PA	PA	PA			PA	
OG0002082|K02564|nagB; glucosamine-6-phosphate deaminase [EC:3.5.99.6]	PA	PA	PA		PA			
OG0006257|K01191|MAN2C1; alpha-mannosidase [EC:3.2.1.24]	PA		PA	PA				
OG0000143|K02027|ABC.MS.S; multiple sugar transport system substrate-binding protein	PA		PA	PA	PA	PA		
OG0006164|K00031|IDH1; isocitrate dehydrogenase [EC:1.1.1.42]								
OG0001040|K03168|topA; DNA topoisomerase I [EC:5.99.1.2]						PA		
OG0001850|K00657|speG; diamine N-acetyltransferase [EC:2.3.1.57]	PA		PA		PA	PA	PA	
OG0001331|K07443|ybaZ; methylated-DNA-protein-cysteine methyltransferase related protein			PA	PA				
OG0006165||								
OG0002491|K01478|arcA; arginine deiminase [EC:3.5.3.6]			PA		PA	PA	PA	
OG0000935|K00602|purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]								
OG0006258||								
OG0000887|K01902|sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]			PA					
OG0001045|K01903|sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]			PA					
OG0000231|K03657|uvrD; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]								
OG0000152|K01126|E3.1.4.46; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]		PA	PA		PA	PA		
OG0003118||								
OG0000975|K01951|guaA; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]								
OG0006259||								
OG0006346||								
OG0000185|K03455|TC.KEF; monovalent cation:H+ antiporter-2, CPA2 family			PA			PA		
OG0000607|K00111|glpA; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]			PA			PA		
OG0006260|K00088|IMPDH; IMP dehydrogenase [EC:1.1.1.205]								
OG0000592|K01997|livH; branched-chain amino acid transport system permease protein		PA	PA					
