	WP_id	cds	OG	KO id	KO description
Root935|61	WP_012022647.1	cds377	OG0005487	K01719	hemD; uroporphyrinogen-III synthase [EC:4.2.1.75]
Root935|62	WP_012022648.1	cds378	OG0000027	K03719	lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
Root935|63	WP_012023174.1	cds833	OG0002472	K02078	acpP; acyl carrier protein
Root935|64	WP_012023267.1	cds927	OG0000276	K13628	iscA; iron-sulfur cluster assembly protein
Root935|65	WP_012023423.1	cds1073	OG0000092	K03671	trxA; thioredoxin 1
Root935|66	WP_012023622.1	cds2622	OG0000984	K02899	RP-L27; large subunit ribosomal protein L27
Root935|67	WP_012023687.1	cds2548	OG0001054	K02996	RP-S9; small subunit ribosomal protein S9
Root935|68	WP_012023712.1	cds2525	OG0005595	K00185	prokaryotic molybdopterin-containing oxidoreductase family
Root935|69	WP_012023920.1	cds2337	OG0001112	K04078	groES; chaperonin GroES
Root935|70	WP_012024017.1	cds2208	OG0004695		
Root935|71	WP_012024053.1	cds2172	OG0002537	K07727	putative transcriptional regulator
Root935|72	WP_012024199.1	cds4061	OG0000027	K03719	lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
Root935|73	WP_012024626.1	cds3672	OG0000452		
Root935|74	WP_012026903.1	cds2023	OG0001050	K02968	RP-S20; small subunit ribosomal protein S20
Root935|75	WP_012026941.1	cds2060	OG0000978	K00940	ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]
Root935|76	WP_017495016.1	cds182	OG0000960	K02878	RP-L16; large subunit ribosomal protein L16
Root935|77	WP_017495022.1	cds192	OG0001104	K02992	RP-S7; small subunit ribosomal protein S7
Root935|78	WP_017497457.1	cds491	OG0000151	K03924	moxR; MoxR-like ATPase [EC:3.6.3.-]
Root935|79	WP_025570977.1	cds918	OG0001125	K02612	paaD; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD
Root935|80	WP_026727281.1	cds803	OG0001028	K02110	ATPF0C; F-type H+-transporting ATPase subunit c
Root935|81	WP_026727611.1	cds2806	OG0005535	K09158	uncharacterized protein
Root935|82	WP_026727866.1	cds165	OG0001087	K02948	RP-S11; small subunit ribosomal protein S11
Root935|83	WP_026728501.1	cds2699	OG0001142	K01963	accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]
Root935|84	WP_026729959.1	cds1315	OG0003711		
Root935|85	WP_026730429.1	cds2212	OG0001106	K02935	RP-L7; large subunit ribosomal protein L7/L12
Root935|86	WP_026730435.1	cds2221	OG0001243	K02970	RP-S21; small subunit ribosomal protein S21
Root935|87	WP_026982352.1	cds708	OG0003167	K04758	feoA; ferrous iron transport protein A
Root935|88	WP_026982672.1	cds1051	OG0001457	K04755	fdx; ferredoxin, 2Fe-2S
Root935|89	WP_026983241.1	cds4123	OG0004711		
Root935|90	WP_029270594.1	cds334	OG0002797	K04092	tyrA1; chorismate mutase [EC:5.4.99.5]
Root935|91	WP_029271150.1	cds640			
Root935|92	WP_029271512.1	cds925	OG0002289	K09013	sufC; Fe-S cluster assembly ATP-binding protein
Root935|93	WP_029272155.1	cds91	OG0000065	K06861	lptB; lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-]
Root935|94	WP_029273480.1	cds2177	OG0007567		
Root935|95	WP_029273654.1	cds1636	OG0000716	K00609	pyrB; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]
Root935|96	WP_029273669.1	cds1426	OG0000438	K08368	yaaU; MFS transporter, putative metabolite transport protein
Root935|97	WP_031453858.1	cds789			
Root935|98	WP_031456037.1	cds176	OG0001093	K02954	RP-S14; small subunit ribosomal protein S14
Root935|99	WP_035645529.1	cds2633	OG0000378	K08301	rng; ribonuclease G [EC:3.1.26.-]
Root935|100	WP_035646217.1	cds968	OG0001383	K00331	nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]
Root935|101	WP_035646428.1	cds881	OG0000058	K00874	kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]
Root935|102	WP_035650459.1	cds186	OG0001100	K02886	RP-L2; large subunit ribosomal protein L2
Root935|103	WP_035653234.1	cds413	OG0001118	K01737	queD; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]
Root935|104	WP_042565375.1	cds4129	OG0003711		
Root935|105	WP_042566180.1	cds2645	OG0000027	K03719	lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
Root935|106	WP_044048067.1	cds1676	OG0004130	K01734	mgsA; methylglyoxal synthase [EC:4.2.3.3]
Root935|107	WP_053470782.1	cds232	OG0000469	K02066	mlaE; phospholipid/cholesterol/gamma-HCH transport system permease protein
Root935|108	WP_053474073.1	cds2167	OG0000027	K03719	lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
Root935|109	WP_057114773.1	cds1	OG0000505	K03642	rlpA; rare lipoprotein A
Root935|110	WP_057114774.1	cds2	OG0000101	K03496	parA; chromosome partitioning protein
Root935|111	WP_057114775.1	cds3	OG0000397	K03497	parB; chromosome partitioning protein, ParB family
Root935|112	WP_057114776.1	cds4	OG0004724		
Root935|113	WP_057114777.1	cds5	OG0000944	K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
Root935|114	WP_057114778.1	cds6	OG0000380	K03100	lepB; signal peptidase I [EC:3.4.21.89]
Root935|115	WP_057114779.1	cds7	OG0002314		
Root935|116	WP_057114780.1	cds8	OG0005600		
Root935|117	WP_057114781.1	cds9	OG0000624		
Root935|118	WP_057114782.1	cds11	OG0001208	K03572	mutL; DNA mismatch repair protein MutL
Root935|119	WP_057114783.1	cds12	OG0000953	K00794	ribH; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]
Root935|120	WP_057114784.1	cds13	OG0005494		
Root935|121	WP_057114785.1	cds14	OG0001170	K03629	recF; DNA replication and repair protein RecF
Root935|122	WP_057114786.1	cds15	OG0003178		
Root935|123	WP_057114787.1	cds16	OG0000014	K14335	pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]
Root935|124	WP_057114788.1	cds17	OG0007519		
Root935|125	WP_057114789.1	cds18			
Root935|126	WP_057114790.1	cds19	OG0000804	K00075	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
Root935|127	WP_057114791.1	cds20	OG0000140	K22441	paiA; diamine N-acetyltransferase [EC:2.3.1.57]
Root935|128	WP_057114792.1	cds21	OG0001167	K07734	paiB; transcriptional regulator
Root935|129	WP_057114793.1	cds22	OG0000032	K11936	pgaC; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]
Root935|130	WP_057114794.1	cds23	OG0000019	K03088	rpoE; RNA polymerase sigma-70 factor, ECF subfamily
Root935|131	WP_057114795.1	cds24	OG0000442	K03832	tonB; periplasmic protein TonB
Root935|132	WP_057114796.1	cds25	OG0006517		
Root935|133	WP_057114797.1	cds26	OG0002766		
Root935|134	WP_057114798.1	cds27	OG0000295	K01423	bepA; beta-barrel assembly-enhancing protease [EC:3.4.-.-]
Root935|135	WP_057114799.1	cds28	OG0000295	K01423	bepA; beta-barrel assembly-enhancing protease [EC:3.4.-.-]
Root935|136	WP_057114800.1	cds29	OG0000616	K03644	lipA; lipoyl synthase [EC:2.8.1.8]
Root935|137	WP_057114801.1	cds31	OG0000076	K07678	barA; two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]
Root935|138	WP_057114802.1	cds32	OG0001388	K00912	lpxK; tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]
Root935|139	WP_057114803.1	cds33	OG0001901	K19158	yoeB; toxin YoeB [EC:3.1.-.-]
Root935|140	WP_057114804.1	cds34	OG0004670		
Root935|141	WP_057114805.1	cds35	OG0001585		
Root935|142	WP_057114806.1	cds36	OG0003968	K07164	uncharacterized protein
Root935|143	WP_057114807.1	cds37	OG0002129	K06889	uncharacterized protein
Root935|144	WP_057114808.1	cds38	OG0003510		
Root935|145	WP_057114809.1	cds39	OG0000112	K06178	rluB; 23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]
Root935|146	WP_057114810.1	cds40			
Root935|147	WP_057114811.1	cds41	OG0005658		
Root935|148	WP_057114812.1	cds42	OG0003116		
Root935|149	WP_057114813.1	cds43	OG0005657		
Root935|150	WP_057114814.1	cds44	OG0003858	K03284	corA; magnesium transporter
Root935|151	WP_057114815.1	cds45	OG0000576	K01491	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]
Root935|152	WP_057114816.1	cds46	OG0000974	K03106	SRP54; signal recognition particle subunit SRP54 [EC:3.6.5.4]
Root935|153	WP_057114817.1	cds47	OG0001561	K19294	algI; alginate O-acetyltransferase complex protein AlgI
Root935|154	WP_057114818.1	cds49	OG0004032		
Root935|155	WP_057114819.1	cds51	OG0000316	K16092	btuB; vitamin B12 transporter
Root935|156	WP_057114820.1	cds52	OG0004611		
Root935|157	WP_057114821.1	cds53	OG0001476		
Root935|158	WP_057114822.1	cds54	OG0001131		
Root935|159	WP_057114823.1	cds55	OG0007611		
Root935|160	WP_057114824.1	cds56			
Root935|161	WP_057114825.1	cds57	OG0000749	K01887	RARS; arginyl-tRNA synthetase [EC:6.1.1.19]
Root935|162	WP_057114826.1	cds59	OG0001894	K06201	cutC; copper homeostasis protein
Root935|163	WP_057114827.1	cds60	OG0001308	K07461	putative endonuclease
Root935|164	WP_057114828.1	cds61			
Root935|165	WP_057114829.1	cds62	OG0000180	K00648	fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
Root935|166	WP_057114830.1	cds63	OG0003187		
Root935|167	WP_057114831.1	cds64	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
Root935|168	WP_057114832.1	cds65	OG0000072	K03286	TC.OOP; OmpA-OmpF porin, OOP family
Root935|169	WP_057114833.1	cds67	OG0001046	K04079	HSP90A; molecular chaperone HtpG
Root935|170	WP_057114834.1	cds68	OG0004770	K07001	NTE family protein
Root935|171	WP_057114835.1	cds69			
Root935|172	WP_057114836.1	cds71	OG0007107		
Root935|173	WP_057114837.1	cds73	OG0004475	K01809	manA; mannose-6-phosphate isomerase [EC:5.3.1.8]
Root935|174	WP_057114838.1	cds74	OG0000593	K03564	BCP; peroxiredoxin Q/BCP [EC:1.11.1.15]
Root935|175	WP_057114839.1	cds75	OG0001118	K01737	queD; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]
Root935|176	WP_057114840.1	cds76	OG0001258	K01823	idi; isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]
Root935|177	WP_057114841.1	cds77	OG0000470	K07305	msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]
Root935|178	WP_057114842.1	cds78	OG0000360	K07304	msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
Root935|179	WP_057114843.1	cds79	OG0001264		
Root935|180	WP_057114844.1	cds81	OG0000060	K00344	qor; NADPH2:quinone reductase [EC:1.6.5.5]
Root935|181	WP_057114845.1	cds82			
Root935|182	WP_057114846.1	cds83			
Root935|183	WP_057114847.1	cds84	OG0001983	K07137	uncharacterized protein
Root935|184	WP_057114848.1	cds85	OG0007024		
Root935|185	WP_057114849.1	cds86			
Root935|186	WP_057114850.1	cds87	OG0000285	K03654	recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]
Root935|187	WP_057114851.1	cds89	OG0000612	K03118	tatC; sec-independent protein translocase protein TatC
Root935|188	WP_057114852.1	cds90	OG0001910		
Root935|189	WP_057114853.1	cds92	OG0001895	K07273	acm; lysozyme
Root935|190	WP_057114854.1	cds93	OG0000937	K17103	CHO1; CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]
Root935|191	WP_057114855.1	cds94	OG0007609		
Root935|192	WP_057114856.1	cds95	OG0005375		
Root935|193	WP_057114857.1	cds96	OG0000204	K03606	wcaJ; putative colanic acid biosysnthesis UDP-glucose lipid carrier transferase
Root935|194	WP_057114858.1	cds97			
Root935|195	WP_057114859.1	cds98	OG0004141		
Root935|196	WP_057114860.1	cds99	OG0000014	K14335	pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]
Root935|197	WP_057114861.1	cds100	OG0004430		
Root935|198	WP_057114862.1	cds101	OG0002304		
Root935|199	WP_057114863.1	cds102	OG0000014	K14335	pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]
Root935|200	WP_057114864.1	cds103	OG0007617		
Root935|201	WP_057114865.1	cds104			
Root935|202	WP_057114866.1	cds105	OG0001561	K19294	algI; alginate O-acetyltransferase complex protein AlgI
Root935|203	WP_057114867.1	cds106	OG0006960		
Root935|204	WP_057114868.1	cds107	OG0006759	K13665	gumL; pyruvyltransferase
Root935|205	WP_057114869.1	cds108	OG0003439	K15898	pseI; pseudaminic acid synthase [EC:2.5.1.97]
Root935|206	WP_057114870.1	cds109	OG0001307	K03270	kdsC; 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]
Root935|207	WP_057114871.1	cds110			
Root935|208	WP_057114873.1	cds112	OG0000313	K20534	gtrB; polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]
Root935|209	WP_057114874.1	cds113	OG0000032	K11936	pgaC; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]
Root935|210	WP_057114875.1	cds114	OG0000032	K11936	pgaC; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]
Root935|211	WP_057114876.1	cds115			
Root935|212	WP_057114877.1	cds116	OG0006920	K16563	exoV; succinoglycan biosynthesis protein ExoV
Root935|213	WP_057114878.1	cds117			
Root935|214	WP_057114879.1	cds118	OG0000474	K09691	ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein
Root935|215	WP_057114880.1	cds119	OG0000665	K09690	ABC-2.LPSE.P; lipopolysaccharide transport system permease protein
Root935|216	WP_057114881.1	cds120	OG0001295		
Root935|217	WP_057114882.1	cds121	OG0001335	K00973	E2.7.7.24; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]
Root935|218	WP_057114883.1	cds122	OG0000769	K00067	rfbD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
Root935|219	WP_057114884.1	cds123	OG0000768	K01790	rfbC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]
Root935|220	WP_057114885.1	cds124	OG0000211	K02805	wecE; dTDP-4-amino-4,6-dideoxygalactose transaminase [EC:2.6.1.59]
Root935|221	WP_057114886.1	cds125			
Root935|222	WP_057114887.1	cds126	OG0000596	K13007	wbpL; Fuc2NAc and GlcNAc transferase [EC:2.4.1.-]
Root935|223	WP_057114888.1	cds127	OG0001181		
Root935|224	WP_057114889.1	cds128	OG0007572		
Root935|225	WP_057114890.1	cds130	OG0000121	K00661	maa; maltose O-acetyltransferase [EC:2.3.1.79]
Root935|226	WP_057114891.1	cds131	OG0000014	K14335	pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]
Root935|227	WP_057114892.1	cds132	OG0000014	K14335	pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]
Root935|228	WP_057114894.1	cds134	OG0000032	K11936	pgaC; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]
Root935|229	WP_057114895.1	cds135			
Root935|230	WP_057114896.1	cds137	OG0000014	K14335	pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]
Root935|231	WP_057114897.1	cds138	OG0007770		
Root935|232	WP_057114898.1	cds140	OG0000121	K00661	maa; maltose O-acetyltransferase [EC:2.3.1.79]
Root935|233	WP_057114899.1	cds141	OG0000464	K20862	yigB; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]
Root935|234	WP_057114900.1	cds142	OG0002821	K01955	carB; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]
Root935|235	WP_057114902.1	cds144	OG0006958		
Root935|236	WP_057114903.1	cds145	OG0006957		
Root935|237	WP_057114904.1	cds146	OG0001064	K01710	E4.2.1.46; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]
Root935|238	WP_057114905.1	cds147	OG0000235	K00971	manC; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
Root935|239	WP_057114906.1	cds148	OG0001244	K02474	wbpO; UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.-]
Root935|240	WP_057114907.1	cds149	OG0002274	K05785	rfaH; transcriptional antiterminator RfaH
Root935|241	WP_057114908.1	cds150	OG0000364	K00012	UGDH; UDPglucose 6-dehydrogenase [EC:1.1.1.22]
Root935|242	WP_057114909.1	cds151	OG0000144	K01784	galE; UDP-glucose 4-epimerase [EC:5.1.3.2]
Root935|243	WP_057114910.1	cds152	OG0000251	K16692	etk-wzc; tyrosine-protein kinase Etk/Wzc [EC:2.7.10.-]
Root935|244	WP_057114911.1	cds153	OG0000327	K01991	wza; polysaccharide biosynthesis/export protein
Root935|245	WP_057114912.1	cds154	OG0000784	K06187	recR; recombination protein RecR
Root935|246	WP_057114913.1	cds156	OG0000933	K05595	marC; multiple antibiotic resistance protein
Root935|247	WP_057114914.1	cds159	OG0001187	K01647	CS; citrate synthase [EC:2.3.3.1]
Root935|248	WP_057114915.1	cds160	OG0000591	K01689	ENO; enolase [EC:4.2.1.11]
Root935|249	WP_057114916.1	cds161	OG0000674	K01956	carA; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]
Root935|250	WP_057114917.1	cds162	OG0000954	K02879	RP-L17; large subunit ribosomal protein L17
Root935|251	WP_057114918.1	cds170	OG0000956	K02876	RP-L15; large subunit ribosomal protein L15
Root935|252	WP_057114919.1	cds173	OG0000958	K02881	RP-L18; large subunit ribosomal protein L18
Root935|253	WP_057114920.1	cds174	OG0001091	K02933	RP-L6; large subunit ribosomal protein L6
Root935|254	WP_057114921.1	cds188	OG0001101	K02926	RP-L4; large subunit ribosomal protein L4
Root935|255	WP_057114922.1	cds189	OG0001102	K02906	RP-L3; large subunit ribosomal protein L3
Root935|256	WP_057114923.1	cds191	OG0000680	K02355	fusA; elongation factor G
Root935|257	WP_057114924.1	cds195	OG0001131		
Root935|258	WP_057114925.1	cds196	OG0001476		
Root935|259	WP_057114928.1	cds197			
Root935|260	WP_057114930.1	cds198			
Root935|261	WP_057114932.1	cds199	OG0000302	K03218	rlmB; 23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]
Root935|262	WP_057114933.1	cds200	OG0004126		
Root935|263	WP_057114935.1	cds201			
Root935|264	WP_057114937.1	cds202	OG0003161		
Root935|265	WP_057114939.1	cds203	OG0000802	K07478	ycaJ; putative ATPase
Root935|266	WP_057114941.1	cds206	OG0000427	K03630	radC; DNA repair protein RadC
Root935|267	WP_057114942.1	cds207	OG0001580	K02558	mpl; UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]
Root935|268	WP_057114943.1	cds208	OG0004200		
Root935|269	WP_057114944.1	cds209	OG0004768		
Root935|270	WP_057114945.1	cds210	OG0000983	K03979	obgE; GTPase [EC:3.6.5.-]
Root935|271	WP_057114949.1	cds213	OG0000697		
Root935|272	WP_057114950.1	cds214	OG0002227	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
Root935|273	WP_057114951.1	cds215			
Root935|274	WP_057114952.1	cds216	OG0000847	K01589	purK; 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]
Root935|275	WP_057114953.1	cds217	OG0000848	K01588	purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]
Root935|276	WP_057114954.1	cds221	OG0002636	K03316	TC.CPA1; monovalent cation:H+ antiporter, CPA1 family
Root935|277	WP_057114955.1	cds222	OG0004668		
Root935|278	WP_057114956.1	cds223			
Root935|279	WP_057114957.1	cds224	OG0007571		
Root935|280	WP_057114958.1	cds225	OG0000895	K07071	uncharacterized protein
Root935|281	WP_057114959.1	cds226	OG0003123		
Root935|282	WP_057114960.1	cds227	OG0007562		
Root935|283	WP_057114961.1	cds228	OG0000515	K00281	GLDC; glycine dehydrogenase [EC:1.4.4.2]
Root935|284	WP_057114962.1	cds229	OG0000180	K00648	fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
Root935|285	WP_057114963.1	cds230			
Root935|286	WP_057114964.1	cds233	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
Root935|287	WP_057114965.1	cds234	OG0002363	K02742	sprT; SprT protein
Root935|288	WP_057114966.1	cds235	OG0007013		
Root935|289	WP_057114967.1	cds236	OG0000992	K19701	ywaD; aminopeptidase YwaD [EC:3.4.11.6 3.4.11.10]
Root935|290	WP_057114968.1	cds237	OG0000049	K00253	IVD; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
Root935|291	WP_057114969.1	cds238			
Root935|292	WP_057114970.1	cds239	OG0000757	K00262	E1.4.1.4; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
Root935|293	WP_057114971.1	cds240			
Root935|294	WP_057114972.1	cds242	OG0001766	K03561	exbB; biopolymer transport protein ExbB
Root935|295	WP_057114973.1	cds243	OG0000793	K11754	folC; dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]
Root935|296	WP_057114974.1	cds245	OG0002571		
Root935|297	WP_057114975.1	cds0	OG0007773		
Root935|298	WP_057114977.1	cds30	OG0000292	K00134	GAPDH; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
Root935|299	WP_057114979.1	cds58	OG0000781		
Root935|300	WP_057114980.1	cds66	OG0005659		
Root935|301	WP_057114981.1	cds70			
Root935|302	WP_057114982.1	cds80	OG0000371	K01262	pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9]
