	WP_id	cds	OG	KO id	KO description
Leaf404|32	WP_056026319.1	cds4	OG0000668	K00029	E1.1.1.40; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
Leaf404|33	WP_056026322.1	cds5	OG0001891	K18676	gspK; glucosamine kinase [EC:2.7.1.8]
Leaf404|34	WP_056026326.1	cds6			
Leaf404|35	WP_056026329.1	cds7	OG0002016		
Leaf404|36	WP_056026332.1	cds8	OG0000252	K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
Leaf404|37	WP_056026338.1	cds11	OG0005556		
Leaf404|38	WP_056026341.1	cds12	OG0001333	K01184	E3.2.1.15; polygalacturonase [EC:3.2.1.15]
Leaf404|39	WP_056026345.1	cds13			
Leaf404|40	WP_056026348.1	cds14			
Leaf404|41	WP_056026351.1	cds15	OG0000057	K03710	GntR family transcriptional regulator
Leaf404|42	WP_056026354.1	cds16	OG0002372		
Leaf404|43	WP_056026357.1	cds17	OG0000699	K00101	lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
Leaf404|44	WP_056026360.1	cds18	OG0004640		
Leaf404|45	WP_056026363.1	cds19	OG0003143	K01820	rhaA; L-rhamnose isomerase / sugar isomerase [EC:5.3.1.14 5.3.1.-]
Leaf404|46	WP_056026366.1	cds20	OG0004001		
Leaf404|47	WP_056026369.1	cds21	OG0004170	K21572	susD; starch-binding outer membrane protein, SusD/RagB family
Leaf404|48	WP_056026372.1	cds22	OG0000068	K21573	susC; TonB-dependent starch-binding outer membrane protein SusC
Leaf404|49	WP_056026375.1	cds23	OG0002624	K03534	rhaM; L-rhamnose mutarotase [EC:5.1.3.32]
Leaf404|50	WP_056026378.1	cds24	OG0003782	K02856	rhaT; L-rhamnose-H+ transport protein
Leaf404|51	WP_056026380.1	cds25			
Leaf404|52	WP_056026382.1	cds26	OG0007020		
Leaf404|53	WP_056026384.1	cds27	OG0002308		
Leaf404|54	WP_056026387.1	cds29			
Leaf404|55	WP_056026390.1	cds30	OG0005516		
Leaf404|56	WP_056026393.1	cds31	OG0002308		
Leaf404|57	WP_056026396.1	cds32	OG0002552	K01190	lacZ; beta-galactosidase [EC:3.2.1.23]
Leaf404|58	WP_056026401.1	cds34	OG0000110	K02199	ccmG; cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE
Leaf404|59	WP_056026402.1	cds35			
Leaf404|60	WP_056026404.1	cds36			
Leaf404|61	WP_056026406.1	cds37	OG0000705	K03544	clpX; ATP-dependent Clp protease ATP-binding subunit ClpX
Leaf404|62	WP_056026409.1	cds38	OG0000579	K02503	HINT1; histidine triad (HIT) family protein
Leaf404|63	WP_056026414.1	cds39	OG0000321	K03624	greA; transcription elongation factor GreA
Leaf404|64	WP_056026416.1	cds40	OG0005610		
Leaf404|65	WP_056026419.1	cds41	OG0001314	K07560	dtd; D-aminoacyl-tRNA deacylase [EC:3.1.1.96]
Leaf404|66	WP_056026422.1	cds42			
Leaf404|67	WP_056026428.1	cds45	OG0007499		
Leaf404|68	WP_056026431.1	cds46	OG0005658		
Leaf404|69	WP_056026434.1	cds49			
Leaf404|70	WP_056026437.1	cds50	OG0001240	K07098	uncharacterized protein
Leaf404|71	WP_056026440.1	cds51	OG0007027		
Leaf404|72	WP_056026443.1	cds52	OG0003116		
Leaf404|73	WP_056026450.1	cds53			
Leaf404|74	WP_056026453.1	cds54	OG0005657		
Leaf404|75	WP_056026456.1	cds55			
Leaf404|76	WP_056026458.1	cds56	OG0000033	K03790	rimJ; [ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]
Leaf404|77	WP_056026461.1	cds57	OG0007500	K13766	liuC; methylglutaconyl-CoA hydratase [EC:4.2.1.18]
Leaf404|78	WP_056026464.1	cds58	OG0001775		
Leaf404|79	WP_056026468.1	cds59	OG0000384		
Leaf404|80	WP_056026472.1	cds60	OG0000369	K02169	bioC; malonyl-CoA O-methyltransferase [EC:2.1.1.197]
Leaf404|81	WP_056026474.1	cds61			
Leaf404|82	WP_056026477.1	cds62	OG0002793	K02618	paaZ; oxepin-CoA hydrolase / 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase [EC:3.3.2.12 1.2.1.91]
Leaf404|83	WP_056026480.1	cds63	OG0000097	K01066	aes; acetyl esterase [EC:3.1.1.-]
Leaf404|84	WP_056026482.1	cds64	OG0000408	K07214	fes; enterochelin esterase and related enzymes
Leaf404|85	WP_056026484.1	cds66	OG0000031	K00626	E2.3.1.9; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
Leaf404|86	WP_056026489.1	cds68	OG0000249	K02614	paaI; acyl-CoA thioesterase [EC:3.1.2.-]
Leaf404|87	WP_056026492.1	cds69			
Leaf404|88	WP_056026495.1	cds70			
Leaf404|89	WP_056026498.1	cds71	OG0000099	K00074	paaH; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
Leaf404|90	WP_056026501.1	cds72	OG0000034	K01692	paaF; enoyl-CoA hydratase [EC:4.2.1.17]
Leaf404|91	WP_056026504.1	cds73	OG0001125	K02612	paaD; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD
Leaf404|92	WP_056026507.1	cds74	OG0002285	K02611	paaC; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC [EC:1.14.13.149]
Leaf404|93	WP_056026509.1	cds76			
Leaf404|94	WP_056026512.1	cds77	OG0002287	K02609	paaA; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]
Leaf404|95	WP_056026516.1	cds78	OG0000133	K02613	paaE; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE
Leaf404|96	WP_056026519.1	cds79	OG0000044	K19265	gpr; L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]
Leaf404|97	WP_056026522.1	cds80	OG0000094	K18954	pobR; AraC family transcriptional regulator, transcriptional activator of pobA
Leaf404|98	WP_056026525.1	cds81	OG0000035		
Leaf404|99	WP_056026528.1	cds83	OG0000258	K01465	URA4; dihydroorotase [EC:3.5.2.3]
Leaf404|100	WP_056026530.1	cds84	OG0005651		
Leaf404|101	WP_056026533.1	cds85	OG0005753	K00973	E2.7.7.24; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]
Leaf404|102	WP_056026536.1	cds86	OG0005482		
Leaf404|103	WP_056026539.1	cds87	OG0001832	K22719	envC; murein hydrolase activator
Leaf404|104	WP_056026542.1	cds88	OG0000131	K03116	tatA; sec-independent protein translocase protein TatA
Leaf404|105	WP_056026545.1	cds89	OG0005525		
Leaf404|106	WP_056026548.1	cds90			
Leaf404|107	WP_056026551.1	cds91	OG0000173	K14652	ribBA; 3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]
Leaf404|108	WP_056026554.1	cds92	OG0007501		
Leaf404|109	WP_056026557.1	cds93	OG0000594	K01207	nagZ; beta-N-acetylhexosaminidase [EC:3.2.1.52]
Leaf404|110	WP_056026560.1	cds94	OG0000014	K14335	pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]
Leaf404|111	WP_056026563.1	cds95			
Leaf404|112	WP_056026566.1	cds97	OG0005524		
Leaf404|113	WP_056026569.1	cds98	OG0000812		
Leaf404|114	WP_056026572.1	cds99	OG0002573		
Leaf404|115	WP_056026575.1	cds101	OG0005586		
Leaf404|116	WP_056026578.1	cds102	OG0000118	K03695	clpB; ATP-dependent Clp protease ATP-binding subunit ClpB
Leaf404|117	WP_056026582.1	cds103	OG0000069	K16137	nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
Leaf404|118	WP_056026585.1	cds105	OG0000003	K07657	phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB
Leaf404|119	WP_056026588.1	cds106	OG0000010	K07636	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
Leaf404|120	WP_056026591.1	cds107	OG0002575		
Leaf404|121	WP_056026594.1	cds108	OG0000001	K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
Leaf404|122	WP_056026596.1	cds109	OG0002854		
Leaf404|123	WP_056026599.1	cds110	OG0003139		
Leaf404|124	WP_056026602.1	cds111	OG0000009	K07687	rcsB; two-component system, NarL family, captular synthesis response regulator RcsB
Leaf404|125	WP_056026605.1	cds112	OG0000067	K07674	narQ; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]
Leaf404|126	WP_056026608.1	cds113			
Leaf404|127	WP_056026610.1	cds114	OG0007502		
Leaf404|128	WP_056026613.1	cds115	OG0004164	K02217	ftnA; ferritin [EC:1.16.3.2]
Leaf404|129	WP_056026616.1	cds116	OG0003722		
Leaf404|130	WP_056026620.1	cds117			
Leaf404|131	WP_056026624.1	cds118	OG0001772	K00705	malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]
Leaf404|132	WP_056026626.1	cds119			
Leaf404|133	WP_056026629.1	cds121	OG0000410	K01495	GCH1; GTP cyclohydrolase IA [EC:3.5.4.16]
Leaf404|134	WP_056026632.1	cds122	OG0003724		
Leaf404|135	WP_056026635.1	cds123	OG0001161	K00297	metF; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]
Leaf404|136	WP_056026638.1	cds124			
Leaf404|137	WP_056026641.1	cds125	OG0000610	K00548	metH; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
Leaf404|138	WP_056026644.1	cds126	OG0000610	K00548	metH; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
Leaf404|139	WP_056026647.1	cds127	OG0000070	K01758	CTH; cystathionine gamma-lyase [EC:4.4.1.1]
Leaf404|140	WP_056026650.1	cds129	OG0000717	K00641	metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]
Leaf404|141	WP_056026654.1	cds130	OG0004835		
Leaf404|142	WP_056026656.1	cds131	OG0001275	K07397	yhfA; putative redox protein
Leaf404|143	WP_056026660.1	cds132	OG0000436		
Leaf404|144	WP_056026663.1	cds133	OG0004535		
Leaf404|145	WP_056026666.1	cds134	OG0000260		
Leaf404|146	WP_056026669.1	cds135	OG0000151	K03924	moxR; MoxR-like ATPase [EC:3.6.3.-]
Leaf404|147	WP_056026671.1	cds136	OG0003205	K07491	putative transposase
Leaf404|148	WP_056026674.1	cds137	OG0005579		
Leaf404|149	WP_056026677.1	cds138	OG0005580		
Leaf404|150	WP_056026680.1	cds139			
Leaf404|151	WP_056026684.1	cds140	OG0002056		
Leaf404|152	WP_056026687.1	cds141	OG0001712		
Leaf404|153	WP_056026690.1	cds142	OG0000500	K06975	uncharacterized protein
Leaf404|154	WP_056026694.1	cds143	OG0004669		
Leaf404|155	WP_056026696.1	cds144	OG0001746		
Leaf404|156	WP_056026699.1	cds145	OG0000452		
Leaf404|157	WP_056026702.1	cds146	OG0000072	K03286	TC.OOP; OmpA-OmpF porin, OOP family
Leaf404|158	WP_056026705.1	cds147	OG0000756	K03664	smpB; SsrA-binding protein
Leaf404|159	WP_056026708.1	cds149	OG0000295	K01423	bepA; beta-barrel assembly-enhancing protease [EC:3.4.-.-]
Leaf404|160	WP_056026711.1	cds150	OG0001113	K07462	recJ; single-stranded-DNA-specific exonuclease [EC:3.1.-.-]
Leaf404|161	WP_056026714.1	cds151	OG0000678	K00969	nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]
Leaf404|162	WP_056026719.1	cds152			
Leaf404|163	WP_056026722.1	cds153	OG0002311		
Leaf404|164	WP_056026725.1	cds154			
Leaf404|165	WP_056026728.1	cds155	OG0000781		
Leaf404|166	WP_056026731.1	cds156	OG0000097	K01066	aes; acetyl esterase [EC:3.1.1.-]
Leaf404|167	WP_056026735.1	cds157	OG0005611		
Leaf404|168	WP_056026739.1	cds158			
Leaf404|169	WP_056026740.1	cds159			
Leaf404|170	WP_056026743.1	cds160	OG0004228		
Leaf404|171	WP_056026747.1	cds161	OG0002491	K01478	arcA; arginine deiminase [EC:3.5.3.6]
Leaf404|172	WP_056026750.1	cds162	OG0001271		
Leaf404|173	WP_056026754.1	cds163	OG0000993		
Leaf404|174	WP_056026758.1	cds165			
Leaf404|175	WP_056026761.1	cds166	OG0001187	K01647	CS; citrate synthase [EC:2.3.3.1]
Leaf404|176	WP_056026764.1	cds167	OG0000591	K01689	ENO; enolase [EC:4.2.1.11]
Leaf404|177	WP_056026767.1	cds168			
Leaf404|178	WP_056026770.1	cds169	OG0000067	K07674	narQ; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]
Leaf404|179	WP_056026774.1	cds170			
Leaf404|180	WP_056026776.1	cds171			
Leaf404|181	WP_056026779.1	cds172	OG0000009	K07687	rcsB; two-component system, NarL family, captular synthesis response regulator RcsB
Leaf404|182	WP_056026782.1	cds173			
Leaf404|183	WP_056026785.1	cds174	OG0000954	K02879	RP-L17; large subunit ribosomal protein L17
Leaf404|184	WP_056026787.1	cds175	OG0000955	K03040	rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
Leaf404|185	WP_056026790.1	cds176	OG0001086	K02986	RP-S4; small subunit ribosomal protein S4
Leaf404|186	WP_056026795.1	cds178	OG0001088	K02952	RP-S13; small subunit ribosomal protein S13
Leaf404|187	WP_056026798.1	cds181	OG0001089	K03076	secY; preprotein translocase subunit SecY
Leaf404|188	WP_056026801.1	cds182	OG0000956	K02876	RP-L15; large subunit ribosomal protein L15
Leaf404|189	WP_056026804.1	cds184	OG0000957	K02988	RP-S5; small subunit ribosomal protein S5
Leaf404|190	WP_056026807.1	cds185	OG0000958	K02881	RP-L18; large subunit ribosomal protein L18
Leaf404|191	WP_056026810.1	cds186	OG0001091	K02933	RP-L6; large subunit ribosomal protein L6
Leaf404|192	WP_056026813.1	cds187	OG0001092	K02994	RP-S8; small subunit ribosomal protein S8
Leaf404|193	WP_056026816.1	cds189	OG0001094	K02931	RP-L5; large subunit ribosomal protein L5
Leaf404|194	WP_056026819.1	cds190	OG0001095	K02895	RP-L24; large subunit ribosomal protein L24
Leaf404|195	WP_056026822.1	cds193	OG0000959	K02904	RP-L29; large subunit ribosomal protein L29
Leaf404|196	WP_056026825.1	cds194	OG0000960	K02878	RP-L16; large subunit ribosomal protein L16
Leaf404|197	WP_056026828.1	cds195	OG0001098	K02982	RP-S3; small subunit ribosomal protein S3
Leaf404|198	WP_056026831.1	cds196	OG0000961	K02890	RP-L22; large subunit ribosomal protein L22
Leaf404|199	WP_056026834.1	cds198	OG0001100	K02886	RP-L2; large subunit ribosomal protein L2
Leaf404|200	WP_056026836.1	cds199	OG0000962	K02892	RP-L23; large subunit ribosomal protein L23
Leaf404|201	WP_056026839.1	cds200	OG0001101	K02926	RP-L4; large subunit ribosomal protein L4
Leaf404|202	WP_056026842.1	cds201	OG0001102	K02906	RP-L3; large subunit ribosomal protein L3
Leaf404|203	WP_056026845.1	cds202			
Leaf404|204	WP_056026848.1	cds203			
Leaf404|205	WP_056026851.1	cds204	OG0000769	K00067	rfbD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
Leaf404|206	WP_056026854.1	cds205	OG0000480	K07107	ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-]
Leaf404|207	WP_056026857.1	cds206	OG0002577	K06142	hlpA; outer membrane protein
Leaf404|208	WP_056026860.1	cds207	OG0002577	K06142	hlpA; outer membrane protein
Leaf404|209	WP_056026863.1	cds208	OG0001143	K07277	SAM50; outer membrane protein insertion porin family
Leaf404|210	WP_056026866.1	cds209	OG0000651	K00806	uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]
Leaf404|211	WP_056026869.1	cds210	OG0005606		
Leaf404|212	WP_056026873.1	cds211	OG0000251	K16692	etk-wzc; tyrosine-protein kinase Etk/Wzc [EC:2.7.10.-]
Leaf404|213	WP_056026876.1	cds212	OG0000327	K01991	wza; polysaccharide biosynthesis/export protein
Leaf404|214	WP_056026879.1	cds213	OG0000596	K13007	wbpL; Fuc2NAc and GlcNAc transferase [EC:2.4.1.-]
Leaf404|215	WP_056026881.1	cds214	OG0000032	K11936	pgaC; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]
Leaf404|216	WP_056026884.1	cds215	OG0005581		
Leaf404|217	WP_056026887.1	cds216			
Leaf404|218	WP_056026890.1	cds218	OG0001040	K03168	topA; DNA topoisomerase I [EC:5.99.1.2]
Leaf404|219	WP_056026893.1	cds219			
Leaf404|220	WP_056026896.1	cds220			
Leaf404|221	WP_056026899.1	cds221			
Leaf404|222	WP_056026902.1	cds222			
Leaf404|223	WP_056026905.1	cds223	OG0002025		
Leaf404|224	WP_056026908.1	cds224	OG0007503		
Leaf404|225	WP_056026911.1	cds225	OG0007504	K00648	fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
Leaf404|226	WP_056026914.1	cds226	OG0001836		
Leaf404|227	WP_056026916.1	cds227	OG0001836		
Leaf404|228	WP_056026920.1	cds228	OG0007505		
Leaf404|229	WP_056026923.1	cds229	OG0007506		
Leaf404|230	WP_056026926.1	cds230			
Leaf404|231	WP_056026929.1	cds231	OG0001901	K19158	yoeB; toxin YoeB [EC:3.1.-.-]
Leaf404|232	WP_056026932.1	cds232	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
Leaf404|233	WP_056026934.1	cds233	OG0001410	K01992	ABC-2.P; ABC-2 type transport system permease protein
Leaf404|234	WP_056026939.1	cds235	OG0002223	K07107	ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-]
Leaf404|235	WP_056026942.1	cds236	OG0007507	K00647	fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]
Leaf404|236	WP_056026945.1	cds237	OG0007508		
Leaf404|237	WP_056026948.1	cds238	OG0002472	K02078	acpP; acyl carrier protein
Leaf404|238	WP_056026951.1	cds239	OG0002471	K00647	fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]
Leaf404|239	WP_056026954.1	cds240	OG0007509		
Leaf404|240	WP_056026957.1	cds241	OG0000201	K22278	pdgA; peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]
Leaf404|241	WP_056026960.1	cds242	OG0001504	K03634	lolA; outer membrane lipoprotein carrier protein
Leaf404|242	WP_056026962.1	cds243	OG0007510		
Leaf404|243	WP_056026965.1	cds245	OG0005493		
Leaf404|244	WP_056026968.1	cds246	OG0000511	K00721	DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83]
Leaf404|245	WP_056026971.1	cds247	OG0004767	K19200	IAL; isopenicillin-N N-acyltransferase like protein
Leaf404|246	WP_056026974.1	cds248	OG0002075	K09516	RETSAT; all-trans-retinol 13,14-reductase [EC:1.3.99.23]
Leaf404|247	WP_056026977.1	cds249	OG0002224		
Leaf404|248	WP_056026980.1	cds251	OG0001674	K00647	fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]
Leaf404|249	WP_056026983.1	cds252	OG0000001	K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
Leaf404|250	WP_056026986.1	cds253	OG0007511	K01745	hutH; histidine ammonia-lyase [EC:4.3.1.3]
Leaf404|251	WP_056026989.1	cds254	OG0002222	K21401	menJ; menaquinone-9 beta-reductase [EC:1.3.99.38]
Leaf404|252	WP_056026992.1	cds255	OG0007512		
Leaf404|253	WP_056026995.1	cds256	OG0001346	K01912	paaK; phenylacetate-CoA ligase [EC:6.2.1.30]
Leaf404|254	WP_056027004.1	cds258	OG0000658	K01870	IARS; isoleucyl-tRNA synthetase [EC:6.1.1.5]
Leaf404|255	WP_056027007.1	cds259	OG0000341	K06204	dksA; DnaK suppressor protein
Leaf404|256	WP_056027009.1	cds260			
Leaf404|257	WP_056027012.1	cds261	OG0004670		
Leaf404|258	WP_056027015.1	cds262	OG0000534	K03101	lspA; signal peptidase II [EC:3.4.23.36]
Leaf404|259	WP_056027018.1	cds264			
Leaf404|260	WP_056027021.1	cds265	OG0000736	K01867	WARS; tryptophanyl-tRNA synthetase [EC:6.1.1.2]
Leaf404|261	WP_056027024.1	cds266	OG0000464	K20862	yigB; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]
Leaf404|262	WP_056027027.1	cds267	OG0000019	K03088	rpoE; RNA polymerase sigma-70 factor, ECF subfamily
Leaf404|263	WP_056027033.1	cds269	OG0000827	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]
Leaf404|264	WP_056027036.1	cds270	OG0000004	K04761	oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator
Leaf404|265	WP_056027039.1	cds271	OG0000233	K03781	katE; catalase [EC:1.11.1.6]
Leaf404|266	WP_056027042.1	cds272	OG0000034	K01692	paaF; enoyl-CoA hydratase [EC:4.2.1.17]
Leaf404|267	WP_056027045.1	cds273	OG0000507	K11991	tadA; tRNA(adenine34) deaminase [EC:3.5.4.33]
Leaf404|268	WP_056027048.1	cds274	OG0000148	K03733	xerC; integrase/recombinase XerC
Leaf404|269	WP_056027051.1	cds275	OG0000406		
Leaf404|270	WP_056027054.1	cds276			
Leaf404|271	WP_056027057.1	cds278	OG0000063	K01467	ampC; beta-lactamase class C [EC:3.5.2.6]
Leaf404|272	WP_056027060.1	cds279			
Leaf404|273	WP_056027063.1	cds280	OG0000384		
Leaf404|274	WP_056027066.1	cds281			
Leaf404|275	WP_056027069.1	cds282			
Leaf404|276	WP_056027072.1	cds283			
Leaf404|277	WP_056027075.1	cds284			
Leaf404|278	WP_056027078.1	cds286	OG0000200	K10806	yciA; acyl-CoA thioesterase YciA [EC:3.1.2.-]
Leaf404|279	WP_056027082.1	cds288	OG0005578	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
Leaf404|280	WP_056027085.1	cds290			
Leaf404|281	WP_056027088.1	cds291	OG0001769	K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
Leaf404|282	WP_056027092.1	cds293	OG0007513		
Leaf404|283	WP_056027095.1	cds294	OG0004439		
Leaf404|284	WP_056027097.1	cds295	OG0000141	K00382	DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]
Leaf404|285	WP_056027100.1	cds296	OG0000781		
Leaf404|286	WP_056027105.1	cds298	OG0001725	K06179	rluC; 23S rRNA pseudouridine955/2504/2580 synthase [EC:5.4.99.24]
Leaf404|287	WP_056027108.1	cds299			
Leaf404|288	WP_056027111.1	cds300	OG0001211	K00606	panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
Leaf404|289	WP_056027114.1	cds301	OG0000077	K01420	fnr; CRP/FNR family transcriptional regulator, anaerobic regulatory protein
Leaf404|290	WP_056027117.1	cds302	OG0005514	K17686	copA; Cu+-exporting ATPase [EC:3.6.3.54]
Leaf404|291	WP_056027120.1	cds303	OG0001924		
Leaf404|292	WP_056027124.1	cds304	OG0000997	K00404	ccoN; cytochrome c oxidase cbb3-type subunit I [EC:1.9.3.1]
Leaf404|293	WP_056027127.1	cds305			
Leaf404|294	WP_056027130.1	cds306	OG0000694	K00406	ccoP; cytochrome c oxidase cbb3-type subunit III
Leaf404|295	WP_056027132.1	cds307	OG0001136		
Leaf404|296	WP_056027134.1	cds309	OG0002114	K09792	uncharacterized protein
Leaf404|297	WP_056027138.1	cds310	OG0000203	K09458	fabF; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]
Leaf404|298	WP_056027140.1	cds311	OG0000249	K02614	paaI; acyl-CoA thioesterase [EC:3.1.2.-]
Leaf404|299	WP_056027143.1	cds312	OG0000069	K16137	nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
Leaf404|300	WP_056027148.1	cds315			
Leaf404|301	WP_056027151.1	cds316	OG0007514		
Leaf404|302	WP_056027154.1	cds317	OG0000003	K07657	phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB
Leaf404|303	WP_056027157.1	cds318	OG0000010	K07636	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
Leaf404|304	WP_056027160.1	cds319	OG0000522		
Leaf404|305	WP_056027163.1	cds320	OG0005457		
Leaf404|306	WP_056027166.1	cds321	OG0000731	K01354	ptrB; oligopeptidase B [EC:3.4.21.83]
Leaf404|307	WP_056027169.1	cds322	OG0005487	K01719	hemD; uroporphyrinogen-III synthase [EC:4.2.1.75]
