	WP_id	cds	OG	KO id	KO description
Leaf177|34	WP_031361578.1	cds1628	OG0000961	K02890	RP-L22; large subunit ribosomal protein L22
Leaf177|35	WP_031361579.1	cds1627	OG0001099	K02965	RP-S19; small subunit ribosomal protein S19
Leaf177|36	WP_031361581.1	cds1625	OG0000962	K02892	RP-L23; large subunit ribosomal protein L23
Leaf177|37	WP_031361587.1	cds1618	OG0001104	K02992	RP-S7; small subunit ribosomal protein S7
Leaf177|38	WP_031362199.1	cds1723	OG0002002	K03599	sspA; stringent starvation protein A
Leaf177|39	WP_031362534.1	cds4467	OG0000657	K00240	sdhB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]
Leaf177|40	WP_031362548.1	cds362	OG0000003	K07657	phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB
Leaf177|41	WP_031362728.1	cds1545	OG0001112	K04078	groES; chaperonin GroES
Leaf177|42	WP_031363443.1	cds1271	OG0000019	K03088	rpoE; RNA polymerase sigma-70 factor, ECF subfamily
Leaf177|43	WP_031363615.1	cds4323			
Leaf177|44	WP_031364354.1	cds2792	OG0000842	K04752	glnK; nitrogen regulatory protein P-II 2
Leaf177|45	WP_031364544.1	cds3060	OG0000074	K03530	hupB; DNA-binding protein HU-beta
Leaf177|46	WP_035497884.1	cds140	OG0000042	K03704	cspA; cold shock protein (beta-ribbon, CspA family)
Leaf177|47	WP_035933066.1	cds1635	OG0001094	K02931	RP-L5; large subunit ribosomal protein L5
Leaf177|48	WP_035935550.1	cds1617	OG0001105	K02950	RP-S12; small subunit ribosomal protein S12
Leaf177|49	WP_047844600.1	cds1145	OG0001440	K01653	E2.2.1.6S; acetolactate synthase I/III small subunit [EC:2.2.1.6]
Leaf177|50	WP_047844853.1	cds1824	OG0001042	K02945	RP-S1; small subunit ribosomal protein S1
Leaf177|51	WP_047845158.1	cds1520	OG0001050	K02968	RP-S20; small subunit ribosomal protein S20
Leaf177|52	WP_047845177.1	cds1496	OG0000027	K03719	lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
Leaf177|53	WP_047845194.1	cds1475	OG0002053	K03640	pal; peptidoglycan-associated lipoprotein
Leaf177|54	WP_047845328.1	cds1609	OG0000966	K02601	nusG; transcriptional antiterminator NusG
Leaf177|55	WP_047845339.1	cds1631	OG0000959	K02904	RP-L29; large subunit ribosomal protein L29
Leaf177|56	WP_047845347.1	cds1645	OG0001088	K02952	RP-S13; small subunit ribosomal protein S13
Leaf177|57	WP_047845349.1	cds1648	OG0000955	K03040	rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
Leaf177|58	WP_047845394.1	cds1701	OG0000484	K05527	bolA; BolA family transcriptional regulator, general stress-responsive regulator
Leaf177|59	WP_047846007.1	cds5716	OG0007115	K01725	cynS; cyanate lyase [EC:4.2.1.104]
Leaf177|60	WP_047895197.1	cds2070	OG0001028	K02110	ATPF0C; F-type H+-transporting ATPase subunit c
Leaf177|61	WP_047895277.1	cds3019			
Leaf177|62	WP_047895389.1	cds2936			
Leaf177|63	WP_047896193.1	cds340	OG0000953	K00794	ribH; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]
Leaf177|64	WP_047896463.1	cds553	OG0000276	K13628	iscA; iron-sulfur cluster assembly protein
Leaf177|65	WP_050381450.1	cds1121	OG0001261	K00338	nuoI; NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]
Leaf177|66	WP_050382773.1	cds5361	OG0000801	K02518	infA; translation initiation factor IF-1
Leaf177|67	WP_056351315.1	cds1	OG0003651		
Leaf177|68	WP_056351318.1	cds2	OG0002092		
Leaf177|69	WP_056351319.1	cds3	OG0001385	K01756	purB; adenylosuccinate lyase [EC:4.3.2.2]
Leaf177|70	WP_056351322.1	cds4			
Leaf177|71	WP_056351324.1	cds5			
Leaf177|72	WP_056351326.1	cds6	OG0001521	K00992	murU; N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]
Leaf177|73	WP_056351329.1	cds7	OG0001964	K07102	amgK; N-acetylmuramate 1-kinase [EC:2.7.1.221]
Leaf177|74	WP_056351334.1	cds8	OG0001781	K04744	lptD; LPS-assembly protein
Leaf177|75	WP_056351337.1	cds9	OG0000093	K03769	ppiC; peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]
Leaf177|76	WP_056351340.1	cds10	OG0000544	K00097	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
Leaf177|77	WP_056351343.1	cds11	OG0000821	K02528	ksgA; 16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]
Leaf177|78	WP_056351349.1	cds14	OG0001132	K15268	eamA; O-acetylserine/cysteine efflux transporter
Leaf177|79	WP_056351352.1	cds15	OG0001397	K01759	GLO1; lactoylglutathione lyase [EC:4.4.1.5]
Leaf177|80	WP_056351354.1	cds17	OG0000252	K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
Leaf177|81	WP_056351357.1	cds19	OG0001663	K01879	glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14]
Leaf177|82	WP_056351360.1	cds21	OG0000391	K03827	yjaB; putative acetyltransferase [EC:2.3.1.-]
Leaf177|83	WP_056351363.1	cds22	OG0001705	K03820	lnt; apolipoprotein N-acyltransferase [EC:2.3.1.269]
Leaf177|84	WP_056351368.1	cds23	OG0000137	K06189	corC; magnesium and cobalt transporter
Leaf177|85	WP_056351371.1	cds24	OG0002648	K07232	CHAC; glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7]
Leaf177|86	WP_056351374.1	cds25	OG0000949	K07042	ybeY; probable rRNA maturation factor
Leaf177|87	WP_056351377.1	cds26	OG0000759	K06217	phoH; phosphate starvation-inducible protein PhoH and related proteins
Leaf177|88	WP_056351380.1	cds27	OG0000563	K06168	miaB; tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]
Leaf177|89	WP_056351381.1	cds28	OG0000006		
Leaf177|90	WP_056351383.1	cds29	OG0000383	K08234	yaeR; glyoxylase I family protein
Leaf177|91	WP_056351386.1	cds30	OG0000158	K19577	ydhP; MFS transporter, DHA1 family, inner membrane transport protein
Leaf177|92	WP_056351389.1	cds31			
Leaf177|93	WP_056351392.1	cds32	OG0000173	K14652	ribBA; 3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]
Leaf177|94	WP_056351395.1	cds34	OG0000607	K00111	glpA; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
Leaf177|95	WP_056351399.1	cds35			
Leaf177|96	WP_056351402.1	cds37	OG0000081	K02444	glpR; DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor
Leaf177|97	WP_056351404.1	cds39	OG0005660		
Leaf177|98	WP_056351407.1	cds40	OG0000051	K05592	deaD; ATP-dependent RNA helicase DeaD [EC:3.6.4.13]
Leaf177|99	WP_056351410.1	cds41	OG0001021	K11068	hlyIII; hemolysin III
Leaf177|100	WP_056351413.1	cds42	OG0000650		
Leaf177|101	WP_056351415.1	cds43	OG0004728		
Leaf177|102	WP_056351417.1	cds44	OG0002904	K07245	pcoD; copper resistance protein D
Leaf177|103	WP_056351419.1	cds45			
Leaf177|104	WP_056351421.1	cds46	OG0000098	K01684	dgoD; galactonate dehydratase [EC:4.2.1.6]
Leaf177|105	WP_056351425.1	cds47	OG0001332	K19776	dgoR; GntR family transcriptional regulator, galactonate operon transcriptional repressor
Leaf177|106	WP_056351429.1	cds48	OG0004571		
Leaf177|107	WP_056351432.1	cds49	OG0000012	K01055	pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]
Leaf177|108	WP_056351434.1	cds50	OG0000017	K03762	proP; MFS transporter, MHS family, proline/betaine transporter
Leaf177|109	WP_056351437.1	cds53	OG0000742	K03553	recA; recombination protein RecA
Leaf177|110	WP_056351440.1	cds54	OG0000916	K03565	recX; regulatory protein
Leaf177|111	WP_056351441.1	cds55	OG0005066		
Leaf177|112	WP_056351442.1	cds56	OG0001045	K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
Leaf177|113	WP_056351443.1	cds58	OG0000289		
Leaf177|114	WP_056351444.1	cds60	OG0005283		
Leaf177|115	WP_056351447.1	cds61	OG0001057	K03637	moaC; cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]
Leaf177|116	WP_056351450.1	cds63			
Leaf177|117	WP_056351453.1	cds65	OG0003110		
Leaf177|118	WP_056351456.1	cds66	OG0001075	K02843	waaF; heptosyltransferase II [EC:2.4.-.-]
Leaf177|119	WP_056351458.1	cds67	OG0005354		
Leaf177|120	WP_056351461.1	cds69	OG0000636		
Leaf177|121	WP_056351463.1	cds70	OG0001958		
Leaf177|122	WP_056351466.1	cds71			
Leaf177|123	WP_056351469.1	cds72	OG0000826	K00927	PGK; phosphoglycerate kinase [EC:2.7.2.3]
Leaf177|124	WP_056351472.1	cds75	OG0000848	K01588	purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]
Leaf177|125	WP_056351475.1	cds76	OG0000847	K01589	purK; 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]
Leaf177|126	WP_056351478.1	cds77	OG0000278	K07566	tsaC; L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]
Leaf177|127	WP_056351481.1	cds78			
Leaf177|128	WP_056351485.1	cds81	OG0005844		
Leaf177|129	WP_056351486.1	cds83	OG0001004	K06016	pydC; beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]
Leaf177|130	WP_056351487.1	cds85	OG0000003	K07657	phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB
Leaf177|131	WP_056351488.1	cds86	OG0000010	K07636	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
Leaf177|132	WP_056351489.1	cds88	OG0004396		
Leaf177|133	WP_056351490.1	cds89	OG0002782		
Leaf177|134	WP_056351493.1	cds90			
Leaf177|135	WP_056351494.1	cds91	OG0000069	K16137	nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
Leaf177|136	WP_056351496.1	cds92	OG0000066	K03585	acrA; membrane fusion protein, multidrug efflux system
Leaf177|137	WP_056351498.1	cds93	OG0000023	K18138	acrB; multidrug efflux pump
Leaf177|138	WP_056351500.1	cds95	OG0005661	K18923	stbD; antitoxin StbD
Leaf177|139	WP_056351504.1	cds96	OG0002556	K06218	relE; mRNA interferase RelE/StbE
Leaf177|140	WP_056351507.1	cds97	OG0000447	K16345	xanP; xanthine permease XanP
Leaf177|141	WP_056351510.1	cds98	OG0002051	K01787	RENBP; N-acylglucosamine 2-epimerase [EC:5.1.3.8]
Leaf177|142	WP_056351514.1	cds99	OG0001034	K00121	frmA; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
Leaf177|143	WP_056351517.1	cds103	OG0000372	K09815	znuA; zinc transport system substrate-binding protein
Leaf177|144	WP_056351519.1	cds104			
Leaf177|145	WP_056351530.1	cds106	OG0000143	K02027	ABC.MS.S; multiple sugar transport system substrate-binding protein
Leaf177|146	WP_056351532.1	cds107	OG0003859	K10228	smoF; sorbitol/mannitol transport system permease protein
Leaf177|147	WP_056351534.1	cds108	OG0000041	K17317	gtsC; glucose/mannose transport system permease protein
Leaf177|148	WP_056351536.1	cds110	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
Leaf177|149	WP_056351539.1	cds111	OG0001151	K05311	cggR; central glycolytic genes regulator
Leaf177|150	WP_056351542.1	cds112	OG0000119	K00864	glpK; glycerol kinase [EC:2.7.1.30]
Leaf177|151	WP_056351545.1	cds113	OG0000667	K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
Leaf177|152	WP_056351548.1	cds114			
Leaf177|153	WP_056351551.1	cds116	OG0000158	K19577	ydhP; MFS transporter, DHA1 family, inner membrane transport protein
Leaf177|154	WP_056351553.1	cds118	OG0001982	K06953	uncharacterized protein
Leaf177|155	WP_056351554.1	cds119	OG0000876	K03724	lhr; ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-]
Leaf177|156	WP_056351555.1	cds120	OG0001805	K10747	LIG1; DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]
Leaf177|157	WP_056351556.1	cds121	OG0001806	K07577	putative mRNA 3-end processing factor
Leaf177|158	WP_056351558.1	cds123	OG0000006		
Leaf177|159	WP_056351561.1	cds124	OG0005662	K07085	putative transport protein
Leaf177|160	WP_056351563.1	cds125	OG0005662	K07085	putative transport protein
Leaf177|161	WP_056351566.1	cds126	OG0000227	K06221	dkgA; 2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]
Leaf177|162	WP_056351569.1	cds128	OG0000015	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein
Leaf177|163	WP_056351572.1	cds129	OG0000037	K02034	ABC.PE.P1; peptide/nickel transport system permease protein
Leaf177|164	WP_056351573.1	cds130	OG0000036	K02033	ABC.PE.P; peptide/nickel transport system permease protein
Leaf177|165	WP_056351574.1	cds131	OG0000018	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein
Leaf177|166	WP_056351577.1	cds132	OG0006875		
Leaf177|167	WP_056351580.1	cds135			
Leaf177|168	WP_056351582.1	cds136	OG0000112	K06178	rluB; 23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]
Leaf177|169	WP_056351583.1	cds137	OG0002139	K00031	IDH1; isocitrate dehydrogenase [EC:1.1.1.42]
Leaf177|170	WP_056351586.1	cds138			
Leaf177|171	WP_056351587.1	cds139	OG0005297		
Leaf177|172	WP_056351588.1	cds142	OG0001764	K03694	clpA; ATP-dependent Clp protease ATP-binding subunit ClpA
Leaf177|173	WP_056351591.1	cds143	OG0000029	K16235	mmuP; S-methylmethionine transporter
Leaf177|174	WP_056351596.1	cds146	OG0000045	K10441	rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]
Leaf177|175	WP_056351598.1	cds147	OG0000084	K10440	rbsC; ribose transport system permease protein
Leaf177|176	WP_056351602.1	cds148	OG0000058	K00874	kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]
Leaf177|177	WP_056351605.1	cds149	OG0005663	K16371	gatZ-kbaZ; D-tagatose-1,6-bisphosphate aldolase subunit GatZ/KbaZ
Leaf177|178	WP_056351608.1	cds150	OG0001281	K01520	dut; dUTP pyrophosphatase [EC:3.6.1.23]
Leaf177|179	WP_056351611.1	cds151	OG0000343		
Leaf177|180	WP_056351615.1	cds153	OG0000534	K03101	lspA; signal peptidase II [EC:3.4.23.36]
Leaf177|181	WP_056351617.1	cds154	OG0000658	K01870	IARS; isoleucyl-tRNA synthetase [EC:6.1.1.5]
Leaf177|182	WP_056351620.1	cds155	OG0000735	K11753	ribF; riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]
Leaf177|183	WP_056351623.1	cds156	OG0000785	K11175	purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]
Leaf177|184	WP_056351625.1	cds157	OG0000587	K03500	rsmB; 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
Leaf177|185	WP_056351628.1	cds158	OG0001857	K00507	SCD; stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]
Leaf177|186	WP_056351631.1	cds159	OG0001449	K03517	nadA; quinolinate synthase [EC:2.5.1.72]
Leaf177|187	WP_056351635.1	cds160	OG0000898	K00767	nadC; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]
Leaf177|188	WP_056351637.1	cds161			
Leaf177|189	WP_056351642.1	cds163	OG0000362	K10016	hisQ; histidine transport system permease protein
Leaf177|190	WP_056351645.1	cds164	OG0000486	K10023	aotM; arginine/ornithine transport system permease protein
Leaf177|191	WP_056351648.1	cds165	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
Leaf177|192	WP_056351651.1	cds167	OG0001071	K01712	hutU; urocanate hydratase [EC:4.2.1.49]
Leaf177|193	WP_056351654.1	cds168	OG0001570	K09975	uncharacterized protein
Leaf177|194	WP_056351657.1	cds169	OG0001072	K01468	hutI; imidazolonepropionase [EC:3.5.2.7]
Leaf177|195	WP_056351660.1	cds170	OG0001835	K05603	hutF; formimidoylglutamate deiminase [EC:3.5.3.13]
Leaf177|196	WP_056351663.1	cds171	OG0002022	K01458	hutG; N-formylglutamate deformylase [EC:3.5.1.68]
Leaf177|197	WP_056351666.1	cds172	OG0000215	K00278	nadB; L-aspartate oxidase [EC:1.4.3.16]
Leaf177|198	WP_056351669.1	cds175	OG0000427	K03630	radC; DNA repair protein RadC
Leaf177|199	WP_056351670.1	cds176	OG0000554	K03775	slyD; FKBP-type peptidyl-prolyl cis-trans isomerase SlyD [EC:5.2.1.8]
Leaf177|200	WP_056351674.1	cds177	OG0001051	K03527	ispH; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]
Leaf177|201	WP_056351677.1	cds178	OG0000214	K01999	livK; branched-chain amino acid transport system substrate-binding protein
Leaf177|202	WP_056351681.1	cds179	OG0000592	K01997	livH; branched-chain amino acid transport system permease protein
Leaf177|203	WP_056351684.1	cds180	OG0000652	K01998	livM; branched-chain amino acid transport system permease protein
Leaf177|204	WP_056351686.1	cds181	OG0000207	K01995	livG; branched-chain amino acid transport system ATP-binding protein
Leaf177|205	WP_056351690.1	cds183	OG0000109		
Leaf177|206	WP_056351692.1	cds184	OG0000162	K00821	argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]
Leaf177|207	WP_056351695.1	cds185	OG0001973	K00523	ascD; CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]
Leaf177|208	WP_056351702.1	cds188	OG0000112	K06178	rluB; 23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]
Leaf177|209	WP_056351706.1	cds189	OG0001198	K00156	poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
Leaf177|210	WP_056351710.1	cds190			
Leaf177|211	WP_056351713.1	cds192	OG0000006		
Leaf177|212	WP_056351716.1	cds193	OG0001462	K13955	yogA; zinc-binding alcohol dehydrogenase/oxidoreductase
Leaf177|213	WP_056351720.1	cds194			
Leaf177|214	WP_056351725.1	cds195	OG0003555	K01999	livK; branched-chain amino acid transport system substrate-binding protein
Leaf177|215	WP_056351727.1	cds196	OG0001670	K13634	cysB; LysR family transcriptional regulator, cys regulon transcriptional activator
Leaf177|216	WP_056351730.1	cds197	OG0001199	K00381	cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]
Leaf177|217	WP_056351733.1	cds198	OG0002462		
Leaf177|218	WP_056351735.1	cds199	OG0001133	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
Leaf177|219	WP_056351738.1	cds200	OG0001191	K00957	cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
Leaf177|220	WP_056351741.1	cds201	OG0001192	K00955	cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]
Leaf177|221	WP_056351744.1	cds202	OG0000221	K02303	cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
Leaf177|222	WP_056351752.1	cds204			
Leaf177|223	WP_056351755.1	cds205	OG0003951	K03795	cbiX; sirohydrochlorin cobaltochelatase [EC:4.99.1.3]
Leaf177|224	WP_056351757.1	cds206	OG0000909	K11720	lptG; lipopolysaccharide export system permease protein
Leaf177|225	WP_056351760.1	cds207	OG0001682	K07091	lptF; lipopolysaccharide export system permease protein
Leaf177|226	WP_056351763.1	cds208	OG0000605	K01255	CARP; leucyl aminopeptidase [EC:3.4.11.1]
Leaf177|227	WP_056351766.1	cds209	OG0002014	K02339	holC; DNA polymerase III subunit chi [EC:2.7.7.7]
Leaf177|228	WP_056351768.1	cds212	OG0000644	K01687	ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]
Leaf177|229	WP_056351771.1	cds214	OG0000583	K13292	lgt; phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]
Leaf177|230	WP_056351775.1	cds215	OG0002692		
Leaf177|231	WP_056351778.1	cds216	OG0001972		
Leaf177|232	WP_056351781.1	cds217	OG0001660	K09888	zapA; cell division protein ZapA
Leaf177|233	WP_056351784.1	cds218			
Leaf177|234	WP_056351786.1	cds219	OG0000316	K16092	btuB; vitamin B12 transporter
Leaf177|235	WP_056351789.1	cds220	OG0000073	K02015	ABC.FEV.P; iron complex transport system permease protein
Leaf177|236	WP_056351797.1	cds223	OG0001622	K02233	E2.7.8.26; adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]
Leaf177|237	WP_056351804.1	cds224	OG0000123	K02226	cobC; alpha-ribazole phosphatase [EC:3.1.3.73]
Leaf177|238	WP_056351807.1	cds225	OG0000255	K02016	ABC.FEV.S; iron complex transport system substrate-binding protein
Leaf177|239	WP_056351810.1	cds226	OG0002346	K02225	cobC1; cobalamin biosynthetic protein CobC
Leaf177|240	WP_056351813.1	cds228	OG0001745	K02231	cobP; adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]
Leaf177|241	WP_056351817.1	cds229	OG0001744	K02232	cobQ; adenosylcobyric acid synthase [EC:6.3.5.10]
Leaf177|242	WP_056351821.1	cds230	OG0001188	K19222	menI; 1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]
Leaf177|243	WP_056351823.1	cds231	OG0001727	K03496	parA; chromosome partitioning protein
Leaf177|244	WP_056351827.1	cds232	OG0001078	K01918	panC; pantoate--beta-alanine ligase [EC:6.3.2.1]
Leaf177|245	WP_056351831.1	cds234			
Leaf177|246	WP_056351834.1	cds236	OG0001761	K09800	tamB; translocation and assembly module TamB
Leaf177|247	WP_056351839.1	cds237	OG0000914	K01874	MARS; methionyl-tRNA synthetase [EC:6.1.1.10]
Leaf177|248	WP_056351842.1	cds238	OG0000072	K03286	TC.OOP; OmpA-OmpF porin, OOP family
Leaf177|249	WP_056351844.1	cds239	OG0000915	K03593	mrp; ATP-binding protein involved in chromosome partitioning
Leaf177|250	WP_056351848.1	cds241	OG0001291	K01494	dcd; dCTP deaminase [EC:3.5.4.13]
Leaf177|251	WP_056351850.1	cds242	OG0001197	K01584	adiA; arginine decarboxylase [EC:4.1.1.19]
Leaf177|252	WP_056351853.1	cds243	OG0000637	K08994	yneE; ion channel-forming bestrophin family protein
Leaf177|253	WP_056351857.1	cds244	OG0000585	K01755	argH; argininosuccinate lyase [EC:4.3.2.1]
Leaf177|254	WP_056351859.1	cds245	OG0000824		
Leaf177|255	WP_056351862.1	cds246	OG0000019	K03088	rpoE; RNA polymerase sigma-70 factor, ECF subfamily
Leaf177|256	WP_056351864.1	cds248	OG0000526		
Leaf177|257	WP_056351867.1	cds249	OG0001287	K01595	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]
Leaf177|258	WP_056351870.1	cds250	OG0000841	K01749	hemC; hydroxymethylbilane synthase [EC:2.5.1.61]
Leaf177|259	WP_056351873.1	cds251	OG0001661	K01719	hemD; uroporphyrinogen-III synthase [EC:4.2.1.75]
Leaf177|260	WP_056351879.1	cds253	OG0000314	K12340	tolC; outer membrane protein
Leaf177|261	WP_056351882.1	cds254	OG0000157	K02439	glpE; thiosulfate sulfurtransferase [EC:2.8.1.1]
Leaf177|262	WP_056351885.1	cds255	OG0001035	K00573	E2.1.1.77; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]
Leaf177|263	WP_056351888.1	cds257	OG0001629		
Leaf177|264	WP_056351891.1	cds258	OG0000772	K00384	trxB; thioredoxin reductase (NADPH) [EC:1.8.1.9]
Leaf177|265	WP_056351893.1	cds259	OG0000389	K03466	ftsK; DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family
