KO	category-1	category-2	category-3	category-4	N of genes
K00116	Metabolism	Pyruvate metabolism	Pyruvate metabolism	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]	1
K00133	Metabolism	Cysteine and methionine metabolism	Cysteine and methionine metabolism	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	1
K00133	Metabolism	Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	1
K00133	Metabolism	Lysine biosynthesis	Lysine biosynthesis	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	1
K00133	Metabolism	Monobactam biosynthesis	Monobactam biosynthesis	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	1
K00134	Metabolism	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	2
K00134	Metabolism	Carbon fixation in photosynthetic organisms	Carbon fixation in photosynthetic organisms	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	2
K00134	Environmental Information Processing	HIF-1 signaling pathway	HIF-1 signaling pathway	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	2
K00134	Human Diseases	Alzheimer disease	Alzheimer disease	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	2
K00134	Brite Hierarchies	Membrane trafficking [BR:ko04131]	Membrane trafficking [BR:ko04131]	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	2
K00134	Brite Hierarchies	Exosome [BR:ko04147]	Exosome [BR:ko04147]	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	2
K00135	Metabolism	Butanoate metabolism	Butanoate metabolism	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	7
K00135	Metabolism	Alanine, aspartate and glutamate metabolism	Alanine, aspartate and glutamate metabolism	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	7
K00135	Metabolism	Lysine degradation	Lysine degradation	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	7
K00135	Metabolism	Tyrosine metabolism	Tyrosine metabolism	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	7
K00135	Metabolism	Nicotinate and nicotinamide metabolism	Nicotinate and nicotinamide metabolism	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	7
K00145	Metabolism	Arginine biosynthesis	Arginine biosynthesis	argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	1
K00154	Not Included in Pathway or Brite	Enzymes with EC numbers	Enzymes with EC numbers	E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]	1
K00161	Metabolism	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	2
K00161	Metabolism	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	2
K00161	Metabolism	Pyruvate metabolism	Pyruvate metabolism	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	2
K00161	Environmental Information Processing	HIF-1 signaling pathway	HIF-1 signaling pathway	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	2
K00161	Organismal Systems	Glucagon signaling pathway	Glucagon signaling pathway	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	2
K00161	Human Diseases	Central carbon metabolism in cancer	Central carbon metabolism in cancer	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	2
K00162	Metabolism	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	2
K00162	Metabolism	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	2
K00162	Metabolism	Pyruvate metabolism	Pyruvate metabolism	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	2
K00162	Environmental Information Processing	HIF-1 signaling pathway	HIF-1 signaling pathway	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	2
K00162	Organismal Systems	Glucagon signaling pathway	Glucagon signaling pathway	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	2
K00162	Human Diseases	Central carbon metabolism in cancer	Central carbon metabolism in cancer	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	2
K00164	Metabolism	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	1
K00164	Metabolism	Lysine degradation	Lysine degradation	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	1
K00164	Metabolism	Tryptophan metabolism	Tryptophan metabolism	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	1
K00174	Metabolism	Butanoate metabolism	Butanoate metabolism	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	1
K00174	Metabolism	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	1
K00174	Metabolism	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	1
K00174	Metabolism	Pyruvate metabolism	Pyruvate metabolism	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	1
K00174	Metabolism	Carbon fixation pathways in prokaryotes	Carbon fixation pathways in prokaryotes	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	1
K00175	Metabolism	Butanoate metabolism	Butanoate metabolism	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	1
K00175	Metabolism	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	1
K00175	Metabolism	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	1
K00175	Metabolism	Pyruvate metabolism	Pyruvate metabolism	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	1
K00175	Metabolism	Carbon fixation pathways in prokaryotes	Carbon fixation pathways in prokaryotes	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	1
K00208	Metabolism	Fatty acid biosynthesis	Fatty acid biosynthesis	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	1
K00208	Metabolism	Biotin metabolism	Biotin metabolism	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	1
K00208	Metabolism	Prodigiosin biosynthesis	Prodigiosin biosynthesis	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	1
K00208	Brite Hierarchies	Lipid biosynthesis proteins [BR:ko01004]	Lipid biosynthesis proteins [BR:ko01004]	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	1
K00215	Metabolism	Lysine biosynthesis	Lysine biosynthesis	dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	1
K00215	Metabolism	Monobactam biosynthesis	Monobactam biosynthesis	dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	1
K00231	Metabolism	Porphyrin and chlorophyll metabolism	Porphyrin and chlorophyll metabolism	PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]	1
K00240	Metabolism	Butanoate metabolism	Butanoate metabolism	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	1
K00240	Metabolism	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	1
K00240	Metabolism	Carbon fixation pathways in prokaryotes	Carbon fixation pathways in prokaryotes	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	1
K00240	Metabolism	Oxidative phosphorylation	Oxidative phosphorylation	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	1
K00241	Metabolism	Butanoate metabolism	Butanoate metabolism	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit	1
K00241	Metabolism	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit	1
K00241	Metabolism	Carbon fixation pathways in prokaryotes	Carbon fixation pathways in prokaryotes	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit	1
K00241	Metabolism	Oxidative phosphorylation	Oxidative phosphorylation	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit	1
K00243	Not Included in Pathway or Brite	Function unknown	Function unknown	K00243; uncharacterized protein	1
K00244	Metabolism	Butanoate metabolism	Butanoate metabolism	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]	1
K00244	Metabolism	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]	1
K00244	Metabolism	Pyruvate metabolism	Pyruvate metabolism	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]	1
K00244	Metabolism	Carbon fixation pathways in prokaryotes	Carbon fixation pathways in prokaryotes	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]	1
K00244	Metabolism	Oxidative phosphorylation	Oxidative phosphorylation	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]	1
K00244	Environmental Information Processing	Two-component system	Two-component system	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]	1
K00253	Metabolism	Valine, leucine and isoleucine degradation	Valine, leucine and isoleucine degradation	IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]	1
K00262	Metabolism	Nitrogen metabolism	Nitrogen metabolism	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	1
K00262	Metabolism	Alanine, aspartate and glutamate metabolism	Alanine, aspartate and glutamate metabolism	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	1
K00262	Metabolism	Arginine biosynthesis	Arginine biosynthesis	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	1
K00263	Metabolism	Valine, leucine and isoleucine biosynthesis	Valine, leucine and isoleucine biosynthesis	E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9]	2
K00263	Metabolism	Valine, leucine and isoleucine degradation	Valine, leucine and isoleucine degradation	E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9]	2
K00265	Metabolism	Nitrogen metabolism	Nitrogen metabolism	gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]	1
K00265	Metabolism	Alanine, aspartate and glutamate metabolism	Alanine, aspartate and glutamate metabolism	gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]	1
K00265	Brite Hierarchies	Peptidases [BR:ko01002]	Peptidases [BR:ko01002]	gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]	1
K00266	Metabolism	Nitrogen metabolism	Nitrogen metabolism	gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]	1
K00266	Metabolism	Alanine, aspartate and glutamate metabolism	Alanine, aspartate and glutamate metabolism	gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]	1
K00278	Metabolism	Alanine, aspartate and glutamate metabolism	Alanine, aspartate and glutamate metabolism	nadB; L-aspartate oxidase [EC:1.4.3.16]	1
K00278	Metabolism	Nicotinate and nicotinamide metabolism	Nicotinate and nicotinamide metabolism	nadB; L-aspartate oxidase [EC:1.4.3.16]	1
K00281	Metabolism	Glyoxylate and dicarboxylate metabolism	Glyoxylate and dicarboxylate metabolism	GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]	2
K00281	Metabolism	Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism	GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]	2
K00285	Metabolism	Phenylalanine metabolism	Phenylalanine metabolism	dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]	2
K00286	Metabolism	Arginine and proline metabolism	Arginine and proline metabolism	proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]	1
K00318	Metabolism	Arginine and proline metabolism	Arginine and proline metabolism	PRODH; proline dehydrogenase [EC:1.5.-.-]	2
K00324	Metabolism	Nicotinate and nicotinamide metabolism	Nicotinate and nicotinamide metabolism	pntA; H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]	1
K00329	Metabolism	Oxidative phosphorylation	Oxidative phosphorylation	E7.1.1.2; NADH dehydrogenase [EC:7.1.1.2]	1
K00344	Not Included in Pathway or Brite	Enzymes with EC numbers	Enzymes with EC numbers	qor, CRYZ; NADPH2:quinone reductase [EC:1.6.5.5]	3
K00354	Not Included in Pathway or Brite	Enzymes with EC numbers	Enzymes with EC numbers	E1.6.99.1; NADPH2 dehydrogenase [EC:1.6.99.1]	1
K00362	Metabolism	Nitrogen metabolism	Nitrogen metabolism	nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]	3
K00364	Metabolism	Purine metabolism	Purine metabolism	E1.7.1.7, guaC; GMP reductase [EC:1.7.1.7]	1
K00375	Brite Hierarchies	Transcription factors [BR:ko03000]	Transcription factors [BR:ko03000]	K00375; GntR family transcriptional regulator / MocR family aminotransferase	1
K00382	Metabolism	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	4
K00382	Metabolism	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	4
K00382	Metabolism	Glyoxylate and dicarboxylate metabolism	Glyoxylate and dicarboxylate metabolism	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	4
K00382	Metabolism	Propanoate metabolism	Propanoate metabolism	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	4
K00382	Metabolism	Pyruvate metabolism	Pyruvate metabolism	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	4
K00382	Metabolism	Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	4
K00382	Metabolism	Valine, leucine and isoleucine degradation	Valine, leucine and isoleucine degradation	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	4
K00382	Brite Hierarchies	Exosome [BR:ko04147]	Exosome [BR:ko04147]	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	4
K00383	Metabolism	Glutathione metabolism	Glutathione metabolism	GSR, gor; glutathione reductase (NADPH) [EC:1.8.1.7]	1
K00383	Organismal Systems	Thyroid hormone synthesis	Thyroid hormone synthesis	GSR, gor; glutathione reductase (NADPH) [EC:1.8.1.7]	1
K00384	Metabolism	Selenocompound metabolism	Selenocompound metabolism	trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]	2
K00406	Metabolism	Oxidative phosphorylation	Oxidative phosphorylation	ccoP; cytochrome c oxidase cbb3-type subunit III	1
K00406	Environmental Information Processing	Two-component system	Two-component system	ccoP; cytochrome c oxidase cbb3-type subunit III	1
K00411	Metabolism	Oxidative phosphorylation	Oxidative phosphorylation	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]	1
K00411	Environmental Information Processing	Two-component system	Two-component system	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]	1
K00411	Organismal Systems	Cardiac muscle contraction	Cardiac muscle contraction	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]	1
K00411	Organismal Systems	Thermogenesis	Thermogenesis	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]	1
K00411	Human Diseases	Alzheimer disease	Alzheimer disease	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]	1
K00411	Human Diseases	Huntington disease	Huntington disease	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]	1
K00411	Human Diseases	Parkinson disease	Parkinson disease	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]	1
K00411	Human Diseases	Non-alcoholic fatty liver disease (NAFLD)	Non-alcoholic fatty liver disease (NAFLD)	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]	1
K00412	Metabolism	Oxidative phosphorylation	Oxidative phosphorylation	CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit	1
K00412	Environmental Information Processing	Two-component system	Two-component system	CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit	1
K00412	Organismal Systems	Cardiac muscle contraction	Cardiac muscle contraction	CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit	1
K00412	Organismal Systems	Thermogenesis	Thermogenesis	CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit	1
K00412	Human Diseases	Alzheimer disease	Alzheimer disease	CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit	1
K00412	Human Diseases	Huntington disease	Huntington disease	CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit	1
K00412	Human Diseases	Parkinson disease	Parkinson disease	CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit	1
K00412	Human Diseases	Non-alcoholic fatty liver disease (NAFLD)	Non-alcoholic fatty liver disease (NAFLD)	CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit	1
K00412	Brite Hierarchies	Mitochondrial biogenesis [BR:ko03029]	Mitochondrial biogenesis [BR:ko03029]	CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit	1
K00425	Metabolism	Oxidative phosphorylation	Oxidative phosphorylation	cydA; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]	1
K00425	Environmental Information Processing	Two-component system	Two-component system	cydA; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]	1
K00426	Metabolism	Oxidative phosphorylation	Oxidative phosphorylation	cydB; cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]	1
K00426	Environmental Information Processing	Two-component system	Two-component system	cydB; cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]	1
K00432	Metabolism	Arachidonic acid metabolism	Arachidonic acid metabolism	gpx; glutathione peroxidase [EC:1.11.1.9]	1
K00432	Metabolism	Glutathione metabolism	Glutathione metabolism	gpx; glutathione peroxidase [EC:1.11.1.9]	1
