	WP_id	cds	OG	KO id	KO description
Soil763|41	WP_056735899.1	cds6	OG0000539	K01214	ISA; isoamylase [EC:3.2.1.68]
Soil763|42	WP_056735901.1	cds7	OG0000095	K13566	NIT2; omega-amidase [EC:3.5.1.3]
Soil763|43	WP_056735904.1	cds9	OG0001006	K01883	CARS; cysteinyl-tRNA synthetase [EC:6.1.1.16]
Soil763|44	WP_056735906.1	cds10			
Soil763|45	WP_056735908.1	cds11	OG0001176	K01770	ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]
Soil763|46	WP_056735910.1	cds12	OG0001419	K00991	ispD; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]
Soil763|47	WP_056735912.1	cds14	OG0006161		
Soil763|48	WP_056735913.1	cds15	OG0000003	K07657	phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB
Soil763|49	WP_056735914.1	cds16	OG0000010	K07636	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
Soil763|50	WP_056735916.1	cds18	OG0000123	K02226	cobC; alpha-ribazole phosphatase [EC:3.1.3.73]
Soil763|51	WP_056735918.1	cds20			
Soil763|52	WP_056735919.1	cds21	OG0000070	K01758	CTH; cystathionine gamma-lyase [EC:4.4.1.1]
Soil763|53	WP_056735921.1	cds22	OG0001233	K00943	tmk; dTMP kinase [EC:2.7.4.9]
Soil763|54	WP_056735923.1	cds23	OG0000987	K02341	holB; DNA polymerase III subunit delta' [EC:2.7.7.7]
Soil763|55	WP_056735925.1	cds24	OG0003756		
Soil763|56	WP_056735928.1	cds26	OG0001678	K01113	phoD; alkaline phosphatase D [EC:3.1.3.1]
Soil763|57	WP_056735930.1	cds27			
Soil763|58	WP_056735932.1	cds28	OG0006314		
Soil763|59	WP_056735934.1	cds29			
Soil763|60	WP_056735936.1	cds30	OG0000227	K06221	dkgA; 2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]
Soil763|61	WP_056735938.1	cds31			
Soil763|62	WP_056735940.1	cds32			
Soil763|63	WP_056735942.1	cds33	OG0001578		
Soil763|64	WP_056735945.1	cds34	OG0001212	K06200	cstA; carbon starvation protein
Soil763|65	WP_056735946.1	cds35	OG0000509		
Soil763|66	WP_056735948.1	cds36	OG0000060	K00344	qor; NADPH2:quinone reductase [EC:1.6.5.5]
Soil763|67	WP_056735950.1	cds37	OG0004756	K07238	TC.ZIP; zinc transporter, ZIP family
Soil763|68	WP_056735952.1	cds38	OG0001940	K05770	TSPO; translocator protein
Soil763|69	WP_056735955.1	cds39	OG0000020	K07506	AraC family transcriptional regulator
Soil763|70	WP_056735957.1	cds41	OG0000016	K07729	putative transcriptional regulator
Soil763|71	WP_056735959.1	cds42	OG0006284		
Soil763|72	WP_056735961.1	cds43	OG0000566	K01119	cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]
Soil763|73	WP_056735963.1	cds46	OG0005226		
Soil763|74	WP_056735965.1	cds47	OG0004607	K01322	PREP; prolyl oligopeptidase [EC:3.4.21.26]
Soil763|75	WP_056735967.1	cds48	OG0000621	K10027	crtI; phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31]
Soil763|76	WP_056735969.1	cds49	OG0005088	K03654	recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]
Soil763|77	WP_056735971.1	cds50	OG0000212	K03431	glmM; phosphoglucosamine mutase [EC:5.4.2.10]
Soil763|78	WP_056735973.1	cds52	OG0000218	K13643	iscR; Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor
Soil763|79	WP_056735975.1	cds53	OG0000133	K02613	paaE; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE
Soil763|80	WP_056735977.1	cds54	OG0004285		
Soil763|81	WP_056735979.1	cds55	OG0004476	K01596	E4.1.1.32; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]
Soil763|82	WP_056735982.1	cds56	OG0006188	K00382	DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]
Soil763|83	WP_056735984.1	cds58	OG0003630	K01421	yhgE; putative membrane protein
Soil763|84	WP_056735986.1	cds59	OG0000069	K16137	nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
Soil763|85	WP_056735988.1	cds60			
Soil763|86	WP_056735990.1	cds62			
Soil763|87	WP_056735993.1	cds63	OG0001299	K08296	sixA; phosphohistidine phosphatase [EC:3.1.3.-]
Soil763|88	WP_056735995.1	cds64	OG0007735	K09165	uncharacterized protein
Soil763|89	WP_056735997.1	cds65	OG0006211		
Soil763|90	WP_056735999.1	cds66	OG0000003	K07657	phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB
Soil763|91	WP_056736001.1	cds67	OG0000010	K07636	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
Soil763|92	WP_056736003.1	cds68	OG0005121		
Soil763|93	WP_056736004.1	cds69	OG0002267		
Soil763|94	WP_056736007.1	cds70	OG0000903	K00761	upp; uracil phosphoribosyltransferase [EC:2.4.2.9]
Soil763|95	WP_056736009.1	cds71	OG0000056	K19302	bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27]
Soil763|96	WP_056736011.1	cds72	OG0000507	K11991	tadA; tRNA(adenine34) deaminase [EC:3.5.4.33]
Soil763|97	WP_056736013.1	cds73			
Soil763|98	WP_056736017.1	cds75	OG0006855		
Soil763|99	WP_056736019.1	cds76	OG0005446		
Soil763|100	WP_056736021.1	cds77	OG0003633		
Soil763|101	WP_056736023.1	cds78			
Soil763|102	WP_056736025.1	cds80	OG0004384	K22342	dmmA; dimethylamine monooxygenase subunit A [EC:1.14.13.238]
Soil763|103	WP_056736027.1	cds81	OG0000366	K03863	vanB; vanillate monooxygenase ferredoxin subunit
Soil763|104	WP_056736029.1	cds82	OG0004385	K22344	dmmC; dimethylamine monooxygenase subunit C [EC:1.14.13.238]
Soil763|105	WP_056736031.1	cds83	OG0002619		
Soil763|106	WP_056736032.1	cds85	OG0004553		
Soil763|107	WP_056736034.1	cds86	OG0000537		
Soil763|108	WP_056736036.1	cds88			
Soil763|109	WP_056736038.1	cds89	OG0000876	K03724	lhr; ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-]
Soil763|110	WP_056736040.1	cds90	OG0004178	K05522	nei; endonuclease VIII [EC:3.2.2.- 4.2.99.18]
Soil763|111	WP_056736042.1	cds91	OG0003602	K07149	uncharacterized protein
Soil763|112	WP_056736044.1	cds92	OG0002428	K06177	rluA; tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]
Soil763|113	WP_056736046.1	cds93	OG0000056	K19302	bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27]
Soil763|114	WP_056736048.1	cds94			
Soil763|115	WP_056736050.1	cds95	OG0001287	K01595	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]
Soil763|116	WP_056736052.1	cds96	OG0000443	K05710	hcaC; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component
Soil763|117	WP_056736055.1	cds97	OG0000353	K06988	fno; 8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]
Soil763|118	WP_056736056.1	cds98	OG0000025	K19736	aefR; TetR/AcrR family transcriptional regulator, regulator of autoinduction and epiphytic fitness
Soil763|119	WP_056736058.1	cds99	OG0002301	K09164	uncharacterized protein
Soil763|120	WP_056736060.1	cds101	OG0001779		
Soil763|121	WP_056736062.1	cds103	OG0001530	K02012	afuA; iron(III) transport system substrate-binding protein
Soil763|122	WP_056736064.1	cds104	OG0001409	K02011	afuB; iron(III) transport system permease protein
Soil763|123	WP_056736068.1	cds107	OG0000056	K19302	bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27]
Soil763|124	WP_056736070.1	cds108	OG0004009		
Soil763|125	WP_056736072.1	cds109			
Soil763|126	WP_056736073.1	cds110	OG0001004	K06016	pydC; beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]
Soil763|127	WP_056736075.1	cds111	OG0000176		
Soil763|128	WP_056736077.1	cds113	OG0000264	K01652	E2.2.1.6L; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
Soil763|129	WP_056736079.1	cds114	OG0000017	K03762	proP; MFS transporter, MHS family, proline/betaine transporter
Soil763|130	WP_056736080.1	cds115			
Soil763|131	WP_056736082.1	cds116	OG0006166		
Soil763|132	WP_056736084.1	cds117			
Soil763|133	WP_056736085.1	cds118			
Soil763|134	WP_056736087.1	cds119	OG0001116	K00773	tgt; queuine tRNA-ribosyltransferase [EC:2.4.2.29]
Soil763|135	WP_056736089.1	cds121	OG0002266	K09125	uncharacterized protein
Soil763|136	WP_056736092.1	cds122	OG0000017	K03762	proP; MFS transporter, MHS family, proline/betaine transporter
Soil763|137	WP_056736094.1	cds123	OG0000758	K00941	thiD; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]
Soil763|138	WP_056736096.1	cds124	OG0001198	K00156	poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
Soil763|139	WP_056736099.1	cds125			
Soil763|140	WP_056736101.1	cds126	OG0003617	K07110	ramB; XRE family transcriptional regulator, fatty acid utilization regulator
Soil763|141	WP_056736103.1	cds127	OG0001262	K01637	E4.1.3.1; isocitrate lyase [EC:4.1.3.1]
Soil763|142	WP_056736105.1	cds128	OG0003144	K01638	aceB; malate synthase [EC:2.3.3.9]
Soil763|143	WP_056736108.1	cds131	OG0000556		
Soil763|144	WP_056736110.1	cds132	OG0001979		
Soil763|145	WP_056736112.1	cds133			
Soil763|146	WP_056736114.1	cds134			
Soil763|147	WP_056736116.1	cds135	OG0006265		
Soil763|148	WP_056736118.1	cds137	OG0000632	K03651	cpdA; 3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]
Soil763|149	WP_056736123.1	cds138	OG0000228	K00148	fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
Soil763|150	WP_056736125.1	cds139	OG0000181	K00432	gpx; glutathione peroxidase [EC:1.11.1.9]
Soil763|151	WP_056736128.1	cds141	OG0002247		
Soil763|152	WP_056736130.1	cds143	OG0000784	K06187	recR; recombination protein RecR
Soil763|153	WP_056736131.1	cds144	OG0000407	K00928	lysC; aspartate kinase [EC:2.7.2.4]
Soil763|154	WP_056736132.1	cds146			
Soil763|155	WP_056736134.1	cds147	OG0000011	K06075	slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin
Soil763|156	WP_056736136.1	cds148			
Soil763|157	WP_056736139.1	cds149			
Soil763|158	WP_056736146.1	cds150			
Soil763|159	WP_056736152.1	cds152			
Soil763|160	WP_056736153.1	cds153	OG0003980	K01952	purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]
Soil763|161	WP_056736154.1	cds154	OG0000516	K01952	purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]
Soil763|162	WP_056736155.1	cds155	OG0000516	K01952	purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]
Soil763|163	WP_056736156.1	cds156	OG0007757	K09764	uncharacterized protein
Soil763|164	WP_056736157.1	cds157	OG0000216		
Soil763|165	WP_056736158.1	cds158			
Soil763|166	WP_056736159.1	cds159			
Soil763|167	WP_056736160.1	cds160	OG0001400		
Soil763|168	WP_056736161.1	cds161	OG0003146	K06929	uncharacterized protein
Soil763|169	WP_056736162.1	cds162	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
Soil763|170	WP_056736164.1	cds163	OG0000135	K15553	ssuA; sulfonate transport system substrate-binding protein
Soil763|171	WP_056736165.1	cds165	OG0000184	K01895	ACSS; acetyl-CoA synthetase [EC:6.2.1.1]
Soil763|172	WP_056736166.1	cds166	OG0000124	K04091	ssuD; alkanesulfonate monooxygenase [EC:1.14.14.5]
Soil763|173	WP_056736167.1	cds168	OG0003146	K06929	uncharacterized protein
Soil763|174	WP_056736168.1	cds169			
Soil763|175	WP_056736175.1	cds170	OG0000019	K03088	rpoE; RNA polymerase sigma-70 factor, ECF subfamily
Soil763|176	WP_056736177.1	cds171			
Soil763|177	WP_056736179.1	cds172	OG0000929	K01939	purA; adenylosuccinate synthase [EC:6.3.4.4]
Soil763|178	WP_056736182.1	cds173	OG0001152	K00549	metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
Soil763|179	WP_056736184.1	cds174	OG0004011		
Soil763|180	WP_056736186.1	cds175	OG0006170		
Soil763|181	WP_056736188.1	cds176	OG0000715	K01624	FBA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
Soil763|182	WP_056736190.1	cds177	OG0002418		
Soil763|183	WP_056736192.1	cds178	OG0002798	K02566	nagD; NagD protein
Soil763|184	WP_056736194.1	cds179	OG0001141	K06889	uncharacterized protein
Soil763|185	WP_056736198.1	cds180			
Soil763|186	WP_056736200.1	cds181	OG0003633		
Soil763|187	WP_056736202.1	cds182	OG0000724	K00762	pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]
Soil763|188	WP_056736204.1	cds183	OG0000184	K01895	ACSS; acetyl-CoA synthetase [EC:6.2.1.1]
Soil763|189	WP_056736206.1	cds184	OG0000388	K00161	PDHA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
Soil763|190	WP_056736210.1	cds185	OG0000271	K00162	PDHB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
Soil763|191	WP_056736212.1	cds186			
Soil763|192	WP_056736214.1	cds188	OG0005409		
Soil763|193	WP_056736216.1	cds189	OG0000510	K01916	nadE; NAD+ synthase [EC:6.3.1.5]
Soil763|194	WP_056736218.1	cds190	OG0000054	K02624	pcaR; IclR family transcriptional regulator, pca regulon regulatory protein
Soil763|195	WP_056736220.1	cds191	OG0000304	K01028	E2.8.3.5A; 3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]
Soil763|196	WP_056736222.1	cds192	OG0000244	K01029	E2.8.3.5B; 3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]
Soil763|197	WP_056736224.1	cds193	OG0002272	K00648	fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
Soil763|198	WP_056736225.1	cds194			
Soil763|199	WP_056736228.1	cds195	OG0000457	K02647	cdaR; carbohydrate diacid regulator
Soil763|200	WP_056736230.1	cds196	OG0000017	K03762	proP; MFS transporter, MHS family, proline/betaine transporter
Soil763|201	WP_056736232.1	cds197	OG0000030	K01897	ACSL; long-chain acyl-CoA synthetase [EC:6.2.1.3]
Soil763|202	WP_056736234.1	cds198	OG0000001	K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
Soil763|203	WP_056736236.1	cds199	OG0000228	K00148	fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
Soil763|204	WP_056736238.1	cds200			
Soil763|205	WP_056736240.1	cds203	OG0000012	K01055	pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]
Soil763|206	WP_056736242.1	cds204	OG0000814		
Soil763|207	WP_056736244.1	cds206	OG0006125		
Soil763|208	WP_056736247.1	cds207	OG0000883	K07646	kdpD; two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]
Soil763|209	WP_056736249.1	cds208	OG0001422	K07667	kdpE; two-component system, OmpR family, KDP operon response regulator KdpE
Soil763|210	WP_056736253.1	cds210	OG0000049	K00253	IVD; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
Soil763|211	WP_056736255.1	cds211	OG0004352	K01895	ACSS; acetyl-CoA synthetase [EC:6.2.1.1]
Soil763|212	WP_056736258.1	cds212	OG0000011	K06075	slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin
Soil763|213	WP_056736259.1	cds213	OG0000519		
Soil763|214	WP_056736260.1	cds214	OG0000034	K01692	paaF; enoyl-CoA hydratase [EC:4.2.1.17]
Soil763|215	WP_056736261.1	cds215	OG0000127	K00020	mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
Soil763|216	WP_056736262.1	cds216	OG0001155	K01692	paaF; enoyl-CoA hydratase [EC:4.2.1.17]
Soil763|217	WP_056736263.1	cds217	OG0000324	K00140	mmsA; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
Soil763|218	WP_056736264.1	cds218	OG0000453	K01142	E3.1.11.2; exodeoxyribonuclease III [EC:3.1.11.2]
Soil763|219	WP_056736265.1	cds219			
Soil763|220	WP_056736267.1	cds220	OG0000013	K02529	lacI; LacI family transcriptional regulator
Soil763|221	WP_056736269.1	cds221			
Soil763|222	WP_056736271.1	cds222	OG0000041	K17317	gtsC; glucose/mannose transport system permease protein
Soil763|223	WP_056736272.1	cds223	OG0000046	K02025	ABC.MS.P; multiple sugar transport system permease protein
Soil763|224	WP_056736274.1	cds224	OG0000143	K02027	ABC.MS.S; multiple sugar transport system substrate-binding protein
Soil763|225	WP_056736276.1	cds225	OG0005137		
Soil763|226	WP_056736277.1	cds226	OG0005100		
Soil763|227	WP_056736279.1	cds227	OG0005101		
Soil763|228	WP_056736281.1	cds228	OG0005102		
Soil763|229	WP_056736283.1	cds229	OG0003603		
Soil763|230	WP_056736288.1	cds232	OG0004159	K02347	polX; DNA polymerase (family X)
Soil763|231	WP_056736290.1	cds234	OG0005093		
Soil763|232	WP_056736292.1	cds235	OG0000175	K16264	czcD; cobalt-zinc-cadmium efflux system protein
Soil763|233	WP_056736294.1	cds236	OG0002866	K01992	ABC-2.P; ABC-2 type transport system permease protein
Soil763|234	WP_056736296.1	cds238			
Soil763|235	WP_056736298.1	cds239	OG0000149	K06149	uspA; universal stress protein A
Soil763|236	WP_056736301.1	cds240			
Soil763|237	WP_056736302.1	cds241	OG0001635	K07156	copC; copper resistance protein C
Soil763|238	WP_056736303.1	cds242	OG0000448	K06901	pbuG; putative MFS transporter, AGZA family, xanthine/uracil permease
Soil763|239	WP_056736304.1	cds243	OG0000188	K12255	gbuA; guanidinobutyrase [EC:3.5.3.7]
Soil763|240	WP_056736305.1	cds244	OG0003091		
Soil763|241	WP_056736307.1	cds246			
Soil763|242	WP_056736309.1	cds247	OG0000435	K01745	hutH; histidine ammonia-lyase [EC:4.3.1.3]
Soil763|243	WP_056736311.1	cds248	OG0001071	K01712	hutU; urocanate hydratase [EC:4.2.1.49]
Soil763|244	WP_056736320.1	cds250			
Soil763|245	WP_056736322.1	cds252	OG0000001	K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
Soil763|246	WP_056736323.1	cds253	OG0000017	K03762	proP; MFS transporter, MHS family, proline/betaine transporter
Soil763|247	WP_056736328.1	cds254	OG0000381		
Soil763|248	WP_056736330.1	cds255	OG0001550	K00797	speE; spermidine synthase [EC:2.5.1.16]
Soil763|249	WP_056736332.1	cds256			
Soil763|250	WP_056736334.1	cds258	OG0003947		
Soil763|251	WP_056736335.1	cds260	OG0000149	K06149	uspA; universal stress protein A
Soil763|252	WP_056736336.1	cds261	OG0000269	K13979	yahK; uncharacterized zinc-type alcohol dehydrogenase-like protein [EC:1.-.-.-]
Soil763|253	WP_056736337.1	cds262	OG0003103	K00691	mapA; maltose phosphorylase [EC:2.4.1.8]
Soil763|254	WP_056736339.1	cds263	OG0000201	K22278	pdgA; peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]
Soil763|255	WP_056736342.1	cds265	OG0000782	K01007	pps; pyruvate, water dikinase [EC:2.7.9.2]
Soil763|256	WP_056736345.1	cds266	OG0002615	K01531	mgtA; Mg2+-importing ATPase [EC:3.6.3.2]
Soil763|257	WP_056736348.1	cds268	OG0001510	K13623	btaB; S-adenosylmethionine-diacylgycerolhomoserine-N-methlytransferase
Soil763|258	WP_056736349.1	cds269	OG0002153		
Soil763|259	WP_056736350.1	cds270	OG0001342		
Soil763|260	WP_056736357.1	cds271	OG0006304		
Soil763|261	WP_056736358.1	cds272	OG0000990		
Soil763|262	WP_056736359.1	cds273	OG0001301		
Soil763|263	WP_056736361.1	cds275	OG0000913	K03928	yvaK; carboxylesterase [EC:3.1.1.1]
Soil763|264	WP_056736362.1	cds276			
Soil763|265	WP_056736363.1	cds277	OG0007746		
Soil763|266	WP_056736364.1	cds279	OG0001606		
Soil763|267	WP_056736365.1	cds281			
Soil763|268	WP_056736367.1	cds282	OG0006171		
Soil763|269	WP_056736369.1	cds283	OG0000152	K01126	E3.1.4.46; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]
Soil763|270	WP_056736372.1	cds284	OG0002081		
Soil763|271	WP_056736374.1	cds285	OG0006234		
Soil763|272	WP_056736376.1	cds286	OG0000838	K01934	MTHFS; 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]
Soil763|273	WP_056736379.1	cds287	OG0001480	K02575	NRT; MFS transporter, NNP family, nitrate/nitrite transporter
Soil763|274	WP_056736380.1	cds288	OG0005692	K00374	narI; nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]
Soil763|275	WP_056736382.1	cds289	OG0005693	K00373	narJ; nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW
Soil763|276	WP_056736384.1	cds290	OG0005694	K00371	narH; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]
Soil763|277	WP_056736387.1	cds291	OG0005695	K00370	narG; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]
Soil763|278	WP_056736389.1	cds292	OG0000416	K07160	UPF0271 protein
Soil763|279	WP_056736392.1	cds294	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
Soil763|280	WP_056736394.1	cds295	OG0006995		
Soil763|281	WP_056736396.1	cds298	OG0000111	K16165	nagK; fumarylpyruvate hydrolase [EC:3.7.1.20]
Soil763|282	WP_056736398.1	cds299	OG0002799	K18334	fucD; L-fuconate dehydratase [EC:4.2.1.68]
Soil763|283	WP_056736402.1	cds301	OG0001465	K00064	E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
Soil763|284	WP_056736404.1	cds302	OG0001274	K07046	L-fuconolactonase [EC:3.1.1.-]
Soil763|285	WP_056736407.1	cds303	OG0000057	K03710	GntR family transcriptional regulator
Soil763|286	WP_056736409.1	cds304	OG0007125	K06859	pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]
Soil763|287	WP_056736411.1	cds305	OG0000119	K00864	glpK; glycerol kinase [EC:2.7.1.30]
Soil763|288	WP_056736412.1	cds306	OG0001950	K03778	ldhA; D-lactate dehydrogenase [EC:1.1.1.28]
Soil763|289	WP_056736414.1	cds307	OG0000293	K01625	eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
Soil763|290	WP_056736416.1	cds308	OG0007124		
Soil763|291	WP_056736418.1	cds309	OG0003983	K07048	PTER; phosphotriesterase-related protein
Soil763|292	WP_056736423.1	cds312	OG0000045	K10441	rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]
Soil763|293	WP_056736424.1	cds313	OG0000400	K01816	hyi; hydroxypyruvate isomerase [EC:5.3.1.22]
