	PSPTO_ID	OG	KO id	KO description
Pto|184	PSPTO_0187	OG0000252	K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
Pto|188	PSPTO_0194	OG0000402		
Pto|191	PSPTO_0200	OG0001484		
Pto|192	PSPTO_0201	OG0001592	K05844	rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]
Pto|193	PSPTO_0202			
Pto|194	PSPTO_0203	OG0000134	K01697	CBS; cystathionine beta-synthase [EC:4.2.1.22]
Pto|195	PSPTO_0205			
Pto|196	PSPTO_0206	OG0001415	K18842	chpS; antitoxin ChpS
Pto|197	PSPTO_0208	OG0004788		
Pto|198	PSPTO_0209	OG0000463	K01586	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]
Pto|199	PSPTO_0210	OG0001007		
Pto|200	PSPTO_0211	OG0001633	K10531	pvdA; L-ornithine N5-monooxygenase [EC:1.14.13.195 1.14.13.196]
Pto|201	PSPTO_0212	OG0000642		
Pto|202	PSPTO_0213	OG0005424	K07334	higB-1; toxin HigB-1
Pto|203	PSPTO_0214	OG0001277	K21498	higA-1; antitoxin HigA-1
Pto|204	PSPTO_0215	OG0001791	K09806	uncharacterized protein
Pto|206	PSPTO_0217	OG0000842	K04752	glnK; nitrogen regulatory protein P-II 2
Pto|207	PSPTO_0218	OG0000465	K03320	"amt; ammonium transporter, Amt family"
Pto|208	PSPTO_0219	OG0002650		
Pto|209	PSPTO_0220	OG0002960		
Pto|210	PSPTO_0221	OG0000464	K20862	yigB; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]
Pto|211	PSPTO_0222	OG0000148	K03733	xerC; integrase/recombinase XerC
Pto|212	PSPTO_0223	OG0002172	K09921	uncharacterized protein
Pto|213	PSPTO_0224	OG0000805	K01778	dapF; diaminopimelate epimerase [EC:5.1.1.7]
Pto|214	PSPTO_0225	OG0000463	K01586	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]
Pto|215	PSPTO_0226	OG0002404		
Pto|216	PSPTO_0227	OG0002959	K06202	cyaY; CyaY protein
Pto|217	PSPTO_0228	OG0004055	K06938	uncharacterized protein
Pto|218	PSPTO_0229	OG0002649	K06140	rnk; regulator of nucleoside diphosphate kinase
Pto|219	PSPTO_0230	OG0002958	K05851	"cyaA; adenylate cyclase, class 1 [EC:4.6.1.1]"
Pto|220	PSPTO_0231	OG0003329		
Pto|221	PSPTO_0232	OG0003328		
Pto|222	PSPTO_0233	OG0000082	K11103	dctA; aerobic C4-dicarboxylate transport protein
Pto|223	PSPTO_0234	OG0001592	K05844	rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]
Pto|224	PSPTO_0235	OG0003540		
Pto|225	PSPTO_0236	OG0001337	K21973	bluF; blue light- and temperature-responsive anti-repressor
Pto|226	PSPTO_0237	OG0001119	K04762	hslR; ribosome-associated heat shock protein Hsp15
Pto|227	PSPTO_0238	OG0001591	K04083	hslO; molecular chaperone Hsp33
Pto|228	PSPTO_0239	OG0001590	K01610	E4.1.1.49; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
Pto|229	PSPTO_0240			
Pto|230	PSPTO_0241			
Pto|232	PSPTO_0243	OG0002352		
Pto|233	PSPTO_0244	OG0000542	K06995	uncharacterized protein
Pto|234	PSPTO_0245	OG0004187		
Pto|236	PSPTO_0247	OG0003665	K01560	E3.8.1.2; 2-haloacid dehalogenase [EC:3.8.1.2]
Pto|237	PSPTO_0248	OG0000064	K09471	puuB; gamma-glutamylputrescine oxidase [EC:1.4.3.-]
Pto|238	PSPTO_0249	OG0000018	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein
Pto|239	PSPTO_0250	OG0000036	K02033	ABC.PE.P; peptide/nickel transport system permease protein
Pto|240	PSPTO_0251	OG0000037	K02034	ABC.PE.P1; peptide/nickel transport system permease protein
Pto|241	PSPTO_0252	OG0000015	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein
Pto|242	PSPTO_0253	OG0002284		
Pto|243	PSPTO_0254	OG0001883	K22549	lhpC; D-hydroxyproline dehydrogenase subunit alpha [EC:1.5.99.-]
Pto|244	PSPTO_0255	OG0001907	K00303	"soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]"
Pto|245	PSPTO_0256	OG0000168	K01438	argE; acetylornithine deacetylase [EC:3.5.1.16]
Pto|246	PSPTO_0257	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
Pto|247	PSPTO_0258	OG0000535	K12972	ghrA; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
Pto|248	PSPTO_0259	OG0000520	K07250	gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]
Pto|249	PSPTO_0260	OG0003665	K01560	E3.8.1.2; 2-haloacid dehalogenase [EC:3.8.1.2]
Pto|250	PSPTO_0261	OG0000027	K03719	"lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"
Pto|252	PSPTO_0263	OG0000005	K03406	mcp; methyl-accepting chemotaxis protein
Pto|253	PSPTO_0264	OG0000015	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein
Pto|257	PSPTO_0268	OG0000523	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
Pto|261	PSPTO_0272	OG0000281	K04487	iscS; cysteine desulfurase [EC:2.8.1.7]
Pto|262	PSPTO_0273	OG0000027	K03719	"lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"
Pto|263	PSPTO_0274			
Pto|264	PSPTO_0275	OG0005426		
Pto|265	PSPTO_0276	OG0000100	K19270	yfbT; sugar-phosphatase [EC:3.1.3.23]
Pto|266	PSPTO_0277			
Pto|267	PSPTO_0278	OG0000640		
Pto|268	PSPTO_0279			
Pto|269	PSPTO_0280	OG0006381	K01265	map; methionyl aminopeptidase [EC:3.4.11.18]
Pto|270	PSPTO_0281	OG0001960		
Pto|271	PSPTO_0282	OG0003594		
Pto|272	PSPTO_0283	OG0004787		
Pto|274	PSPTO_0285			
Pto|275	PSPTO_0287	OG0002109	K03733	xerC; integrase/recombinase XerC
Pto|276	PSPTO_0288			
Pto|278	PSPTO_0290			
Pto|281	PSPTO_0293			
Pto|282	PSPTO_0294			
Pto|283	PSPTO_0295			
Pto|284	PSPTO_0296	OG0003655		
Pto|285	PSPTO_0297			
Pto|286	PSPTO_0298	OG0002777		
Pto|287	PSPTO_0299	OG0000351	K00480	E1.14.13.1; salicylate hydroxylase [EC:1.14.13.1]
Pto|288	PSPTO_0300	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
Pto|289	PSPTO_0301	OG0000520	K07250	gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]
Pto|291	PSPTO_0303	OG0003541		
Pto|292	PSPTO_0304	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
Pto|293	PSPTO_0305	OG0001857	K00507	SCD; stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]
Pto|294	PSPTO_0306	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
Pto|295	PSPTO_0307	OG0003077		
Pto|296	PSPTO_0308	OG0000503	K02048	cysP; sulfate transport system substrate-binding protein
Pto|297	PSPTO_0309	OG0000272	K02018	modB; molybdate transport system permease protein
Pto|298	PSPTO_0310	OG0001594	K02047	cysW; sulfate transport system permease protein
Pto|299	PSPTO_0311	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
Pto|300	PSPTO_0312	OG0001593		
Pto|301	PSPTO_0313	OG0000077	K01420	"fnr; CRP/FNR family transcriptional regulator, anaerobic regulatory protein"
Pto|302	PSPTO_0314	OG0001530	K02012	afuA; iron(III) transport system substrate-binding protein
Pto|303	PSPTO_0315	OG0001409	K02011	afuB; iron(III) transport system permease protein
Pto|304	PSPTO_0316	OG0000462	K00605	gcvT; aminomethyltransferase [EC:2.1.2.10]
Pto|305	PSPTO_0317	OG0000340	K02437	gcvH; glycine cleavage system H protein
Pto|306	PSPTO_0318	OG0002400		
Pto|307	PSPTO_0319	OG0000075	K02454	gspE; general secretion pathway protein E
Pto|309	PSPTO_0321	OG0000027	K03719	"lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"
Pto|310	PSPTO_0322	OG0002398	K18446	ygiF; triphosphatase [EC:3.6.1.25]
Pto|311	PSPTO_0323	OG0000168	K01438	argE; acetylornithine deacetylase [EC:3.5.1.16]
Pto|312	PSPTO_0324	OG0001971	K14682	argAB; amino-acid N-acetyltransferase [EC:2.3.1.1]
Pto|313	PSPTO_0325	OG0002504	K01919	gshA; glutamate--cysteine ligase [EC:6.3.2.2]
Pto|314	PSPTO_0326	OG0000249	K02614	paaI; acyl-CoA thioesterase [EC:3.1.2.-]
Pto|315	PSPTO_0327	OG0001120	K06959	tex; protein Tex
Pto|316	PSPTO_0328	OG0000003	K07657	"phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB"
Pto|317	PSPTO_0329	OG0000432	K07638	"envZ; two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]"
Pto|318	PSPTO_0330	OG0003346		
Pto|320	PSPTO_0332	OG0003799		
Pto|321	PSPTO_0333	OG0005238		
Pto|322	PSPTO_0334	OG0000007	K02667	"pilR; two-component system, NtrC family, response regulator PilR"
Pto|323	PSPTO_0335	OG0001800	K07652	"vicK; two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]"
Pto|324	PSPTO_0336	OG0001901	K19158	yoeB; toxin YoeB [EC:3.1.-.-]
Pto|325	PSPTO_0337	OG0002800	K19159	yefM; antitoxin YefM
Pto|326	PSPTO_0338	OG0000270	K03806	ampD; N-acetyl-anhydromuramoyl-L-alanine amidase [EC:3.5.1.28]
Pto|327	PSPTO_0339	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
Pto|328	PSPTO_0340	OG0002970		
Pto|329	PSPTO_0341	OG0001539	K03673	dsbA; thiol:disulfide interchange protein DsbA
Pto|331	PSPTO_0343	OG0001172	K03978	engB; GTP-binding protein
Pto|332	PSPTO_0344	OG0000863	K02335	polA; DNA polymerase I [EC:2.7.7.7]
Pto|333	PSPTO_0345	OG0002665		
Pto|334	PSPTO_0346	OG0002410	K02204	thrB2; homoserine kinase type II [EC:2.7.1.39]
Pto|335	PSPTO_0347	OG0001144	K06145	"gntR; LacI family transcriptional regulator, gluconate utilization system Gnt-I transcriptional repressor"
Pto|336	PSPTO_0349	OG0000108	K20938	ladA; long-chain alkane monooxygenase [EC:1.14.14.28]
Pto|337	PSPTO_0350	OG0000135	K15553	ssuA; sulfonate transport system substrate-binding protein
Pto|338	PSPTO_0351	OG0000044	K19265	gpr; L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]
Pto|339	PSPTO_0352	OG0000007	K02667	"pilR; two-component system, NtrC family, response regulator PilR"
Pto|340	PSPTO_0353	OG0000202	K07708	"glnL; two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]"
Pto|342	PSPTO_0355	OG0005010		
Pto|343	PSPTO_0356	OG0004393		
Pto|344	PSPTO_0357	OG0003036	K04093	pheA1; chorismate mutase [EC:5.4.99.5]
Pto|346	PSPTO_0359	OG0000071	K01915	glnA; glutamine synthetase [EC:6.3.1.2]
Pto|347	PSPTO_0360	OG0002717	K03151	thiI; tRNA uracil 4-sulfurtransferase [EC:2.8.1.4]
Pto|348	PSPTO_0361	OG0000921	K06207	typA; GTP-binding protein
Pto|349	PSPTO_0362	OG0000081	K02444	"glpR; DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor"
Pto|350	PSPTO_0363	OG0000001	K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
Pto|351	PSPTO_0364	OG0000143	K02027	ABC.MS.S; multiple sugar transport system substrate-binding protein
Pto|352	PSPTO_0365	OG0000022	K13653	AraC family transcriptional regulator
Pto|353	PSPTO_0366	OG0002636	K03316	"TC.CPA1; monovalent cation:H+ antiporter, CPA1 family"
Pto|354	PSPTO_0367	OG0002661		
Pto|355	PSPTO_0368			
Pto|356	PSPTO_0369	OG0000040		
Pto|357	PSPTO_0370	OG0001066		
Pto|358	PSPTO_0371			
Pto|360	PSPTO_0373	OG0001026		
Pto|361	PSPTO_0374	OG0006115		
Pto|362	PSPTO_0375	OG0000396	K15726	czcA; cobalt-zinc-cadmium resistance protein CzcA
Pto|363	PSPTO_0376	OG0000598	K15727	"czcB; membrane fusion protein, cobalt-zinc-cadmium efflux system"
Pto|364	PSPTO_0377	OG0001047	K15725	"czcC; outer membrane protein, cobalt-zinc-cadmium efflux system"
Pto|365	PSPTO_0378	OG0000003	K07657	"phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB"
Pto|366	PSPTO_0379	OG0000010	K07636	"phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]"
Pto|367	PSPTO_0380	OG0001525		
Pto|368	PSPTO_0381	OG0002635		
Pto|369	PSPTO_0382	OG0002951	K01972	E6.5.1.2; DNA ligase (NAD+) [EC:6.5.1.2]
Pto|370	PSPTO_0383	OG0000827	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]
Pto|371	PSPTO_0384	OG0002634		
Pto|372	PSPTO_0385	OG0000634	K00615	E2.2.1.1; transketolase [EC:2.2.1.1]
Pto|373	PSPTO_0386	OG0000292	K00134	GAPDH; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
Pto|374	PSPTO_0387	OG0000826	K00927	PGK; phosphoglycerate kinase [EC:2.7.2.3]
Pto|375	PSPTO_0388	OG0003784		
Pto|376	PSPTO_0389	OG0002633		
Pto|377	PSPTO_0390	OG0000715	K01624	"FBA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
Pto|378	PSPTO_0391	OG0002949		
Pto|379	PSPTO_0393	OG0003311		
Pto|380	PSPTO_0394	OG0000337	K01273	DPEP; membrane dipeptidase [EC:3.4.13.19]
Pto|382	PSPTO_0396	OG0002164	K21833	dgcA; dimethylglycine catabolism A
Pto|383	PSPTO_0397	OG0001785	K21834	dgcB; dimethylglycine catabolism B
Pto|386	PSPTO_0400	OG0004051	K01183	E3.2.1.14; chitinase [EC:3.2.1.14]
Pto|387	PSPTO_0401	OG0001159	K00479	gbcA; glycine betaine catabolism A
Pto|388	PSPTO_0402	OG0000133	K02613	"paaE; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE"
Pto|389	PSPTO_0403	OG0003313		
Pto|390	PSPTO_0404	OG0001838	K07115	rlmJ; 23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266]
Pto|391	PSPTO_0405	OG0000360	K07304	msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
Pto|392	PSPTO_0406	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
Pto|393	PSPTO_0407	OG0000450		
Pto|394	PSPTO_0408	OG0002165		
